YMEL1_HUMAN	YME1L1
MAPK5_HUMAN	MAPKAPK5
VRTN_HUMAN	VRTN
RL41_HUMAN	RPL41
KIF5A_HUMAN	KIF5A
SALL1_HUMAN	SALL1
PWP2_HUMAN	PWP2
CALB1_HUMAN	CALB1
TBPL2_HUMAN	TBPL2
PGBM_HUMAN	HSPG2
AKIR1_HUMAN	AKIRIN1
OR2G2_HUMAN	OR2G2
KBTB6_HUMAN	KBTBD6
TIAM2_HUMAN	TIAM2
TBC23_HUMAN	TBC1D23
KPBB_HUMAN	PHKB
PANX3_HUMAN	PANX3
CDSN_HUMAN	CDSN
OS9_HUMAN	OS9
AP2A1_HUMAN	AP2A1
CATB_HUMAN	CTSB
NDUA9_HUMAN	NDUFA9
KISSR_HUMAN	KISS1R
JARD2_HUMAN	JARID2
HCFC2_HUMAN	HCFC2
SKIV2_HUMAN	SKIV2L
CP4V2_HUMAN	CYP4V2
GPR55_HUMAN	GPR55
ATPF2_HUMAN	ATPAF2
KCC1D_HUMAN	CAMK1D
PERE_HUMAN	EPX
VNN2_HUMAN	VNN2
XPO4_HUMAN	XPO4
ID3_HUMAN	ID3
HEY1_HUMAN	HEY1
TRI18_HUMAN	MID1
MADD_HUMAN	MADD
DLX5_HUMAN	DLX5
WNT5A_HUMAN	WNT5A
BANK1_HUMAN	BANK1
TRPS1_HUMAN	TRPS1
DIP2B_HUMAN	DIP2B
OBP2A_HUMAN	OBP2A
KPB2_HUMAN	PHKA2
CC174_HUMAN	CCDC174
TEKT2_HUMAN	TEKT2
MPP9_HUMAN	MPHOSPH9
GT252_HUMAN	COLGALT2
EIF3F_HUMAN	EIF3F
KBP_HUMAN	KIFBP
LMBRL_HUMAN	LMBR1L
TPP2_HUMAN	TPP2
DCLK2_HUMAN	DCLK2
MIPT3_HUMAN	TRAF3IP1
FUT2_HUMAN	FUT2
CO9_HUMAN	C9
CYH1_HUMAN	CYTH1
MP2K4_HUMAN	MAP2K4
CBLN4_HUMAN	CBLN4
DLRB2_HUMAN	DYNLRB2
GIPC1_HUMAN	GIPC1
GBG13_HUMAN	GNG13
FLRT3_HUMAN	FLRT3
TBB2B_HUMAN	TUBB2B
ACDSB_HUMAN	ACADSB
FHL2_HUMAN	FHL2
TNNT2_HUMAN	TNNT2
DUS21_HUMAN	DUSP21
PYGB_HUMAN	PYGB
MBD3_HUMAN	MBD3
CAD22_HUMAN	CDH22
KCTD9_HUMAN	KCTD9
H2B1A_HUMAN	H2BC1
CKAP4_HUMAN	CKAP4
BGH3_HUMAN	TGFBI
G45IP_HUMAN	GADD45GIP1
OXSM_HUMAN	OXSM
LENG1_HUMAN	LENG1
RL39_HUMAN	RPL39
PSG1_HUMAN	PSG1
K1C14_HUMAN	KRT14
ZN396_HUMAN	ZNF396
PI42B_HUMAN	PIP4K2B
RN150_HUMAN	RNF150
KLF2_HUMAN	KLF2
SOGA1_HUMAN	SOGA1
HXB8_HUMAN	HOXB8
SCUB2_HUMAN	SCUBE2
P66B_HUMAN	GATAD2B
CCAR1_HUMAN	CCAR1
ASAP1_HUMAN	ASAP1
NCTR3_HUMAN	NCR3
SFPQ_HUMAN	SFPQ
TACC1_HUMAN	TACC1
DPOE4_HUMAN	POLE4
UPK1B_HUMAN	UPK1B
WDR70_HUMAN	WDR70
IFT25_HUMAN	HSPB11
ALR_HUMAN	GFER
OR1J2_HUMAN	OR1J2
NOGG_HUMAN	NOG
MROH8_HUMAN	MROH8
TAP2_HUMAN	TAP2
PP12C_HUMAN	PPP1R12C
MPP2_HUMAN	MPP2
FKBP8_HUMAN	FKBP8
NOSIP_HUMAN	NOSIP
ARAP3_HUMAN	ARAP3
SCOC_HUMAN	SCOC
NDUF7_HUMAN	NDUFAF7
STK38_HUMAN	STK38
SPAG6_HUMAN	SPAG6
IPO11_HUMAN	IPO11
L2GL1_HUMAN	LLGL1
HCDH_HUMAN	HADH
APOC2_HUMAN	APOC2
GATA_HUMAN	QRSL1
ADA10_HUMAN	ADAM10
PSG5_HUMAN	PSG5
AN13B_HUMAN	ANKRD13B
ARL6_HUMAN	ARL6
WFDC8_HUMAN	WFDC8
PYY_HUMAN	PYY
RHG01_HUMAN	ARHGAP1
OSBL5_HUMAN	OSBPL5
CAH14_HUMAN	CA14
MK09_HUMAN	MAPK9
CAN1_HUMAN	CAPN1
5HT1B_HUMAN	HTR1B
POP7_HUMAN	POP7
ADDG_HUMAN	ADD3
MGN_HUMAN	MAGOH
IL5_HUMAN	IL5
CUTC_HUMAN	CUTC
AKT2_HUMAN	AKT2
EGFR_HUMAN	EGFR
TBB4B_HUMAN	TUBB4B
WDR88_HUMAN	WDR88
MTMR4_HUMAN	MTMR4
TCEA1_HUMAN	TCEA1
RM02_HUMAN	MRPL2
SPIN3_HUMAN	SPIN3
TINAG_HUMAN	TINAG
TIAM1_HUMAN	TIAM1
AP3D1_HUMAN	AP3D1
PLK3_HUMAN	PLK3
ARL3_HUMAN	ARL3
HECD2_HUMAN	HECTD2
MUT7_HUMAN	EXD3
BTBD2_HUMAN	BTBD2
RL3R2_HUMAN	RXFP4
CPNS1_HUMAN	CAPNS1
PHX2B_HUMAN	PHOX2B
DTX2_HUMAN	DTX2
SPSB2_HUMAN	SPSB2
PCDA3_HUMAN	PCDHA3
MLRV_HUMAN	MYL2
ICLN_HUMAN	CLNS1A
VISL1_HUMAN	VSNL1
MMP23_HUMAN	MMP23B
GTR1_HUMAN	SLC2A1
PXMP4_HUMAN	PXMP4
KLF9_HUMAN	KLF9
KCNG4_HUMAN	KCNG4
OSBL3_HUMAN	OSBPL3
UBE3D_HUMAN	UBE3D
AGGF1_HUMAN	AGGF1
RORB_HUMAN	RORB
COPD_HUMAN	ARCN1
TAOK2_HUMAN	TAOK2
CA216_HUMAN	C1orf216
VGLL2_HUMAN	VGLL2
CLIP2_HUMAN	CLIP2
FZD6_HUMAN	FZD6
MMP10_HUMAN	MMP10
THIC_HUMAN	ACAT2
SRBD1_HUMAN	SRBD1
TUFT1_HUMAN	TUFT1
ENTP4_HUMAN	ENTPD4
ETV2_HUMAN	ETV2
TYK2_HUMAN	TYK2
PLLP_HUMAN	PLLP
PHC2_HUMAN	PHC2
TMPS2_HUMAN	TMPRSS2
LOXE3_HUMAN	ALOXE3
AT11A_HUMAN	ATP11A
CALCA_HUMAN	CALCA
OSBL6_HUMAN	OSBPL6
ITB4_HUMAN	ITGB4
RED1_HUMAN	ADARB1
FRG1_HUMAN	FRG1
FOCAD_HUMAN	FOCAD
HEPC_HUMAN	HAMP
ATS13_HUMAN	ADAMTS13
T53I2_HUMAN	TP53INP2
RBM45_HUMAN	RBM45
7B2_HUMAN	SCG5
PAR14_HUMAN	PARP14
TICN2_HUMAN	SPOCK2
ATAD2_HUMAN	ATAD2
CAC1H_HUMAN	CACNA1H
SEM4F_HUMAN	SEMA4F
NXPE4_HUMAN	NXPE4
RN182_HUMAN	RNF182
MSTO1_HUMAN	MSTO1
EMC2_HUMAN	EMC2
STAB2_HUMAN	STAB2
RL32_HUMAN	RPL32
TRAIP_HUMAN	TRAIP
FCG2B_HUMAN	FCGR2B
EPAS1_HUMAN	EPAS1
DOXA2_HUMAN	DUOXA2
S12A6_HUMAN	SLC12A6
GPAT4_HUMAN	GPAT4
DDB2_HUMAN	DDB2
ZN483_HUMAN	ZNF483
CADH4_HUMAN	CDH4
OR5BH_HUMAN	OR5B17
KCC2A_HUMAN	CAMK2A
ASAH1_HUMAN	ASAH1
UD18_HUMAN	UGT1A8
SHIP1_HUMAN	INPP5D
NHRF1_HUMAN	SLC9A3R1
TMX3_HUMAN	TMX3
SENP6_HUMAN	SENP6
TIP_HUMAN	ITFG1
BAG5_HUMAN	BAG5
NDUV2_HUMAN	NDUFV2
HEM3_HUMAN	HMBS
G2E3_HUMAN	G2E3
KC1G3_HUMAN	CSNK1G3
LSM6_HUMAN	LSM6
SVIP_HUMAN	SVIP
IL1R1_HUMAN	IL1R1
AGAP1_HUMAN	AGAP1
CLK1_HUMAN	CLK1
PIGO_HUMAN	PIGO
TEANC_HUMAN	TCEANC
UD110_HUMAN	UGT1A10
SNX4_HUMAN	SNX4
HAND1_HUMAN	HAND1
S22A3_HUMAN	SLC22A3
KIF1C_HUMAN	KIF1C
KLHL9_HUMAN	KLHL9
HMGA2_HUMAN	HMGA2
KIF14_HUMAN	KIF14
LYRIC_HUMAN	MTDH
COX42_HUMAN	COX4I2
C560_HUMAN	SDHC
TRI45_HUMAN	TRIM45
MA1C1_HUMAN	MAN1C1
H10_HUMAN	H1-0
TAOK3_HUMAN	TAOK3
KIN17_HUMAN	KIN
SETX_HUMAN	SETX
RRAS_HUMAN	RRAS
RRN3_HUMAN	RRN3
INP4A_HUMAN	INPP4A
SC31B_HUMAN	SEC31B
TRIM3_HUMAN	TRIM3
EDC3_HUMAN	EDC3
ANFB_HUMAN	NPPB
NAT16_HUMAN	NAT16
HDHD2_HUMAN	HDHD2
OR2D3_HUMAN	OR2D3
PMEPA_HUMAN	PMEPA1
H1X_HUMAN	H1-10
CALB2_HUMAN	CALB2
TFEC_HUMAN	TFEC
AP3B1_HUMAN	AP3B1
PSMD8_HUMAN	PSMD8
ZN268_HUMAN	ZNF268
THRSP_HUMAN	THRSP
NOL6_HUMAN	NOL6
TSH2_HUMAN	TSHZ2
GUC2D_HUMAN	GUCY2D
FHR1_HUMAN	CFHR1
KCNB1_HUMAN	KCNB1
NIPS2_HUMAN	NIPSNAP2
ZN460_HUMAN	ZNF460
GALNS_HUMAN	GALNS
NT5C_HUMAN	NT5C
CHST9_HUMAN	CHST9
SCML2_HUMAN	SCML2
CDC73_HUMAN	CDC73
TRIM6_HUMAN	TRIM6
MYLK2_HUMAN	MYLK2
CXL11_HUMAN	CXCL11
RPAB4_HUMAN	POLR2K
AK1C3_HUMAN	AKR1C3
NOBOX_HUMAN	NOBOX
NEUT_HUMAN	NTS
EGR1_HUMAN	EGR1
RS4Y1_HUMAN	RPS4Y1
CDC37_HUMAN	CDC37
KCNA7_HUMAN	KCNA7
HMGA1_HUMAN	HMGA1
BBOF1_HUMAN	BBOF1
MOAP1_HUMAN	MOAP1
DMPK_HUMAN	DMPK
GBRB1_HUMAN	GABRB1
I17RA_HUMAN	IL17RA
PRS7_HUMAN	PSMC2
AP1M2_HUMAN	AP1M2
DGAT1_HUMAN	DGAT1
SOX2_HUMAN	SOX2
DYLT1_HUMAN	DYNLT1
