"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.508716"	"adipose"	1.16e-06	4.143310316	"dbEST"
"Hs.3416"	"adipose"	3.36e-07	5.209392213	"dbEST"
"Hs.654572"	"adipose"	2.62e-07	4.021218361	"dbEST"
"Hs.477128"	"adipose"	2.15e-08	4.617207167	"dbEST"
"Hs.38621"	"adipose"	2.12e-09	5.223547552	"dbEST"
"Hs.191734"	"adipose"	1.08e-09	5.136221522	"dbEST"
"Hs.505337"	"adipose"	2.41e-10	6.289746324	"dbEST"
"Hs.171695"	"adipose"	1.3e-10	4.07055071	"dbEST"
"Hs.80552"	"adipose"	8.91e-11	4.861950698	"dbEST"
"Hs.466804"	"adipose"	5.88e-11	6.080488745	"dbEST"
"Hs.155597"	"adipose"	3.22e-11	5.612570645	"dbEST"
"Hs.567381"	"adipose"	1.09e-14	6.980135489	"dbEST"
"Hs.78065"	"adipose"	3.03e-15	5.097062687	"dbEST"
"Hs.234898"	"adipose"	1.34e-16	6.719510431	"dbEST"
"Hs.567562"	"adipose"	7.24e-20	7.063680921	"dbEST"
"Hs.103253"	"adipose"	2.37e-20	7.036932354	"dbEST"
"Hs.42586"	"adipose"	1.61e-22	6.54517749	"dbEST"
"Hs.120949"	"adipose"	1.72e-26	5.273251663	"dbEST"
"Hs.591387"	"adipose"	2.61e-27	6.995649111	"dbEST"
"Hs.524418"	"adipose"	1.44e-27	6.834458775	"dbEST"
"Hs.522373"	"adipose"	1.7e-30	5.798366102	"dbEST"
"Hs.391561"	"adipose"	4.96e-40	6.377347758	"dbEST"
"Hs.180878"	"adipose"	5.33e-48	6.008834062	"dbEST"
"Hs.517168"	"adipose"	1.08e-59	6.605887149	"dbEST"
"Hs.4"	"adipose"	4.95e-67	6.187205689	"dbEST"
"Hs.50813"	"adipose"	2.03e-73	6.660693714	"dbEST"
"Hs.558396"	"adipose"	3.1e-88	6.713095152	"dbEST"
