"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.728818"	"adrenal gland"	1.76e-06	4.059329212	"dbEST"
"Hs.461722"	"adrenal gland"	8.65e-07	4.540589428	"dbEST"
"Hs.75431"	"adrenal gland"	5.14e-07	4.799577506	"dbEST"
"Hs.1227"	"adrenal gland"	5.01e-07	5.430906076	"dbEST"
"Hs.435012"	"adrenal gland"	4.01e-07	4.4032677	"dbEST"
"Hs.593413"	"adrenal gland"	9.35e-08	4.039311671	"dbEST"
"Hs.494738"	"adrenal gland"	6.62e-08	5.276218344	"dbEST"
"Hs.194692"	"adrenal gland"	5.97e-08	4.426935332	"dbEST"
"Hs.97316"	"adrenal gland"	9.93e-09	6.323368536	"dbEST"
"Hs.727552"	"adrenal gland"	6.75e-09	4.749061985	"dbEST"
"Hs.129895"	"adrenal gland"	4.75e-09	4.553777176	"dbEST"
"Hs.58663"	"adrenal gland"	3.44e-09	4.439349686	"dbEST"
"Hs.503134"	"adrenal gland"	1.12e-09	4.885332574	"dbEST"
"Hs.406238"	"adrenal gland"	6.28e-10	4.036434461	"dbEST"
"Hs.497788"	"adrenal gland"	2.61e-10	4.651794254	"dbEST"
"Hs.496383"	"adrenal gland"	4.02e-11	5.162548589	"dbEST"
"Hs.437156"	"adrenal gland"	3.42e-11	4.254831617	"dbEST"
"Hs.719465"	"adrenal gland"	3.24e-12	6.291065392	"dbEST"
"Hs.461131"	"adrenal gland"	1.88e-12	4.346069723	"dbEST"
"Hs.257761"	"adrenal gland"	1.31e-12	4.927854276	"dbEST"
"Hs.16529"	"adrenal gland"	4.32e-14	5.689022644	"dbEST"
"Hs.476308"	"adrenal gland"	5.71e-15	5.336584895	"dbEST"
"Hs.495755"	"adrenal gland"	3.67e-16	4.193726236	"dbEST"
"Hs.595053"	"adrenal gland"	4.29e-17	5.479028721	"dbEST"
"Hs.271387"	"adrenal gland"	1.5e-18	7.039683334	"dbEST"
"Hs.79033"	"adrenal gland"	4.47e-20	6.038467621	"dbEST"
"Hs.515835"	"adrenal gland"	4.16e-20	6.465444598	"dbEST"
"Hs.288959"	"adrenal gland"	5.51e-21	5.318203759	"dbEST"
"Hs.676689"	"adrenal gland"	6.24e-24	7.072427502	"dbEST"
"Hs.498727"	"adrenal gland"	1.21e-24	4.204427829	"dbEST"
"Hs.98959"	"adrenal gland"	1.88e-31	7.065500703	"dbEST"
"Hs.521212"	"adrenal gland"	2.02e-44	6.218432927	"dbEST"
"Hs.727543"	"adrenal gland"	1.66e-51	5.96964852	"dbEST"
"Hs.446309"	"adrenal gland"	1.16e-56	6.248471117	"dbEST"
"Hs.110837"	"adrenal gland"	2.67e-64	5.028786149	"dbEST"
"Hs.235935"	"adrenal gland"	5.24e-65	5.733892719	"dbEST"
"Hs.159628"	"adrenal gland"	8.23e-110	6.524643335	"dbEST"
"Hs.69745"	"adrenal gland"	5.72e-134	7.011016599	"dbEST"
"Hs.184927"	"adrenal gland"	9.89e-219	7.071683783	"dbEST"
"Hs.303980"	"adrenal gland"	0	7.030528184	"dbEST"
"Hs.438016"	"adrenal gland"	0	7.072253416	"dbEST"
"Hs.521535"	"adrenal gland"	0	7.06950681	"dbEST"
"Hs.654399"	"adrenal gland"	0	7.07227286	"dbEST"
"Hs.654479"	"adrenal gland"	0	7.072420525	"dbEST"
"Hs.154069"	"adrenal gland"	NA	NA	"HPA"
