"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.491351"	"amnion"	6.02e-06	5.457801908	"dbEST"
"Hs.516032"	"amnion"	2.39e-06	4.560552513	"dbEST"
"Hs.192374"	"amnion"	1.6e-06	4.101355988	"dbEST"
"Hs.325978"	"amnion"	1.93e-07	5.088576871	"dbEST"
"Hs.87752"	"amnion"	1.72e-07	5.015541199	"dbEST"
"Hs.404321"	"amnion"	1.48e-07	5.909082498	"dbEST"
"Hs.614080"	"amnion"	5.23e-08	5.955850411	"dbEST"
"Hs.475733"	"amnion"	2.97e-08	6.431623803	"dbEST"
"Hs.643896"	"amnion"	1.72e-08	5.702998537	"dbEST"
"Hs.533709"	"amnion"	4.2e-09	5.417853789	"dbEST"
"Hs.78466"	"amnion"	2.08e-09	5.096257379	"dbEST"
"Hs.470412"	"amnion"	1.12e-09	6.038030105	"dbEST"
"Hs.119882"	"amnion"	1.02e-09	6.168924028	"dbEST"
"Hs.482730"	"amnion"	6.59e-11	6.496035624	"dbEST"
"Hs.406300"	"amnion"	1.16e-11	4.960712609	"dbEST"
"Hs.370771"	"amnion"	4.88e-12	6.289284406	"dbEST"
"Hs.12692"	"amnion"	4.42e-12	4.607754713	"dbEST"
"Hs.265829"	"amnion"	2.23e-12	6.392924135	"dbEST"
"Hs.476353"	"amnion"	5.8e-13	6.850757524	"dbEST"
"Hs.605502"	"amnion"	2.84e-13	4.822891933	"dbEST"
"Hs.618526"	"amnion"	2.39e-13	6.951891354	"dbEST"
"Hs.471014"	"amnion"	1.21e-13	5.90454596	"dbEST"
"Hs.521456"	"amnion"	1.02e-13	6.69406639	"dbEST"
"Hs.535319"	"amnion"	6.64e-14	6.044018428	"dbEST"
"Hs.74368"	"amnion"	5.33e-14	6.620261408	"dbEST"
"Hs.429666"	"amnion"	5.3e-14	6.942932877	"dbEST"
"Hs.433863"	"amnion"	3.2e-14	5.251003381	"dbEST"
"Hs.505735"	"amnion"	9.93e-15	4.060942731	"dbEST"
"Hs.631882"	"amnion"	9.87e-15	6.972366157	"dbEST"
"Hs.422986"	"amnion"	9.67e-15	5.754527377	"dbEST"
"Hs.591443"	"amnion"	1.96e-15	7.015413801	"dbEST"
"Hs.656339"	"amnion"	1.4e-15	6.735415556	"dbEST"
"Hs.727604"	"amnion"	3.87e-17	6.68665575	"dbEST"
"Hs.525238"	"amnion"	2.25e-17	6.851542638	"dbEST"
"Hs.624245"	"amnion"	1.41e-17	6.953536985	"dbEST"
"Hs.706487"	"amnion"	5.92e-19	5.90406039	"dbEST"
"Hs.729322"	"amnion"	5.69e-20	6.983353583	"dbEST"
"Hs.714226"	"amnion"	2.1e-20	6.767914479	"dbEST"
"Hs.80545"	"amnion"	8.97e-23	5.892786524	"dbEST"
"Hs.195464"	"amnion"	6.39e-23	5.755292228	"dbEST"
"Hs.478429"	"amnion"	5.24e-23	6.844873629	"dbEST"
"Hs.716096"	"amnion"	8.55e-25	7.021073724	"dbEST"
"Hs.728223"	"amnion"	4.57e-25	6.865386904	"dbEST"
"Hs.703579"	"amnion"	2.44e-26	6.382938461	"dbEST"
"Hs.703581"	"amnion"	2.85e-28	6.83772282	"dbEST"
"Hs.659577"	"amnion"	1.32e-28	7.04873254	"dbEST"
"Hs.713548"	"amnion"	2.19e-30	7.025755404	"dbEST"
"Hs.356873"	"amnion"	1.94e-31	6.946454106	"dbEST"
"Hs.432760"	"amnion"	1.25e-31	6.87397188	"dbEST"
"Hs.351316"	"amnion"	9.17e-32	6.046478094	"dbEST"
"Hs.703580"	"amnion"	5.43e-32	6.878248437	"dbEST"
"Hs.591811"	"amnion"	4.87e-34	6.936965266	"dbEST"
"Hs.9534"	"amnion"	1.55e-34	6.407126829	"dbEST"
"Hs.610117"	"amnion"	5.27e-35	7.07037236	"dbEST"
"Hs.494691"	"amnion"	1.3e-36	6.708919215	"dbEST"
"Hs.703597"	"amnion"	4.96e-37	6.420553537	"dbEST"
"Hs.438429"	"amnion"	9.35e-38	6.077112899	"dbEST"
"Hs.197015"	"amnion"	2.22e-38	7.045785255	"dbEST"
"Hs.641595"	"amnion"	1.19e-41	7.030584145	"dbEST"
"Hs.657624"	"amnion"	1.33e-53	7.061604266	"dbEST"
"Hs.703596"	"amnion"	8.86e-56	6.66085012	"dbEST"
"Hs.703582"	"amnion"	1.72e-56	6.561493909	"dbEST"
"Hs.703563"	"amnion"	3.72e-67	6.9247604	"dbEST"
"Hs.448589"	"amnion"	4.62e-68	7.012361141	"dbEST"
"Hs.474751"	"amnion"	1.37e-70	6.763545109	"dbEST"
"Hs.644065"	"amnion"	1.6e-82	7.059102503	"dbEST"
"Hs.703697"	"amnion"	3.96e-94	6.781725479	"dbEST"
"Hs.660599"	"amnion"	2.37e-115	7.071447869	"dbEST"
"Hs.703507"	"amnion"	6.58e-119	6.735066532	"dbEST"
"Hs.203717"	"amnion"	7.76e-213	6.474626489	"dbEST"
"Hs.374596"	"amnion"	1.1e-261	6.824046113	"dbEST"
