"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.62275"	"bladder"	5.65e-06	4.627323658	"dbEST"
"Hs.367842"	"bladder"	5.03e-06	4.477609751	"dbEST"
"Hs.369056"	"bladder"	2.17e-06	4.823966174	"dbEST"
"Hs.406758"	"bladder"	1.06e-06	4.729753274	"dbEST"
"Hs.603040"	"bladder"	6.46e-07	4.77271326	"dbEST"
"Hs.482587"	"bladder"	4.57e-07	4.659074301	"dbEST"
"Hs.508524"	"bladder"	1.83e-07	4.842459319	"dbEST"
"Hs.85195"	"bladder"	1.22e-07	4.778186622	"dbEST"
"Hs.443577"	"bladder"	1.11e-08	4.318417484	"dbEST"
"Hs.408909"	"bladder"	3e-09	4.88415493	"dbEST"
"Hs.243994"	"bladder"	2.09e-09	5.391095001	"dbEST"
"Hs.714025"	"bladder"	1.72e-09	5.929298471	"dbEST"
"Hs.149360"	"bladder"	5.02e-10	5.15328027	"dbEST"
"Hs.653125"	"bladder"	2.71e-10	5.717946017	"dbEST"
"Hs.368866"	"bladder"	4.86e-11	4.622794387	"dbEST"
"Hs.585464"	"bladder"	4.27e-11	5.4965197	"dbEST"
"Hs.644234"	"bladder"	3.43e-11	6.496741596	"dbEST"
"Hs.519035"	"bladder"	3.32e-11	4.876572569	"dbEST"
"Hs.22960"	"bladder"	1.12e-11	4.485520051	"dbEST"
"Hs.197922"	"bladder"	5.64e-13	5.85691697	"dbEST"
"Hs.81892"	"bladder"	7.34e-15	4.361267948	"dbEST"
"Hs.47338"	"bladder"	1.8e-15	4.998483501	"dbEST"
"Hs.596913"	"bladder"	6.22e-16	4.576737638	"dbEST"
"Hs.647791"	"bladder"	6.14e-16	5.363959199	"dbEST"
"Hs.525063"	"bladder"	1.34e-16	5.346661208	"dbEST"
"Hs.405144"	"bladder"	3.47e-17	5.335484114	"dbEST"
"Hs.87295"	"bladder"	5.93e-18	6.011056162	"dbEST"
"Hs.640398"	"bladder"	4.88e-18	6.991543845	"dbEST"
"Hs.106909"	"bladder"	2.93e-18	4.442618795	"dbEST"
"Hs.73923"	"bladder"	2.24e-18	5.396531448	"dbEST"
"Hs.87539"	"bladder"	5.32e-19	4.172591448	"dbEST"
"Hs.478150"	"bladder"	3.51e-19	4.15938026	"dbEST"
"Hs.514870"	"bladder"	5.11e-20	4.725418937	"dbEST"
"Hs.272499"	"bladder"	3.25e-20	5.538686677	"dbEST"
"Hs.443061"	"bladder"	3.22e-20	6.043901764	"dbEST"
"Hs.635313"	"bladder"	2.35e-20	4.923986481	"dbEST"
"Hs.133998"	"bladder"	3.76e-21	6.256556447	"dbEST"
"Hs.170568"	"bladder"	1.49e-21	4.774161738	"dbEST"
"Hs.2704"	"bladder"	5.61e-22	4.191605505	"dbEST"
"Hs.288224"	"bladder"	1.91e-23	6.554320704	"dbEST"
"Hs.529778"	"bladder"	2.48e-25	6.40165477	"dbEST"
"Hs.617334"	"bladder"	1.62e-25	5.268745194	"dbEST"
"Hs.464472"	"bladder"	9.8e-29	4.882125905	"dbEST"
"Hs.351475"	"bladder"	1.26e-29	5.6509273	"dbEST"
"Hs.271135"	"bladder"	1.06e-29	4.732355439	"dbEST"
"Hs.494419"	"bladder"	6.34e-32	5.159385444	"dbEST"
"Hs.389700"	"bladder"	3.17e-32	5.092877424	"dbEST"
"Hs.533287"	"bladder"	4.46e-34	5.938889277	"dbEST"
"Hs.584797"	"bladder"	1.71e-39	7.069583705	"dbEST"
"Hs.380973"	"bladder"	6.35e-41	6.358309225	"dbEST"
"Hs.180909"	"bladder"	3.86e-42	5.070536008	"dbEST"
"Hs.536122"	"bladder"	4.64e-43	6.765087693	"dbEST"
"Hs.546298"	"bladder"	2.79e-43	5.881523109	"dbEST"
"Hs.523302"	"bladder"	4.94e-47	5.065823679	"dbEST"
"Hs.476365"	"bladder"	2.05e-48	6.138572007	"dbEST"
"Hs.117929"	"bladder"	5.56e-57	5.025906803	"dbEST"
"Hs.647182"	"bladder"	3.63e-57	7.046766648	"dbEST"
"Hs.567312"	"bladder"	5.94e-58	4.511831329	"dbEST"
"Hs.434937"	"bladder"	1.13e-59	6.218448934	"dbEST"
"Hs.644105"	"bladder"	3.88e-64	4.839242032	"dbEST"
"Hs.5324"	"bladder"	9.52e-69	4.368902581	"dbEST"
"Hs.251531"	"bladder"	1.65e-88	6.105918595	"dbEST"
"Hs.411501"	"bladder"	6.77e-93	5.189417191	"dbEST"
"Hs.508113"	"bladder"	1.55e-100	5.447929634	"dbEST"
"Hs.654951"	"bladder"	6.06e-102	6.559992464	"dbEST"
"Hs.728813"	"bladder"	1.99e-102	5.090467252	"dbEST"
"Hs.491695"	"bladder"	9.29e-106	4.825287664	"dbEST"
"Hs.511425"	"bladder"	6.79e-106	4.576123798	"dbEST"
"Hs.468442"	"bladder"	1.57e-140	4.413452656	"dbEST"
"Hs.437060"	"bladder"	4.39e-230	5.393814965	"dbEST"
"Hs.53985"	"bladder"	0	6.964015211	"dbEST"
"Hs.391561"	"bladder"	0.9668	NA	"TiSGeD"
