"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.152096"	"blood vessel"	6.14e-06	4.061477392	"dbEST"
"Hs.655921"	"blood vessel"	1.59e-06	4.743173867	"dbEST"
"Hs.655995"	"blood vessel"	9.65e-07	4.136339956	"dbEST"
"Hs.430755"	"blood vessel"	7.08e-07	4.928214882	"dbEST"
"Hs.715765"	"blood vessel"	6.44e-07	4.165016595	"dbEST"
"Hs.403187"	"blood vessel"	5.29e-07	4.454606328	"dbEST"
"Hs.591874"	"blood vessel"	4.8e-07	5.279794343	"dbEST"
"Hs.555016"	"blood vessel"	3.53e-07	4.066228663	"dbEST"
"Hs.656600"	"blood vessel"	2.57e-07	4.025656906	"dbEST"
"Hs.149103"	"blood vessel"	1.84e-07	5.645423827	"dbEST"
"Hs.654388"	"blood vessel"	9.12e-08	5.763180468	"dbEST"
"Hs.490981"	"blood vessel"	6.32e-08	4.325898687	"dbEST"
"Hs.446357"	"blood vessel"	4.64e-08	4.027877897	"dbEST"
"Hs.368938"	"blood vessel"	4.34e-08	4.116522827	"dbEST"
"Hs.283127"	"blood vessel"	4.28e-08	5.643154591	"dbEST"
"Hs.530251"	"blood vessel"	3.06e-08	4.011149886	"dbEST"
"Hs.298023"	"blood vessel"	1.83e-08	4.018150182	"dbEST"
"Hs.729017"	"blood vessel"	1.82e-08	4.358995814	"dbEST"
"Hs.470277"	"blood vessel"	1.15e-08	4.151513417	"dbEST"
"Hs.445555"	"blood vessel"	1.12e-08	5.240347013	"dbEST"
"Hs.481307"	"blood vessel"	9.98e-09	4.058264638	"dbEST"
"Hs.172587"	"blood vessel"	4.53e-09	5.039406389	"dbEST"
"Hs.559718"	"blood vessel"	4.4e-09	4.300274542	"dbEST"
"Hs.729127"	"blood vessel"	4.24e-09	6.156744856	"dbEST"
"Hs.48348"	"blood vessel"	3.64e-09	4.504445147	"dbEST"
"Hs.463295"	"blood vessel"	3.27e-09	4.194620626	"dbEST"
"Hs.712685"	"blood vessel"	2.92e-09	5.556182393	"dbEST"
"Hs.655792"	"blood vessel"	2.73e-09	5.342969604	"dbEST"
"Hs.518618"	"blood vessel"	2.46e-09	5.18434876	"dbEST"
"Hs.520319"	"blood vessel"	2.34e-09	5.961873319	"dbEST"
"Hs.98243"	"blood vessel"	2.01e-09	5.797743389	"dbEST"
"Hs.18616"	"blood vessel"	1.97e-09	4.218267341	"dbEST"
"Hs.529340"	"blood vessel"	1.85e-09	5.054214137	"dbEST"
"Hs.591865"	"blood vessel"	1.16e-09	5.947594971	"dbEST"
"Hs.226483"	"blood vessel"	1.05e-09	4.008542397	"dbEST"
"Hs.154986"	"blood vessel"	9.18e-10	5.59875344	"dbEST"
"Hs.381220"	"blood vessel"	8.45e-10	5.128864376	"dbEST"
"Hs.281342"	"blood vessel"	3.11e-10	5.755946321	"dbEST"
"Hs.350868"	"blood vessel"	2.38e-10	4.535636677	"dbEST"
"Hs.351582"	"blood vessel"	2.01e-10	4.167737053	"dbEST"
"Hs.121776"	"blood vessel"	1.63e-10	6.305926486	"dbEST"
"Hs.438830"	"blood vessel"	1.47e-10	4.513453338	"dbEST"
"Hs.149030"	"blood vessel"	6.93e-11	6.095178809	"dbEST"
"Hs.518760"	"blood vessel"	5.22e-11	4.406928648	"dbEST"
"Hs.729052"	"blood vessel"	4.87e-11	6.69218032	"dbEST"
"Hs.149849"	"blood vessel"	3.79e-11	5.478396872	"dbEST"
"Hs.473847"	"blood vessel"	3.79e-11	4.211845043	"dbEST"
"Hs.18768"	"blood vessel"	3.63e-11	6.716703238	"dbEST"
"Hs.593669"	"blood vessel"	2.72e-11	6.065882873	"dbEST"
"Hs.99819"	"blood vessel"	2.06e-11	4.312149084	"dbEST"
"Hs.443831"	"blood vessel"	2.03e-11	5.585354484	"dbEST"
"Hs.12319"	"blood vessel"	1.72e-11	4.188406114	"dbEST"
"Hs.484588"	"blood vessel"	1.58e-11	4.457269289	"dbEST"
"Hs.162996"	"blood vessel"	1.42e-11	4.161212417	"dbEST"
"Hs.728200"	"blood vessel"	1.24e-11	4.447733136	"dbEST"
"Hs.487670"	"blood vessel"	8.04e-12	6.259696536	"dbEST"
"Hs.164589"	"blood vessel"	7.14e-12	6.687293323	"dbEST"
"Hs.693730"	"blood vessel"	7.14e-12	6.200004846	"dbEST"
"Hs.591229"	"blood vessel"	6.33e-12	5.204863174	"dbEST"
"Hs.660477"	"blood vessel"	4.97e-12	6.538160355	"dbEST"
"Hs.113684"	"blood vessel"	4.21e-12	6.465726865	"dbEST"
"Hs.164118"	"blood vessel"	3.43e-12	5.934057533	"dbEST"
"Hs.485865"	"blood vessel"	3.36e-12	6.516975969	"dbEST"
"Hs.661401"	"blood vessel"	3.08e-12	4.910875975	"dbEST"
"Hs.654365"	"blood vessel"	2.26e-12	4.775875951	"dbEST"
"Hs.529735"	"blood vessel"	1.87e-12	5.433081247	"dbEST"
"Hs.146542"	"blood vessel"	1.86e-12	4.361424747	"dbEST"
"Hs.703279"	"blood vessel"	1.82e-12	6.079385881	"dbEST"
"Hs.55150"	"blood vessel"	1.52e-12	4.804949597	"dbEST"
"Hs.44385"	"blood vessel"	1.36e-12	4.858299702	"dbEST"
"Hs.571148"	"blood vessel"	1.21e-12	4.972898165	"dbEST"
"Hs.726467"	"blood vessel"	1.18e-12	6.850982614	"dbEST"
"Hs.719980"	"blood vessel"	1.13e-12	4.701931421	"dbEST"
"Hs.657374"	"blood vessel"	8.39e-13	6.555626006	"dbEST"
"Hs.136893"	"blood vessel"	6.38e-13	6.684228821	"dbEST"
"Hs.709543"	"blood vessel"	5.93e-13	4.165090083	"dbEST"
"Hs.212360"	"blood vessel"	5.84e-13	4.612945798	"dbEST"
"Hs.227817"	"blood vessel"	5.84e-13	5.341806031	"dbEST"
"Hs.559426"	"blood vessel"	4.29e-13	6.054503388	"dbEST"
"Hs.132441"	"blood vessel"	3.53e-13	5.995516234	"dbEST"
"Hs.527104"	"blood vessel"	2.79e-13	6.532972844	"dbEST"
"Hs.20848"	"blood vessel"	2.64e-13	5.490625538	"dbEST"
"Hs.530712"	"blood vessel"	2.24e-13	4.621471311	"dbEST"
"Hs.471492"	"blood vessel"	2.19e-13	5.500777916	"dbEST"
"Hs.558468"	"blood vessel"	2.19e-13	5.620488181	"dbEST"
"Hs.493716"	"blood vessel"	1.25e-13	5.593968714	"dbEST"
"Hs.480055"	"blood vessel"	8.98e-14	5.8948158	"dbEST"
"Hs.271791"	"blood vessel"	8.68e-14	5.212011947	"dbEST"
"Hs.555012"	"blood vessel"	8.17e-14	6.973671885	"dbEST"
"Hs.567859"	"blood vessel"	5.23e-14	6.099339749	"dbEST"
"Hs.267765"	"blood vessel"	4.45e-14	7.041917145	"dbEST"
"Hs.458283"	"blood vessel"	4.13e-14	6.769909238	"dbEST"
"Hs.556703"	"blood vessel"	2.36e-14	6.568849614	"dbEST"
"Hs.444969"	"blood vessel"	2.05e-14	5.88483235	"dbEST"
"Hs.718838"	"blood vessel"	2.02e-14	6.8721635	"dbEST"
"Hs.488433"	"blood vessel"	1.82e-14	4.069590244	"dbEST"
"Hs.432424"	"blood vessel"	1.28e-14	4.818109895	"dbEST"
"Hs.25674"	"blood vessel"	1.23e-14	4.312408944	"dbEST"
"Hs.444459"	"blood vessel"	1.21e-14	6.864857136	"dbEST"
"Hs.147585"	"blood vessel"	1.1e-14	6.00520135	"dbEST"
"Hs.61472"	"blood vessel"	1.07e-14	6.226758674	"dbEST"
"Hs.595507"	"blood vessel"	9.96e-15	5.2858214	"dbEST"
"Hs.503368"	"blood vessel"	9.76e-15	4.158769557	"dbEST"
"Hs.133107"	"blood vessel"	9.36e-15	5.74874129	"dbEST"
"Hs.12256"	"blood vessel"	7.72e-15	5.534315538	"dbEST"
"Hs.143811"	"blood vessel"	6.75e-15	5.84917313	"dbEST"
"Hs.190748"	"blood vessel"	4.01e-15	6.959120115	"dbEST"
"Hs.459114"	"blood vessel"	3.58e-15	5.164272733	"dbEST"
"Hs.644625"	"blood vessel"	2.89e-15	6.193699771	"dbEST"
"Hs.371372"	"blood vessel"	2.71e-15	5.428752114	"dbEST"
"Hs.584242"	"blood vessel"	2.58e-15	5.162749343	"dbEST"
"Hs.591776"	"blood vessel"	1.27e-15	4.984318945	"dbEST"
"Hs.590879"	"blood vessel"	5.88e-16	6.972189936	"dbEST"
"Hs.411881"	"blood vessel"	4.25e-16	6.375666561	"dbEST"
"Hs.523054"	"blood vessel"	4.25e-16	4.506900344	"dbEST"
"Hs.560990"	"blood vessel"	2.83e-16	6.986574727	"dbEST"
"Hs.666451"	"blood vessel"	2.3e-16	6.860215602	"dbEST"
"Hs.387367"	"blood vessel"	2.13e-16	5.569250625	"dbEST"
"Hs.99488"	"blood vessel"	1.65e-16	6.356512055	"dbEST"
"Hs.654690"	"blood vessel"	1.52e-16	5.630819592	"dbEST"
"Hs.567501"	"blood vessel"	1.45e-16	4.590758236	"dbEST"
"Hs.269122"	"blood vessel"	1.37e-16	7.007319022	"dbEST"
"Hs.648001"	"blood vessel"	1.37e-16	6.995913367	"dbEST"
"Hs.128612"	"blood vessel"	1.29e-16	4.905485905	"dbEST"
"Hs.306000"	"blood vessel"	1.21e-16	5.368778941	"dbEST"
"Hs.592269"	"blood vessel"	8.77e-17	4.139564556	"dbEST"
"Hs.62646"	"blood vessel"	5.5e-17	7.008825674	"dbEST"
"Hs.558864"	"blood vessel"	3.97e-17	7.045900737	"dbEST"
"Hs.586650"	"blood vessel"	3.65e-17	4.861490877	"dbEST"
"Hs.231942"	"blood vessel"	3e-17	5.678789744	"dbEST"
"Hs.521545"	"blood vessel"	2.91e-17	5.97780288	"dbEST"
"Hs.715846"	"blood vessel"	2.91e-17	6.296372512	"dbEST"
"Hs.520533"	"blood vessel"	2.9e-17	6.985657766	"dbEST"
"Hs.598101"	"blood vessel"	2.16e-17	6.904198999	"dbEST"
"Hs.670115"	"blood vessel"	2.16e-17	6.870874035	"dbEST"
"Hs.655974"	"blood vessel"	1.79e-17	6.893059733	"dbEST"
"Hs.632791"	"blood vessel"	1.41e-17	6.375415408	"dbEST"
"Hs.177861"	"blood vessel"	1.33e-17	5.014331412	"dbEST"
"Hs.600673"	"blood vessel"	1.3e-17	4.152013028	"dbEST"
"Hs.728911"	"blood vessel"	1.3e-17	6.920269503	"dbEST"
"Hs.705980"	"blood vessel"	1.22e-17	4.008862973	"dbEST"
"Hs.356224"	"blood vessel"	1.13e-17	5.572303768	"dbEST"
"Hs.368434"	"blood vessel"	9.53e-18	6.266383703	"dbEST"
"Hs.144894"	"blood vessel"	9.27e-18	7.067603664	"dbEST"
"Hs.668775"	"blood vessel"	9.27e-18	7.052353566	"dbEST"
"Hs.256904"	"blood vessel"	7.73e-18	7.04088387	"dbEST"
"Hs.663040"	"blood vessel"	7.73e-18	6.992988515	"dbEST"
"Hs.533066"	"blood vessel"	7.5e-18	6.892489317	"dbEST"
"Hs.594331"	"blood vessel"	6.17e-18	6.185837222	"dbEST"
"Hs.488877"	"blood vessel"	5.55e-18	4.975394285	"dbEST"
"Hs.547908"	"blood vessel"	5.42e-18	7.047219202	"dbEST"
"Hs.567831"	"blood vessel"	4.73e-18	6.585423912	"dbEST"
"Hs.549398"	"blood vessel"	4.55e-18	6.974742017	"dbEST"
"Hs.11916"	"blood vessel"	4.08e-18	5.964692034	"dbEST"
"Hs.435291"	"blood vessel"	3.75e-18	6.150130151	"dbEST"
"Hs.464572"	"blood vessel"	3.15e-18	5.014407538	"dbEST"
"Hs.333345"	"blood vessel"	2.8e-18	7.041966387	"dbEST"
"Hs.406728"	"blood vessel"	2.71e-18	6.935406158	"dbEST"
"Hs.586441"	"blood vessel"	2.44e-18	7.048116884	"dbEST"
"Hs.356697"	"blood vessel"	1.64e-18	5.792339564	"dbEST"
"Hs.208513"	"blood vessel"	1.56e-18	7.066996681	"dbEST"
"Hs.665025"	"blood vessel"	1.56e-18	7.037936911	"dbEST"
"Hs.591642"	"blood vessel"	1.39e-18	6.034240245	"dbEST"
"Hs.120359"	"blood vessel"	1.14e-18	6.949496659	"dbEST"
"Hs.571185"	"blood vessel"	9e-19	6.86269499	"dbEST"
"Hs.549694"	"blood vessel"	6.6e-19	7.067800093	"dbEST"
"Hs.561412"	"blood vessel"	6.6e-19	7.006501997	"dbEST"
"Hs.649321"	"blood vessel"	6.6e-19	7.055902422	"dbEST"
"Hs.176588"	"blood vessel"	6.36e-19	6.095914504	"dbEST"
"Hs.661069"	"blood vessel"	5.62e-19	6.042895151	"dbEST"
"Hs.425769"	"blood vessel"	5.47e-19	6.053328595	"dbEST"
"Hs.37311"	"blood vessel"	4.23e-19	7.008163345	"dbEST"
"Hs.130635"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.334096"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.334163"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.550960"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.550976"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.560025"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.561428"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.615645"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.637356"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.666125"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.679623"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.679636"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.679663"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.679758"	"blood vessel"	1.44e-19	7.072427502	"dbEST"
"Hs.147886"	"blood vessel"	1.43e-19	6.853922515	"dbEST"
"Hs.325752"	"blood vessel"	1.43e-19	7.045999598	"dbEST"
"Hs.451341"	"blood vessel"	1.43e-19	7.053842486	"dbEST"
"Hs.728951"	"blood vessel"	1.35e-19	6.966072861	"dbEST"
"Hs.414952"	"blood vessel"	1.1e-19	4.926969956	"dbEST"
"Hs.63290"	"blood vessel"	8.66e-20	5.174925471	"dbEST"
"Hs.670634"	"blood vessel"	8.6e-20	4.106041993	"dbEST"
"Hs.713623"	"blood vessel"	7.99e-20	5.925608466	"dbEST"
"Hs.529846"	"blood vessel"	7.15e-20	6.007260268	"dbEST"
"Hs.573245"	"blood vessel"	6.59e-20	5.065369607	"dbEST"
"Hs.192371"	"blood vessel"	4.54e-20	5.9784578	"dbEST"
"Hs.607696"	"blood vessel"	4.25e-20	6.167871885	"dbEST"
"Hs.666488"	"blood vessel"	4.25e-20	7.064781292	"dbEST"
"Hs.591474"	"blood vessel"	4.13e-20	5.246528841	"dbEST"
"Hs.591283"	"blood vessel"	2.9e-20	5.700292332	"dbEST"
"Hs.208452"	"blood vessel"	2.23e-20	7.07143082	"dbEST"
"Hs.634729"	"blood vessel"	2.23e-20	7.072260443	"dbEST"
"Hs.660088"	"blood vessel"	1.98e-20	4.959140517	"dbEST"
"Hs.70769"	"blood vessel"	1.8e-20	5.771830875	"dbEST"
"Hs.188591"	"blood vessel"	1.19e-20	4.50183314	"dbEST"
"Hs.97997"	"blood vessel"	1.1e-20	4.799453021	"dbEST"
"Hs.571376"	"blood vessel"	1.08e-20	5.626767765	"dbEST"
"Hs.667264"	"blood vessel"	1.08e-20	7.068963625	"dbEST"
"Hs.673248"	"blood vessel"	1.08e-20	6.738112328	"dbEST"
"Hs.659442"	"blood vessel"	8.14e-21	5.746567408	"dbEST"
"Hs.434105"	"blood vessel"	8.08e-21	7.046803244	"dbEST"
"Hs.470892"	"blood vessel"	8.08e-21	7.014158549	"dbEST"
"Hs.536420"	"blood vessel"	8.08e-21	7.062606639	"dbEST"
"Hs.85524"	"blood vessel"	7.89e-21	6.539367488	"dbEST"
"Hs.340623"	"blood vessel"	6.55e-21	6.53523503	"dbEST"
"Hs.722635"	"blood vessel"	4.07e-21	6.980639529	"dbEST"
"Hs.729166"	"blood vessel"	3.06e-21	7.00974943	"dbEST"
"Hs.482533"	"blood vessel"	2.58e-21	6.979151967	"dbEST"
"Hs.405880"	"blood vessel"	2.58e-21	4.401707564	"dbEST"
"Hs.598305"	"blood vessel"	2.18e-21	7.069598468	"dbEST"
"Hs.464966"	"blood vessel"	1.88e-21	7.072427502	"dbEST"
"Hs.558776"	"blood vessel"	1.88e-21	7.072427502	"dbEST"
"Hs.560866"	"blood vessel"	1.88e-21	7.072427502	"dbEST"
"Hs.571009"	"blood vessel"	1.88e-21	7.072427502	"dbEST"
"Hs.723639"	"blood vessel"	1.88e-21	7.072427502	"dbEST"
"Hs.134974"	"blood vessel"	1.86e-21	5.956960978	"dbEST"
"Hs.334176"	"blood vessel"	1.26e-21	6.692040914	"dbEST"
"Hs.15833"	"blood vessel"	1.05e-21	6.835494043	"dbEST"
"Hs.655722"	"blood vessel"	7.23e-22	5.185744289	"dbEST"
"Hs.720793"	"blood vessel"	3.68e-22	6.659085387	"dbEST"
"Hs.504048"	"blood vessel"	3.4e-22	4.844985432	"dbEST"
"Hs.156178"	"blood vessel"	3.26e-22	4.387861263	"dbEST"
