"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.33187"	"blood"	2.41e-06	4.30788686	"dbEST"
"Hs.173679"	"blood"	2.65e-07	4.842868821	"dbEST"
"Hs.353208"	"blood"	3.27e-08	5.915422313	"dbEST"
"Hs.1051"	"blood"	1.13e-08	5.385132022	"dbEST"
"Hs.722037"	"blood"	4.59e-09	5.570092929	"dbEST"
"Hs.582993"	"blood"	3.65e-09	5.908720825	"dbEST"
"Hs.154578"	"blood"	3.37e-09	4.944074467	"dbEST"
"Hs.443243"	"blood"	2.63e-09	4.667436965	"dbEST"
"Hs.543408"	"blood"	1.45e-09	5.256270536	"dbEST"
"Hs.514107"	"blood"	1.02e-09	4.981248819	"dbEST"
"Hs.631845"	"blood"	1.98e-10	4.272426412	"dbEST"
"Hs.473912"	"blood"	9.72e-11	4.696558359	"dbEST"
"Hs.552036"	"blood"	6.76e-11	5.93682241	"dbEST"
"Hs.231367"	"blood"	4.33e-11	4.052901394	"dbEST"
"Hs.708739"	"blood"	1.27e-11	4.966394458	"dbEST"
"Hs.347655"	"blood"	1.05e-11	6.204016805	"dbEST"
"Hs.706942"	"blood"	7.19e-12	4.325711649	"dbEST"
"Hs.433329"	"blood"	9.85e-13	6.604719915	"dbEST"
"Hs.713578"	"blood"	9.85e-13	4.916828787	"dbEST"
"Hs.665226"	"blood"	9.29e-13	6.92782278	"dbEST"
"Hs.465812"	"blood"	8.44e-13	4.107962743	"dbEST"
"Hs.728906"	"blood"	6.65e-13	5.916851478	"dbEST"
"Hs.440890"	"blood"	9.09e-14	5.504450105	"dbEST"
"Hs.171182"	"blood"	5.71e-14	5.098157186	"dbEST"
"Hs.317080"	"blood"	4.75e-14	5.124420853	"dbEST"
"Hs.534347"	"blood"	3.36e-14	4.037174295	"dbEST"
"Hs.856"	"blood"	6.71e-15	6.920815112	"dbEST"
"Hs.233220"	"blood"	1.64e-15	5.412823792	"dbEST"
"Hs.531251"	"blood"	1.64e-15	4.047096042	"dbEST"
"Hs.129780"	"blood"	6.29e-16	6.159707001	"dbEST"
"Hs.658712"	"blood"	1.56e-16	6.443856579	"dbEST"
"Hs.313343"	"blood"	4.49e-17	7.003217708	"dbEST"
"Hs.212680"	"blood"	2.68e-17	5.930916207	"dbEST"
"Hs.697120"	"blood"	1.2e-17	6.058670048	"dbEST"
"Hs.241570"	"blood"	5.66e-18	4.935404647	"dbEST"
"Hs.416848"	"blood"	4.92e-18	6.083317295	"dbEST"
