"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.356545"	"bone marrow"	1.61e-06	4.077438657	"dbEST"
"Hs.709336"	"bone marrow"	1.12e-06	4.16876616	"dbEST"
"Hs.118166"	"bone marrow"	5.5e-07	4.965011433	"dbEST"
"Hs.48353"	"bone marrow"	1.77e-07	4.066330914	"dbEST"
"Hs.10649"	"bone marrow"	7.18e-08	4.783655036	"dbEST"
"Hs.552129"	"bone marrow"	5.07e-08	5.658694933	"dbEST"
"Hs.468125"	"bone marrow"	7.66e-09	4.074150678	"dbEST"
"Hs.591957"	"bone marrow"	2.97e-09	5.564728566	"dbEST"
"Hs.435981"	"bone marrow"	2.58e-09	4.380422197	"dbEST"
"Hs.753"	"bone marrow"	9.91e-10	5.867236671	"dbEST"
"Hs.654754"	"bone marrow"	9.12e-10	5.020309954	"dbEST"
"Hs.658997"	"bone marrow"	2.3e-10	6.295057533	"dbEST"
"Hs.520937"	"bone marrow"	2.26e-10	4.457683648	"dbEST"
"Hs.559181"	"bone marrow"	1.62e-10	6.114452655	"dbEST"
"Hs.326822"	"bone marrow"	1.55e-10	5.008199076	"dbEST"
"Hs.532411"	"bone marrow"	4.63e-11	4.792667186	"dbEST"
"Hs.369675"	"bone marrow"	4.56e-11	4.607541267	"dbEST"
"Hs.13768"	"bone marrow"	2.47e-11	5.766824813	"dbEST"
"Hs.411695"	"bone marrow"	1.54e-11	5.613123024	"dbEST"
"Hs.67846"	"bone marrow"	1.46e-11	5.851160252	"dbEST"
"Hs.436677"	"bone marrow"	1.25e-11	6.425721651	"dbEST"
"Hs.512417"	"bone marrow"	4.02e-12	6.58877749	"dbEST"
"Hs.585728"	"bone marrow"	3.02e-12	4.645834831	"dbEST"
"Hs.73172"	"bone marrow"	1.81e-12	5.030405598	"dbEST"
"Hs.1422"	"bone marrow"	1.78e-12	4.324620349	"dbEST"
"Hs.501728"	"bone marrow"	1.09e-12	4.689675205	"dbEST"
"Hs.729227"	"bone marrow"	8.92e-13	6.715444066	"dbEST"
"Hs.383403"	"bone marrow"	5.08e-13	6.03891268	"dbEST"
"Hs.12068"	"bone marrow"	2.61e-13	4.573845069	"dbEST"
"Hs.421724"	"bone marrow"	6.88e-14	5.856211497	"dbEST"
"Hs.527295"	"bone marrow"	2.28e-14	4.555582551	"dbEST"
"Hs.198269"	"bone marrow"	2e-14	5.251918907	"dbEST"
"Hs.54277"	"bone marrow"	1.77e-14	5.376049576	"dbEST"
"Hs.485360"	"bone marrow"	1.59e-14	4.131738253	"dbEST"
"Hs.547697"	"bone marrow"	1.12e-14	5.665262383	"dbEST"
"Hs.706754"	"bone marrow"	2.97e-15	4.920655503	"dbEST"
"Hs.355935"	"bone marrow"	1.45e-15	5.290836935	"dbEST"
