"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.654941"	"bone"	7.15e-06	4.102559374	"dbEST"
"Hs.518345"	"bone"	1.62e-06	4.627522983	"dbEST"
"Hs.729219"	"bone"	2.58e-08	4.064937656	"dbEST"
"Hs.659150"	"bone"	1.32e-10	5.912490131	"dbEST"
"Hs.586332"	"bone"	7.89e-11	6.878232758	"dbEST"
"Hs.522997"	"bone"	1.24e-11	4.639204684	"dbEST"
"Hs.708453"	"bone"	4.35e-12	5.162879832	"dbEST"
"Hs.534499"	"bone"	9.29e-17	7.072427502	"dbEST"
"Hs.656199"	"bone"	3.18e-18	5.24477202	"dbEST"
"Hs.189507"	"bone"	4.28e-21	5.312882563	"dbEST"
"Hs.339831"	"bone"	2.74e-21	4.369236995	"dbEST"
"Hs.520525"	"bone"	1.7e-22	5.57589191	"dbEST"
"Hs.288467"	"bone"	1.06e-23	5.004503496	"dbEST"
"Hs.98785"	"bone"	7.52e-24	6.729872128	"dbEST"
"Hs.109225"	"bone"	1.62e-28	4.348684509	"dbEST"
"Hs.720867"	"bone"	4.64e-33	4.20062918	"dbEST"
"Hs.535026"	"bone"	1.08e-34	6.008419263	"dbEST"
"Hs.8904"	"bone"	2.85e-35	4.112335869	"dbEST"
"Hs.720416"	"bone"	2.28e-36	4.439057642	"dbEST"
"Hs.67726"	"bone"	6.77e-37	4.503480399	"dbEST"
"Hs.13872"	"bone"	1.62e-40	6.590457754	"dbEST"
"Hs.436416"	"bone"	6.7e-41	4.024271865	"dbEST"
"Hs.703936"	"bone"	6.5e-49	4.03460225	"dbEST"
"Hs.500736"	"bone"	1.38e-50	6.256624964	"dbEST"
"Hs.512680"	"bone"	8.42e-54	6.704392356	"dbEST"
"Hs.134830"	"bone"	2.36e-56	5.190288485	"dbEST"
"Hs.442180"	"bone"	5.23e-59	5.86186547	"dbEST"
"Hs.514840"	"bone"	2.2e-62	4.790044241	"dbEST"
"Hs.97220"	"bone"	8.14e-67	7.018471132	"dbEST"
"Hs.459088"	"bone"	1.16e-73	5.764908798	"dbEST"
"Hs.504641"	"bone"	7.57e-79	5.174896987	"dbEST"
"Hs.382202"	"bone"	1.22e-85	4.801405281	"dbEST"
"Hs.510650"	"bone"	6.17e-100	6.135378564	"dbEST"
"Hs.721599"	"bone"	2.96e-107	4.515564123	"dbEST"
"Hs.519168"	"bone"	4.2e-114	5.337335622	"dbEST"
"Hs.632481"	"bone"	5.9e-144	5.874322257	"dbEST"
"Hs.631647"	"bone"	2.34e-156	6.833343978	"dbEST"
"Hs.720841"	"bone"	4.32e-165	5.009544742	"dbEST"
"Hs.720859"	"bone"	9.16e-184	5.984703987	"dbEST"
"Hs.647723"	"bone"	3.61e-193	6.39818004	"dbEST"
"Hs.720818"	"bone"	2.64e-204	4.421126505	"dbEST"
"Hs.2159"	"bone"	1.11e-208	6.945828468	"dbEST"
"Hs.719897"	"bone"	6.61e-215	6.684055873	"dbEST"
"Hs.703938"	"bone"	1.32e-239	5.264905854	"dbEST"
"Hs.697218"	"bone"	3.1e-302	5.738407522	"dbEST"
"Hs.704366"	"bone"	0	5.416403223	"dbEST"
"Hs.1584"	"bone"	0	6.775927501	"dbEST"
"Hs.375129"	"bone"	0	7.068546323	"dbEST"
"Hs.605153"	"bone"	0	6.847674384	"dbEST"
"Hs.703889"	"bone"	0	5.316085065	"dbEST"
"Hs.728830"	"bone"	0	4.216837724	"dbEST"
"Hs.137583"	"bone"	0.951	NA	"TiSGeD"
"Hs.161839"	"bone"	0.9851	NA	"TiSGeD"
"Hs.251386"	"bone"	0.9992	NA	"TiSGeD"
"Hs.279259"	"bone"	0.9378	NA	"TiSGeD"
"Hs.380781"	"bone"	0.9922	NA	"TiSGeD"
"Hs.41"	"bone"	0.9996	NA	"TiSGeD"
"Hs.421724"	"bone"	0.9614	NA	"TiSGeD"
"Hs.51120"	"bone"	0.9884	NA	"TiSGeD"
"Hs.529019"	"bone"	0.9947	NA	"TiSGeD"
"Hs.534322"	"bone"	0.9261	NA	"TiSGeD"
"Hs.591391"	"bone"	1	NA	"TiSGeD"
"Hs.696211"	"bone"	0.9261	NA	"TiSGeD"
"Hs.72885"	"bone"	0.9555	NA	"TiSGeD"
"Hs.73839"	"bone"	0.995	NA	"TiSGeD"
"Hs.889"	"bone"	0.9238	NA	"TiSGeD"
"Hs.928"	"bone"	0.9416	NA	"TiSGeD"
"Hs.99863"	"bone"	0.9297	NA	"TiSGeD"
