"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.28280"	"brain"	4.04e-06	4.011579542	"dbEST"
"Hs.671950"	"brain"	4.04e-06	4.568738901	"dbEST"
"Hs.672470"	"brain"	4.04e-06	5.722608813	"dbEST"
"Hs.714132"	"brain"	4.04e-06	5.496807995	"dbEST"
"Hs.688940"	"brain"	2.79e-06	4.662114368	"dbEST"
"Hs.352626"	"brain"	1.11e-06	6.180444904	"dbEST"
"Hs.632862"	"brain"	1.11e-06	6.343213324	"dbEST"
"Hs.570685"	"brain"	6.4e-07	4.215892948	"dbEST"
"Hs.13211"	"brain"	4.35e-07	4.350269376	"dbEST"
"Hs.251399"	"brain"	4.35e-07	4.979972673	"dbEST"
"Hs.385496"	"brain"	4.35e-07	5.518098204	"dbEST"
"Hs.695962"	"brain"	4.35e-07	4.317558008	"dbEST"
"Hs.248137"	"brain"	2.84e-07	5.439279794	"dbEST"
"Hs.435972"	"brain"	2.25e-07	6.454639324	"dbEST"
"Hs.486361"	"brain"	2.25e-07	5.791598627	"dbEST"
"Hs.591869"	"brain"	2.25e-07	6.454639324	"dbEST"
"Hs.632912"	"brain"	2.25e-07	6.093734937	"dbEST"
"Hs.657298"	"brain"	2.25e-07	6.454639324	"dbEST"
"Hs.657338"	"brain"	2.25e-07	5.853296735	"dbEST"
"Hs.450092"	"brain"	2.19e-07	6.731413283	"dbEST"
"Hs.627969"	"brain"	2.19e-07	6.55824835	"dbEST"
"Hs.696422"	"brain"	2.19e-07	6.465679803	"dbEST"
"Hs.440652"	"brain"	1.9e-07	5.166349158	"dbEST"
"Hs.633269"	"brain"	1.44e-07	5.623837862	"dbEST"
"Hs.27226"	"brain"	4.52e-08	5.270491756	"dbEST"
"Hs.592557"	"brain"	4.52e-08	6.520498678	"dbEST"
"Hs.494321"	"brain"	4.11e-08	6.36545962	"dbEST"
"Hs.531231"	"brain"	4.11e-08	5.077582023	"dbEST"
"Hs.658309"	"brain"	4.11e-08	4.459091681	"dbEST"
"Hs.656624"	"brain"	4.03e-08	5.902391009	"dbEST"
"Hs.12440"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.398148"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.503854"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.50927"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.554030"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.585960"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.638438"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.655740"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.668613"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.680472"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.684402"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.702221"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.730050"	"brain"	2.36e-08	7.072427502	"dbEST"
"Hs.252714"	"brain"	7.68e-09	6.830819024	"dbEST"
"Hs.329841"	"brain"	7.68e-09	6.830819024	"dbEST"
"Hs.632228"	"brain"	7.68e-09	6.571753894	"dbEST"
"Hs.654931"	"brain"	7.68e-09	6.929295683	"dbEST"
"Hs.661826"	"brain"	7.68e-09	5.289958945	"dbEST"
"Hs.21383"	"brain"	6.99e-09	4.325631987	"dbEST"
"Hs.272212"	"brain"	6.93e-09	4.826544196	"dbEST"
"Hs.719922"	"brain"	6.93e-09	5.435764528	"dbEST"
"Hs.101248"	"brain"	4.07e-09	7.072427502	"dbEST"
"Hs.290805"	"brain"	4.07e-09	7.072427502	"dbEST"
