"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.720715"	"breast"	2.46e-07	4.354800117	"dbEST"
"Hs.666493"	"breast"	6.05e-08	4.898549448	"dbEST"
"Hs.591790"	"breast"	5.78e-08	4.376294949	"dbEST"
"Hs.633977"	"breast"	1.9e-08	5.875584584	"dbEST"
"Hs.701005"	"breast"	5.31e-09	6.178273034	"dbEST"
"Hs.645327"	"breast"	2.57e-09	4.182486378	"dbEST"
"Hs.534621"	"breast"	1.62e-09	5.714349169	"dbEST"
"Hs.202676"	"breast"	9.43e-10	4.476159753	"dbEST"
"Hs.728847"	"breast"	5.98e-10	5.878727394	"dbEST"
"Hs.656219"	"breast"	1.17e-10	6.34589617	"dbEST"
"Hs.129598"	"breast"	5.15e-11	6.273644287	"dbEST"
"Hs.599596"	"breast"	5.15e-11	5.672859955	"dbEST"
"Hs.416043"	"breast"	4.29e-11	6.142228879	"dbEST"
"Hs.644925"	"breast"	3.77e-11	6.144754967	"dbEST"
"Hs.607092"	"breast"	3.2e-11	5.246317323	"dbEST"
"Hs.699993"	"breast"	5.24e-12	5.39519704	"dbEST"
"Hs.714503"	"breast"	2.16e-12	5.500118794	"dbEST"
"Hs.152423"	"breast"	1.95e-12	5.800481226	"dbEST"
"Hs.594273"	"breast"	9.56e-13	5.758615626	"dbEST"
"Hs.692896"	"breast"	2.25e-13	6.97035483	"dbEST"
"Hs.603806"	"breast"	8.76e-14	5.411243629	"dbEST"
"Hs.480819"	"breast"	6.36e-14	4.952841722	"dbEST"
"Hs.562643"	"breast"	4.76e-14	4.325945421	"dbEST"
"Hs.658018"	"breast"	3.7e-14	7.065234521	"dbEST"
"Hs.572077"	"breast"	3.25e-14	5.739297606	"dbEST"
"Hs.657752"	"breast"	2.22e-14	6.746626317	"dbEST"
"Hs.592145"	"breast"	1.24e-14	4.910626415	"dbEST"
"Hs.467733"	"breast"	1.19e-14	4.84121629	"dbEST"
"Hs.270621"	"breast"	1.11e-14	4.059522316	"dbEST"
"Hs.611255"	"breast"	8.75e-15	7.040233359	"dbEST"
"Hs.411061"	"breast"	2.18e-15	6.588155295	"dbEST"
"Hs.656220"	"breast"	1.91e-15	6.538145302	"dbEST"
"Hs.729899"	"breast"	1.49e-15	6.860232388	"dbEST"
"Hs.560938"	"breast"	1.22e-15	6.339087336	"dbEST"
"Hs.593854"	"breast"	1.22e-15	7.01190608	"dbEST"
"Hs.348419"	"breast"	1.9e-16	4.710352014	"dbEST"
"Hs.25345"	"breast"	1.39e-16	7.072427502	"dbEST"
"Hs.572289"	"breast"	1.39e-16	7.072427502	"dbEST"
"Hs.658044"	"breast"	1.39e-16	7.072427502	"dbEST"
"Hs.100686"	"breast"	5.67e-17	5.537940423	"dbEST"
"Hs.144151"	"breast"	4.23e-17	7.06848677	"dbEST"
"Hs.25555"	"breast"	4.23e-17	7.065648738	"dbEST"
"Hs.32043"	"breast"	1.85e-17	5.993659124	"dbEST"
"Hs.631491"	"breast"	1.84e-17	4.009754542	"dbEST"
"Hs.606686"	"breast"	5.25e-18	6.911085245	"dbEST"
"Hs.97414"	"breast"	3.21e-18	6.686279537	"dbEST"
"Hs.586211"	"breast"	9.37e-20	7.072427502	"dbEST"
"Hs.703758"	"breast"	9.37e-20	7.072427502	"dbEST"
"Hs.370636"	"breast"	6.18e-20	5.574204838	"dbEST"
"Hs.663593"	"breast"	3.99e-20	6.891497976	"dbEST"
"Hs.532363"	"breast"	1.08e-21	4.547253513	"dbEST"
"Hs.652267"	"breast"	9.51e-22	6.883133109	"dbEST"
"Hs.636246"	"breast"	9.25e-22	7.016731786	"dbEST"
"Hs.410197"	"breast"	2.48e-22	4.09487786	"dbEST"
"Hs.598475"	"breast"	4.16e-23	4.515837047	"dbEST"
"Hs.707825"	"breast"	2.17e-23	5.332332761	"dbEST"
"Hs.30814"	"breast"	6.2e-24	7.056103387	"dbEST"
"Hs.708772"	"breast"	4.05e-24	6.321009258	"dbEST"
