"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.648326"	"cervix"	9.8e-06	4.315718752	"dbEST"
"Hs.436102"	"cervix"	9.67e-06	4.21492671	"dbEST"
"Hs.728254"	"cervix"	4.68e-06	4.733570466	"dbEST"
"Hs.708040"	"cervix"	2.49e-06	4.533254146	"dbEST"
"Hs.516986"	"cervix"	2.38e-06	4.965435643	"dbEST"
"Hs.387601"	"cervix"	1.88e-06	4.001723891	"dbEST"
"Hs.21334"	"cervix"	1.49e-06	4.279309764	"dbEST"
"Hs.169615"	"cervix"	1.24e-06	5.048236131	"dbEST"
"Hs.433337"	"cervix"	8.37e-07	5.177276084	"dbEST"
"Hs.77876"	"cervix"	6.01e-07	4.203491463	"dbEST"
"Hs.24054"	"cervix"	5.16e-07	4.77049508	"dbEST"
"Hs.315177"	"cervix"	4.75e-07	4.045082418	"dbEST"
"Hs.60300"	"cervix"	2.08e-07	4.381259911	"dbEST"
"Hs.522507"	"cervix"	1.71e-07	4.148268454	"dbEST"
"Hs.729239"	"cervix"	7.98e-08	5.316569441	"dbEST"
"Hs.497581"	"cervix"	7.65e-08	4.047864957	"dbEST"
"Hs.496267"	"cervix"	7.12e-08	4.295559638	"dbEST"
"Hs.404088"	"cervix"	6.1e-08	4.452985441	"dbEST"
"Hs.99141"	"cervix"	5.59e-08	5.123748626	"dbEST"
"Hs.138207"	"cervix"	4.5e-09	4.361875567	"dbEST"
"Hs.25313"	"cervix"	4.5e-09	4.825452413	"dbEST"
"Hs.509637"	"cervix"	3.7e-09	4.876573445	"dbEST"
"Hs.379785"	"cervix"	2.96e-10	4.212937553	"dbEST"
"Hs.30868"	"cervix"	2.4e-10	5.690814383	"dbEST"
"Hs.443430"	"cervix"	1.53e-10	4.41366099	"dbEST"
"Hs.44276"	"cervix"	4.64e-11	5.537067462	"dbEST"
"Hs.408488"	"cervix"	4.5e-11	4.101629982	"dbEST"
"Hs.159546"	"cervix"	4.17e-11	5.294170018	"dbEST"
"Hs.503163"	"cervix"	8.35e-12	5.47311897	"dbEST"
"Hs.534360"	"cervix"	3.18e-12	5.079600133	"dbEST"
"Hs.512670"	"cervix"	5.14e-13	4.05188269	"dbEST"
"Hs.377484"	"cervix"	4.57e-13	4.955892405	"dbEST"
"Hs.584908"	"cervix"	4.37e-13	4.658687072	"dbEST"
"Hs.505652"	"cervix"	1.81e-13	4.366135138	"dbEST"
"Hs.631629"	"cervix"	1.56e-13	4.018772245	"dbEST"
"Hs.122908"	"cervix"	4.76e-14	4.51997064	"dbEST"
"Hs.539684"	"cervix"	1.29e-14	4.362095617	"dbEST"
"Hs.339735"	"cervix"	3.42e-17	5.22295889	"dbEST"
"Hs.516826"	"cervix"	1.6e-17	4.770175818	"dbEST"
"Hs.101937"	"cervix"	8.95e-18	6.985698568	"dbEST"
"Hs.644628"	"cervix"	1.5e-18	4.608675373	"dbEST"
"Hs.73769"	"cervix"	1.24e-21	5.691797454	"dbEST"
"Hs.186350"	"cervix"	1.77e-40	4.292633828	"dbEST"
"Hs.160786"	"cervix"	8.12e-98	6.564980437	"dbEST"
"Hs.706070"	"cervix"	3.78e-114	4.246082703	"dbEST"
"Hs.2785"	"cervix"	0	4.500311694	"dbEST"
"Hs.363396"	"cervix"	NA	NA	"HPA"
"Hs.114948"	"cervix"	0.9037	NA	"TiSGeD"
"Hs.12056"	"cervix"	0.9967	NA	"TiSGeD"
"Hs.120759"	"cervix"	0.9132	NA	"TiSGeD"
"Hs.131835"	"cervix"	0.9908	NA	"TiSGeD"
"Hs.132992"	"cervix"	0.9968	NA	"TiSGeD"
"Hs.144879"	"cervix"	0.9478	NA	"TiSGeD"
"Hs.159509"	"cervix"	0.9901	NA	"TiSGeD"
"Hs.159628"	"cervix"	0.9357	NA	"TiSGeD"
"Hs.167017"	"cervix"	0.9795	NA	"TiSGeD"
"Hs.167584"	"cervix"	0.9496	NA	"TiSGeD"
"Hs.184085"	"cervix"	0.9956	NA	"TiSGeD"
"Hs.1867"	"cervix"	0.974	NA	"TiSGeD"
"Hs.196952"	"cervix"	0.9971	NA	"TiSGeD"
"Hs.198241"	"cervix"	0.944	NA	"TiSGeD"
"Hs.22111"	"cervix"	0.9607	NA	"TiSGeD"
"Hs.224698"	"cervix"	0.9919	NA	"TiSGeD"
"Hs.272259"	"cervix"	0.9796	NA	"TiSGeD"
"Hs.282670"	"cervix"	0.9545	NA	"TiSGeD"
"Hs.283749"	"cervix"	0.9227	NA	"TiSGeD"
"Hs.2899"	"cervix"	0.9238	NA	"TiSGeD"
"Hs.324746"	"cervix"	0.903	NA	"TiSGeD"
"Hs.349110"	"cervix"	0.9876	NA	"TiSGeD"
"Hs.368243"	"cervix"	0.9128	NA	"TiSGeD"
"Hs.387239"	"cervix"	0.9844	NA	"TiSGeD"
"Hs.408903"	"cervix"	0.9379	NA	"TiSGeD"
"Hs.418167"	"cervix"	0.9695	NA	"TiSGeD"
"Hs.427055"	"cervix"	0.9429	NA	"TiSGeD"
"Hs.442182"	"cervix"	0.9771	NA	"TiSGeD"
"Hs.445358"	"cervix"	0.9985	NA	"TiSGeD"
"Hs.512587"	"cervix"	0.9876	NA	"TiSGeD"
"Hs.512937"	"cervix"	0.9818	NA	"TiSGeD"
"Hs.513711"	"cervix"	0.9754	NA	"TiSGeD"
"Hs.515835"	"cervix"	0.9939	NA	"TiSGeD"
"Hs.522356"	"cervix"	0.9741	NA	"TiSGeD"
"Hs.523403"	"cervix"	0.9963	NA	"TiSGeD"
"Hs.526596"	"cervix"	0.9811	NA	"TiSGeD"
"Hs.534468"	"cervix"	0.9147	NA	"TiSGeD"
"Hs.546304"	"cervix"	0.926	NA	"TiSGeD"
"Hs.551993"	"cervix"	0.9811	NA	"TiSGeD"
"Hs.586161"	"cervix"	0.9912	NA	"TiSGeD"
"Hs.644108"	"cervix"	0.935	NA	"TiSGeD"
"Hs.654440"	"cervix"	0.9176	NA	"TiSGeD"
"Hs.654970"	"cervix"	0.9717	NA	"TiSGeD"
"Hs.655432"	"cervix"	0.9562	NA	"TiSGeD"
"Hs.655654"	"cervix"	0.9863	NA	"TiSGeD"
"Hs.708058"	"cervix"	0.9754	NA	"TiSGeD"
"Hs.728876"	"cervix"	0.9525	NA	"TiSGeD"
"Hs.7303"	"cervix"	0.9289	NA	"TiSGeD"
"Hs.73849"	"cervix"	0.9783	NA	"TiSGeD"
"Hs.75599"	"cervix"	0.9988	NA	"TiSGeD"
"Hs.76716"	"cervix"	0.983	NA	"TiSGeD"
"Hs.76838"	"cervix"	0.9991	NA	"TiSGeD"
"Hs.77854"	"cervix"	0.9186	NA	"TiSGeD"
"Hs.81134"	"cervix"	0.9447	NA	"TiSGeD"
"Hs.93194"	"cervix"	0.9394	NA	"TiSGeD"
