"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.654456"	"colon"	1.32e-06	4.321740749	"dbEST"
"Hs.694798"	"colon"	4.14e-07	4.383485229	"dbEST"
"Hs.593649"	"colon"	1.35e-07	4.876145855	"dbEST"
"Hs.552124"	"colon"	9.91e-08	4.315330955	"dbEST"
"Hs.709191"	"colon"	4.17e-08	4.562529129	"dbEST"
"Hs.152475"	"colon"	7.51e-09	5.082223148	"dbEST"
"Hs.77221"	"colon"	7.27e-09	4.018216449	"dbEST"
"Hs.712819"	"colon"	5.48e-09	4.776376489	"dbEST"
"Hs.597557"	"colon"	3.59e-09	4.572873799	"dbEST"
"Hs.25338"	"colon"	2.82e-09	5.262894762	"dbEST"
"Hs.628891"	"colon"	1.38e-09	6.5618599	"dbEST"
"Hs.154578"	"colon"	7.56e-10	4.278100923	"dbEST"
"Hs.436181"	"colon"	3.69e-10	4.414237201	"dbEST"
"Hs.282931"	"colon"	2.63e-10	4.688741317	"dbEST"
"Hs.707504"	"colon"	3.22e-11	6.203833062	"dbEST"
"Hs.413095"	"colon"	1.61e-11	5.15284646	"dbEST"
"Hs.242014"	"colon"	1.51e-11	4.388833795	"dbEST"
"Hs.124835"	"colon"	1.1e-11	5.101294513	"dbEST"
"Hs.404741"	"colon"	9.27e-12	4.309723226	"dbEST"
"Hs.116462"	"colon"	7.99e-12	5.376358376	"dbEST"
"Hs.345694"	"colon"	7.15e-12	6.332127749	"dbEST"
"Hs.180758"	"colon"	1.17e-12	6.482432529	"dbEST"
"Hs.583071"	"colon"	1.17e-12	6.877083107	"dbEST"
"Hs.657825"	"colon"	8.26e-13	4.77792251	"dbEST"
"Hs.592076"	"colon"	3.99e-13	6.996864336	"dbEST"
"Hs.599877"	"colon"	3.99e-13	5.9725796	"dbEST"
"Hs.448717"	"colon"	3.41e-13	6.089068893	"dbEST"
"Hs.728338"	"colon"	2.38e-13	4.338919209	"dbEST"
"Hs.474822"	"colon"	1.8e-13	4.95846292	"dbEST"
"Hs.514292"	"colon"	1.73e-13	5.712939387	"dbEST"
"Hs.462402"	"colon"	1.55e-13	5.508563527	"dbEST"
