"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.436687"	"ear"	1.93e-06	5.5775208	"dbEST"
"Hs.581171"	"ear"	8.17e-07	4.925768883	"dbEST"
"Hs.269782"	"ear"	3.31e-07	5.86106017	"dbEST"
"Hs.535002"	"ear"	1.2e-07	5.137653402	"dbEST"
"Hs.356624"	"ear"	7.64e-08	4.767850139	"dbEST"
"Hs.533683"	"ear"	6.52e-08	4.747013814	"dbEST"
"Hs.706888"	"ear"	2.62e-08	4.579149425	"dbEST"
"Hs.292265"	"ear"	1.3e-08	5.464069764	"dbEST"
"Hs.154654"	"ear"	6.75e-09	5.539911114	"dbEST"
"Hs.407580"	"ear"	3.51e-09	5.451172	"dbEST"
"Hs.501012"	"ear"	2.21e-09	5.113814251	"dbEST"
"Hs.152913"	"ear"	5.54e-10	4.321192574	"dbEST"
"Hs.165859"	"ear"	4.41e-10	5.979796774	"dbEST"
"Hs.561432"	"ear"	3.57e-10	5.984228105	"dbEST"
"Hs.521461"	"ear"	3.37e-10	4.7198161	"dbEST"
"Hs.713750"	"ear"	1.23e-10	5.557241419	"dbEST"
"Hs.713634"	"ear"	9.19e-11	5.382142898	"dbEST"
"Hs.524894"	"ear"	4.01e-11	4.206005341	"dbEST"
"Hs.533336"	"ear"	3.59e-11	5.207306916	"dbEST"
"Hs.719698"	"ear"	3.59e-11	5.158783453	"dbEST"
"Hs.592340"	"ear"	1.32e-11	6.613963322	"dbEST"
"Hs.518921"	"ear"	9.2e-12	5.243080447	"dbEST"
"Hs.576320"	"ear"	8.32e-12	5.626609551	"dbEST"
"Hs.120633"	"ear"	2.88e-12	4.968679521	"dbEST"
"Hs.655654"	"ear"	8.88e-13	4.325211879	"dbEST"
"Hs.76884"	"ear"	4.27e-13	5.599545491	"dbEST"
"Hs.507798"	"ear"	4.22e-13	5.061564046	"dbEST"
"Hs.511817"	"ear"	3.9e-13	6.568217035	"dbEST"
"Hs.644095"	"ear"	2.37e-13	5.654241724	"dbEST"
"Hs.144197"	"ear"	8.1e-14	6.945061984	"dbEST"
"Hs.656071"	"ear"	7.16e-14	6.63045714	"dbEST"
"Hs.728154"	"ear"	8.85e-15	6.117272929	"dbEST"
"Hs.519520"	"ear"	4.5e-16	5.475195638	"dbEST"
"Hs.633078"	"ear"	3.98e-16	7.023439358	"dbEST"
"Hs.34114"	"ear"	6.06e-17	5.360479915	"dbEST"
"Hs.369840"	"ear"	3.07e-18	5.885498339	"dbEST"
"Hs.658618"	"ear"	8.56e-19	7.050040765	"dbEST"
"Hs.436542"	"ear"	3.11e-19	6.714614477	"dbEST"
"Hs.160562"	"ear"	2e-19	6.829783956	"dbEST"
"Hs.518827"	"ear"	4.24e-20	5.478722771	"dbEST"
"Hs.708235"	"ear"	1.11e-20	6.881494853	"dbEST"
"Hs.675535"	"ear"	1.19e-21	5.87348497	"dbEST"
"Hs.348883"	"ear"	5.77e-22	6.993681328	"dbEST"
"Hs.596087"	"ear"	6.89e-23	6.976697942	"dbEST"
"Hs.715546"	"ear"	3.48e-25	6.797527484	"dbEST"
"Hs.23616"	"ear"	3.3e-25	6.94971326	"dbEST"
"Hs.519445"	"ear"	8.59e-26	6.899846175	"dbEST"
"Hs.422181"	"ear"	1.08e-26	6.561095748	"dbEST"
"Hs.712658"	"ear"	1.05e-26	6.806149825	"dbEST"
"Hs.624765"	"ear"	4.92e-27	7.072427502	"dbEST"
"Hs.654841"	"ear"	3.31e-28	7.054032018	"dbEST"
"Hs.371249"	"ear"	6.76e-29	6.195520177	"dbEST"
"Hs.372031"	"ear"	9.23e-31	4.243603075	"dbEST"
"Hs.519909"	"ear"	1.18e-34	6.930458705	"dbEST"
"Hs.728457"	"ear"	6.68e-36	7.032060581	"dbEST"
"Hs.148462"	"ear"	1.32e-36	7.072381317	"dbEST"
"Hs.715309"	"ear"	3.94e-38	7.067285577	"dbEST"
"Hs.523446"	"ear"	2.01e-40	6.842193664	"dbEST"
"Hs.650585"	"ear"	1.25e-43	6.037849148	"dbEST"
"Hs.535845"	"ear"	2.41e-44	7.062157934	"dbEST"
"Hs.418012"	"ear"	9.09e-59	7.044118944	"dbEST"
"Hs.681002"	"ear"	1.19e-61	5.303376943	"dbEST"
"Hs.109439"	"ear"	1.96e-63	6.781644746	"dbEST"
"Hs.708558"	"ear"	3.6e-67	6.62753387	"dbEST"
"Hs.36053"	"ear"	8.48e-80	7.047942336	"dbEST"
"Hs.389378"	"ear"	1.78e-83	6.962671713	"dbEST"
"Hs.714673"	"ear"	5.25e-90	7.003053547	"dbEST"
"Hs.41119"	"ear"	7.46e-95	7.072400174	"dbEST"
"Hs.111779"	"ear"	6.89e-96	5.210350353	"dbEST"
"Hs.408182"	"ear"	1.76e-129	6.901279496	"dbEST"
"Hs.518726"	"ear"	4.78e-147	7.064872936	"dbEST"
"Hs.644125"	"ear"	4.63e-172	7.055333915	"dbEST"
"Hs.443625"	"ear"	5.41e-179	4.824386353	"dbEST"
"Hs.489142"	"ear"	1.22e-200	4.891560314	"dbEST"
"Hs.590892"	"ear"	2.19e-240	7.052745477	"dbEST"
"Hs.21016"	"ear"	0	7.070439908	"dbEST"
"Hs.669724"	"ear"	0	6.923073496	"dbEST"
