"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.660769"	"embryo"	6.21e-06	4.107120761	"dbEST"
"Hs.39384"	"embryo"	4.32e-06	4.576166253	"dbEST"
"Hs.135787"	"embryo"	3.05e-06	4.542386212	"dbEST"
"Hs.98523"	"embryo"	8.28e-07	5.320951228	"dbEST"
"Hs.25362"	"embryo"	3.11e-07	4.295596544	"dbEST"
"Hs.149020"	"embryo"	1.17e-08	4.687192649	"dbEST"
"Hs.595153"	"embryo"	1.12e-08	4.31371855	"dbEST"
"Hs.927"	"embryo"	9.57e-09	4.110533026	"dbEST"
"Hs.19193"	"embryo"	7.23e-09	4.575736192	"dbEST"
"Hs.520119"	"embryo"	3.18e-09	4.482401599	"dbEST"
"Hs.111227"	"embryo"	1.89e-09	5.514718921	"dbEST"
"Hs.718427"	"embryo"	2.58e-10	6.56021459	"dbEST"
"Hs.323308"	"embryo"	1.7e-10	4.235663729	"dbEST"
"Hs.643993"	"embryo"	3.63e-12	6.531867083	"dbEST"
"Hs.708365"	"embryo"	2.53e-12	6.223806564	"dbEST"
"Hs.159311"	"embryo"	1.86e-12	5.23286752	"dbEST"
"Hs.124384"	"embryo"	1.14e-12	5.384289539	"dbEST"
"Hs.524481"	"embryo"	7.53e-13	5.090388623	"dbEST"
"Hs.702664"	"embryo"	2.56e-13	6.862274514	"dbEST"
"Hs.128292"	"embryo"	5.09e-14	4.445953764	"dbEST"
"Hs.720658"	"embryo"	5.04e-14	5.226049384	"dbEST"
"Hs.432638"	"embryo"	9.2e-15	6.05442757	"dbEST"
"Hs.704782"	"embryo"	4.15e-15	7.072427502	"dbEST"
"Hs.704811"	"embryo"	4.15e-15	7.072427502	"dbEST"
"Hs.648367"	"embryo"	4.6e-16	5.849879584	"dbEST"
"Hs.655684"	"embryo"	3.24e-16	4.277588647	"dbEST"
"Hs.416358"	"embryo"	1.99e-16	4.767696939	"dbEST"
"Hs.704817"	"embryo"	1.51e-16	7.072427502	"dbEST"
"Hs.722738"	"embryo"	1.51e-16	7.072427502	"dbEST"
"Hs.287532"	"embryo"	7.16e-17	6.363904712	"dbEST"
"Hs.517113"	"embryo"	6.77e-18	5.500653698	"dbEST"
"Hs.704793"	"embryo"	5.51e-18	7.072427502	"dbEST"
"Hs.704880"	"embryo"	5.51e-18	7.072427502	"dbEST"
"Hs.278489"	"embryo"	7.34e-19	5.629615328	"dbEST"
"Hs.704808"	"embryo"	2.01e-19	7.072427502	"dbEST"
"Hs.704903"	"embryo"	2.01e-19	7.072427502	"dbEST"
"Hs.654854"	"embryo"	1.1e-19	4.599694265	"dbEST"
"Hs.282079"	"embryo"	1.53e-20	6.902910386	"dbEST"
"Hs.704298"	"embryo"	4.13e-21	7.044731176	"dbEST"
"Hs.578167"	"embryo"	8.86e-22	6.458809953	"dbEST"
"Hs.704803"	"embryo"	2.67e-22	7.072427502	"dbEST"
"Hs.144936"	"embryo"	7.06e-23	4.122572005	"dbEST"
"Hs.704779"	"embryo"	9.73e-24	7.072427502	"dbEST"
"Hs.704944"	"embryo"	9.73e-24	7.072427502	"dbEST"
"Hs.702720"	"embryo"	6.17e-24	7.069173889	"dbEST"
"Hs.253994"	"embryo"	3.26e-25	5.763968963	"dbEST"
"Hs.35354"	"embryo"	2.9e-27	4.93865969	"dbEST"
"Hs.248192"	"embryo"	1.32e-27	6.994504979	"dbEST"
"Hs.642978"	"embryo"	1.86e-30	6.862960266	"dbEST"
"Hs.704787"	"embryo"	6.27e-31	7.072427502	"dbEST"
"Hs.150595"	"embryo"	3.73e-34	6.677422126	"dbEST"
"Hs.702652"	"embryo"	5.66e-35	6.994368417	"dbEST"
"Hs.334515"	"embryo"	1.01e-36	6.846394621	"dbEST"
"Hs.685462"	"embryo"	3.83e-44	6.635709372	"dbEST"
"Hs.248204"	"embryo"	4.18e-45	7.003762718	"dbEST"
"Hs.385870"	"embryo"	7.41e-46	6.723017842	"dbEST"
"Hs.317659"	"embryo"	3.66e-48	5.515098637	"dbEST"
"Hs.130957"	"embryo"	1.3e-48	4.669122456	"dbEST"
"Hs.150366"	"embryo"	9.17e-51	4.311391657	"dbEST"
"Hs.505924"	"embryo"	2.81e-57	5.919993375	"dbEST"
"Hs.719018"	"embryo"	1.46e-57	4.38042665	"dbEST"
"Hs.728794"	"embryo"	1.25e-66	4.068939596	"dbEST"
"Hs.728828"	"embryo"	1.05e-69	4.386124144	"dbEST"
"Hs.86154"	"embryo"	1.49e-71	6.471629929	"dbEST"
"Hs.713611"	"embryo"	4.31e-90	6.758812122	"dbEST"
"Hs.82045"	"embryo"	7.08e-98	5.459371773	"dbEST"
"Hs.249184"	"embryo"	6.13e-101	6.943151548	"dbEST"
"Hs.533779"	"embryo"	1.09e-139	6.511406009	"dbEST"
"Hs.300141"	"embryo"	9.59e-276	5.571764394	"dbEST"
