"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.728769"	"esophagus"	3.37e-06	4.317775059	"dbEST"
"Hs.727646"	"esophagus"	2.21e-06	4.636042039	"dbEST"
"Hs.20315"	"esophagus"	8.53e-07	4.779716923	"dbEST"
"Hs.604915"	"esophagus"	2.91e-07	4.411604922	"dbEST"
"Hs.523332"	"esophagus"	3.35e-08	4.417233375	"dbEST"
"Hs.728778"	"esophagus"	1.63e-08	4.571962355	"dbEST"
"Hs.121432"	"esophagus"	1.63e-08	4.181094463	"dbEST"
"Hs.132513"	"esophagus"	1.34e-08	5.043678646	"dbEST"
"Hs.194698"	"esophagus"	8.92e-09	5.835608286	"dbEST"
"Hs.492740"	"esophagus"	4.45e-09	5.525686834	"dbEST"
"Hs.81071"	"esophagus"	1.91e-09	4.381510445	"dbEST"
"Hs.708260"	"esophagus"	3.82e-10	4.33715866	"dbEST"
"Hs.85962"	"esophagus"	3.16e-10	5.445599715	"dbEST"
"Hs.125113"	"esophagus"	7.48e-11	4.165227108	"dbEST"
"Hs.14611"	"esophagus"	5.76e-11	5.029609209	"dbEST"
"Hs.464071"	"esophagus"	2.58e-11	5.334766056	"dbEST"
"Hs.268849"	"esophagus"	2.35e-11	4.846836655	"dbEST"
"Hs.572518"	"esophagus"	7.31e-12	5.313845104	"dbEST"
"Hs.73799"	"esophagus"	3.37e-12	4.309618664	"dbEST"
"Hs.636850"	"esophagus"	7.35e-13	6.915346816	"dbEST"
"Hs.414579"	"esophagus"	4.37e-14	4.079348783	"dbEST"
"Hs.594481"	"esophagus"	3.63e-14	4.493019429	"dbEST"
"Hs.81134"	"esophagus"	6.99e-15	5.541292523	"dbEST"
"Hs.728194"	"esophagus"	2.23e-16	6.091707354	"dbEST"
"Hs.518244"	"esophagus"	6.47e-17	5.399350237	"dbEST"
"Hs.567256"	"esophagus"	6.07e-17	4.240668774	"dbEST"
"Hs.78771"	"esophagus"	4.37e-17	4.013619487	"dbEST"
"Hs.531682"	"esophagus"	1.83e-17	5.0987345	"dbEST"
"Hs.554822"	"esophagus"	9.35e-18	5.092811967	"dbEST"
"Hs.123534"	"esophagus"	5.38e-18	6.113572244	"dbEST"
"Hs.13225"	"esophagus"	1.34e-18	5.368960416	"dbEST"
"Hs.445705"	"esophagus"	9.07e-19	5.432504449	"dbEST"
"Hs.161985"	"esophagus"	6.11e-19	4.364982938	"dbEST"
"Hs.62192"	"esophagus"	4.14e-19	5.746937315	"dbEST"
"Hs.502328"	"esophagus"	1.28e-20	4.419867555	"dbEST"
"Hs.631594"	"esophagus"	8.63e-21	6.569450218	"dbEST"
"Hs.193745"	"esophagus"	5.27e-21	6.94850918	"dbEST"
"Hs.80919"	"esophagus"	3.31e-22	5.707614186	"dbEST"
"Hs.2022"	"esophagus"	2.28e-22	4.443876147	"dbEST"
"Hs.719966"	"esophagus"	1.16e-25	4.871089551	"dbEST"
"Hs.407122"	"esophagus"	1.21e-27	6.982279034	"dbEST"
"Hs.596312"	"esophagus"	9.07e-29	5.520984947	"dbEST"
"Hs.721645"	"esophagus"	5.69e-29	6.978179648	"dbEST"
"Hs.729733"	"esophagus"	6.11e-30	6.962748141	"dbEST"
"Hs.226390"	"esophagus"	1.11e-32	5.129048135	"dbEST"
"Hs.514950"	"esophagus"	3.07e-37	5.737590225	"dbEST"
"Hs.665267"	"esophagus"	2.78e-37	6.922958236	"dbEST"
"Hs.448277"	"esophagus"	7.68e-40	6.458836775	"dbEST"
"Hs.501293"	"esophagus"	3.61e-42	4.872735315	"dbEST"
"Hs.164226"	"esophagus"	1.25e-42	5.872258147	"dbEST"
"Hs.164324"	"esophagus"	6.3e-46	7.035217466	"dbEST"
"Hs.2258"	"esophagus"	2.5e-50	7.032273595	"dbEST"
"Hs.389"	"esophagus"	2.5e-50	6.859829062	"dbEST"
"Hs.234642"	"esophagus"	2.6e-51	4.666029365	"dbEST"
"Hs.654570"	"esophagus"	1.31e-54	6.762263479	"dbEST"
"Hs.459284"	"esophagus"	1.78e-56	6.734952767	"dbEST"
"Hs.714255"	"esophagus"	2.77e-59	6.370783947	"dbEST"
"Hs.376064"	"esophagus"	1.38e-60	6.607474194	"dbEST"
"Hs.502769"	"esophagus"	1.74e-62	5.570630235	"dbEST"
"Hs.525600"	"esophagus"	7.95e-74	6.134716966	"dbEST"
"Hs.466471"	"esophagus"	9.77e-76	6.054297414	"dbEST"
"Hs.2795"	"esophagus"	1.74e-77	5.393956092	"dbEST"
"Hs.655160"	"esophagus"	1.23e-96	6.506385503	"dbEST"
"Hs.719042"	"esophagus"	9.43e-101	6.187578724	"dbEST"
"Hs.412484"	"esophagus"	7.28e-105	7.057070312	"dbEST"
"Hs.201446"	"esophagus"	7.4e-118	6.877368118	"dbEST"
"Hs.242057"	"esophagus"	1.39e-149	7.033131493	"dbEST"
"Hs.700779"	"esophagus"	6.82e-209	4.141263368	"dbEST"
"Hs.654610"	"esophagus"	1.74e-256	4.866592374	"dbEST"
"Hs.654550"	"esophagus"	0	6.888703809	"dbEST"
