"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.591252"	"eye"	8.99e-06	4.072120454	"dbEST"
"Hs.12513"	"eye"	8.98e-06	4.325693931	"dbEST"
"Hs.440466"	"eye"	5.87e-06	4.334126578	"dbEST"
"Hs.696425"	"eye"	2.3e-06	5.038558705	"dbEST"
"Hs.420244"	"eye"	1.81e-06	4.293384592	"dbEST"
"Hs.591668"	"eye"	1.27e-06	5.39105146	"dbEST"
"Hs.444181"	"eye"	1e-06	4.236012718	"dbEST"
"Hs.511025"	"eye"	8.42e-07	4.379155702	"dbEST"
"Hs.728301"	"eye"	6.21e-07	4.177443563	"dbEST"
"Hs.501632"	"eye"	5.88e-07	4.033409594	"dbEST"
"Hs.204449"	"eye"	4.02e-07	4.378954493	"dbEST"
"Hs.65750"	"eye"	3.74e-07	5.967418648	"dbEST"
"Hs.180197"	"eye"	3.39e-07	4.453368756	"dbEST"
"Hs.212172"	"eye"	2.17e-07	4.287685335	"dbEST"
"Hs.632391"	"eye"	1.37e-07	4.812092902	"dbEST"
"Hs.604182"	"eye"	1e-07	4.014715811	"dbEST"
"Hs.59761"	"eye"	7.69e-08	4.204123322	"dbEST"
"Hs.158311"	"eye"	6.52e-08	4.383404858	"dbEST"
"Hs.127286"	"eye"	4.68e-08	5.813809564	"dbEST"
"Hs.133029"	"eye"	3.49e-08	5.348962483	"dbEST"
"Hs.658868"	"eye"	3.32e-08	5.423081324	"dbEST"
"Hs.435074"	"eye"	1.79e-08	5.292189375	"dbEST"
"Hs.90232"	"eye"	1.28e-08	4.464861391	"dbEST"
"Hs.64341"	"eye"	4.28e-09	6.377652488	"dbEST"
"Hs.655027"	"eye"	4.28e-09	5.81718697	"dbEST"
"Hs.703252"	"eye"	2.58e-09	4.58698879	"dbEST"
"Hs.1323"	"eye"	2.55e-09	4.351260163	"dbEST"
"Hs.659256"	"eye"	1.9e-09	4.200996616	"dbEST"
"Hs.720973"	"eye"	1.3e-09	6.088578886	"dbEST"
"Hs.181781"	"eye"	9.22e-10	4.9710748	"dbEST"
"Hs.208343"	"eye"	9.05e-10	6.662532529	"dbEST"
"Hs.728211"	"eye"	9.05e-10	5.491790117	"dbEST"
"Hs.558334"	"eye"	7.95e-10	5.998321898	"dbEST"
"Hs.503743"	"eye"	5.48e-10	4.645319947	"dbEST"
"Hs.591250"	"eye"	3.67e-10	6.244929568	"dbEST"
"Hs.45127"	"eye"	3.41e-10	4.12400652	"dbEST"
"Hs.98788"	"eye"	3.11e-10	5.292638767	"dbEST"
"Hs.373642"	"eye"	2.21e-10	5.359702044	"dbEST"
"Hs.494178"	"eye"	1.8e-10	5.794596644	"dbEST"
"Hs.96633"	"eye"	1.79e-10	5.088507434	"dbEST"
"Hs.713616"	"eye"	1.71e-10	4.136478997	"dbEST"
"Hs.143102"	"eye"	7.51e-11	5.448245757	"dbEST"
"Hs.624689"	"eye"	4.84e-11	6.808390962	"dbEST"
"Hs.671273"	"eye"	4.84e-11	6.557137928	"dbEST"
"Hs.644649"	"eye"	3.06e-11	4.983159291	"dbEST"
"Hs.271896"	"eye"	2.4e-11	5.41750292	"dbEST"
"Hs.163990"	"eye"	1.65e-11	5.891229257	"dbEST"
"Hs.319438"	"eye"	1.4e-11	5.349845072	"dbEST"
"Hs.187694"	"eye"	1.37e-11	5.121856131	"dbEST"
"Hs.97644"	"eye"	5.82e-12	4.659930426	"dbEST"
"Hs.499704"	"eye"	5.67e-12	4.441572325	"dbEST"
"Hs.90297"	"eye"	5.64e-12	5.579290727	"dbEST"
"Hs.143036"	"eye"	3.35e-12	6.117339319	"dbEST"
"Hs.99922"	"eye"	2.73e-12	6.66211805	"dbEST"
"Hs.31746"	"eye"	2.25e-12	6.751053727	"dbEST"
"Hs.433492"	"eye"	2.04e-12	4.96341126	"dbEST"
"Hs.170819"	"eye"	1.56e-12	5.816461685	"dbEST"
"Hs.513842"	"eye"	1.25e-12	6.953476991	"dbEST"
"Hs.531650"	"eye"	1.16e-12	6.304341383	"dbEST"
"Hs.710085"	"eye"	1.16e-12	6.602795332	"dbEST"
"Hs.655676"	"eye"	1.02e-12	4.901800558	"dbEST"
"Hs.660831"	"eye"	4.75e-13	6.756066129	"dbEST"
"Hs.597921"	"eye"	3.43e-13	6.60359561	"dbEST"
"Hs.720939"	"eye"	1.73e-13	5.388400135	"dbEST"
"Hs.117961"	"eye"	1.48e-13	7.002774359	"dbEST"
"Hs.76460"	"eye"	1.42e-13	4.880011031	"dbEST"
"Hs.187354"	"eye"	8.76e-14	4.645804509	"dbEST"
"Hs.652819"	"eye"	8.74e-14	7.063705046	"dbEST"
"Hs.590945"	"eye"	1.07e-14	6.599125348	"dbEST"
"Hs.84244"	"eye"	8.06e-15	6.657066139	"dbEST"
"Hs.234775"	"eye"	7.84e-15	6.799620905	"dbEST"
"Hs.709819"	"eye"	6.86e-15	5.553754403	"dbEST"
"Hs.546732"	"eye"	3.08e-15	6.970746703	"dbEST"
"Hs.233363"	"eye"	2.65e-15	6.572539068	"dbEST"
"Hs.500643"	"eye"	2.41e-15	5.084127848	"dbEST"
"Hs.354846"	"eye"	1.41e-15	7.072427502	"dbEST"
"Hs.439577"	"eye"	1.41e-15	7.072427502	"dbEST"
"Hs.592247"	"eye"	1.41e-15	7.072427502	"dbEST"
"Hs.633397"	"eye"	1.41e-15	7.072427502	"dbEST"
"Hs.637900"	"eye"	1.41e-15	7.072427502	"dbEST"
"Hs.631845"	"eye"	1.17e-15	4.356879701	"dbEST"
"Hs.21754"	"eye"	5.3e-16	4.766693928	"dbEST"
"Hs.145068"	"eye"	4.98e-16	4.836022227	"dbEST"
"Hs.247888"	"eye"	3.62e-16	7.031506315	"dbEST"
"Hs.372938"	"eye"	1.06e-16	4.723598688	"dbEST"
"Hs.375616"	"eye"	8.19e-17	5.628627285	"dbEST"
"Hs.118555"	"eye"	2.52e-17	6.842326346	"dbEST"
"Hs.435845"	"eye"	6.71e-18	6.476812577	"dbEST"
"Hs.660813"	"eye"	4.36e-18	6.874539781	"dbEST"
"Hs.445613"	"eye"	1.51e-18	7.072427502	"dbEST"
"Hs.631499"	"eye"	3.18e-19	5.868312845	"dbEST"
"Hs.21413"	"eye"	2.76e-19	5.636660538	"dbEST"
"Hs.676697"	"eye"	1.82e-19	6.32565513	"dbEST"
"Hs.727790"	"eye"	6.74e-20	5.349384554	"dbEST"
"Hs.591024"	"eye"	3e-20	7.060036	"dbEST"
"Hs.221513"	"eye"	1.39e-20	6.933824619	"dbEST"
"Hs.632799"	"eye"	4.72e-21	6.772647628	"dbEST"
"Hs.656032"	"eye"	4.71e-21	5.981405251	"dbEST"
"Hs.193842"	"eye"	2.49e-21	5.35177269	"dbEST"
"Hs.185777"	"eye"	2.24e-21	6.529862606	"dbEST"
"Hs.298284"	"eye"	2.24e-21	7.011467684	"dbEST"
"Hs.2133"	"eye"	7.13e-22	7.053254261	"dbEST"
"Hs.657138"	"eye"	2.06e-22	6.788736242	"dbEST"
"Hs.63085"	"eye"	1.61e-22	4.825968985	"dbEST"
"Hs.632495"	"eye"	9.63e-23	7.023651105	"dbEST"
"Hs.449771"	"eye"	2.84e-23	7.018451514	"dbEST"
"Hs.633497"	"eye"	2.84e-23	7.071931511	"dbEST"
"Hs.415322"	"eye"	1.1e-23	6.102938139	"dbEST"
"Hs.33102"	"eye"	4.76e-24	5.792878338	"dbEST"
"Hs.1544"	"eye"	4.38e-24	6.46609017	"dbEST"
"Hs.346950"	"eye"	3.31e-24	4.661919122	"dbEST"
"Hs.7023"	"eye"	1.08e-24	5.108027177	"dbEST"
"Hs.117694"	"eye"	9.85e-25	7.024566014	"dbEST"
"Hs.533022"	"eye"	3.3e-25	7.048963517	"dbEST"
"Hs.433652"	"eye"	1.35e-25	6.127612015	"dbEST"
"Hs.729091"	"eye"	8.47e-26	6.986037214	"dbEST"
"Hs.658225"	"eye"	5.65e-26	7.072427502	"dbEST"
"Hs.702084"	"eye"	9.11e-27	5.504462436	"dbEST"
"Hs.633191"	"eye"	2.12e-27	6.759656652	"dbEST"
"Hs.658195"	"eye"	1.85e-27	7.072427502	"dbEST"
"Hs.560066"	"eye"	1.46e-27	6.78078821	"dbEST"
"Hs.721789"	"eye"	6.66e-28	6.029684502	"dbEST"
"Hs.709709"	"eye"	4.08e-28	4.473786955	"dbEST"
"Hs.567336"	"eye"	9.37e-29	6.863329955	"dbEST"
"Hs.209249"	"eye"	2.72e-29	7.063788766	"dbEST"
"Hs.104637"	"eye"	9.85e-30	4.177381639	"dbEST"
"Hs.410455"	"eye"	6.31e-30	4.998869362	"dbEST"
"Hs.354243"	"eye"	5.81e-30	7.050366772	"dbEST"
"Hs.546247"	"eye"	4.43e-30	6.92660764	"dbEST"
"Hs.54471"	"eye"	7.98e-31	7.059435005	"dbEST"
"Hs.278957"	"eye"	2.3e-31	6.98647678	"dbEST"
"Hs.183153"	"eye"	1.15e-31	5.092567162	"dbEST"
"Hs.33538"	"eye"	6.47e-32	7.072427502	"dbEST"
"Hs.148970"	"eye"	3.59e-33	6.897511615	"dbEST"
"Hs.20930"	"eye"	3.18e-33	4.291647966	"dbEST"
"Hs.147062"	"eye"	4.81e-34	6.434646146	"dbEST"
"Hs.72910"	"eye"	3.51e-34	6.788461677	"dbEST"
"Hs.590893"	"eye"	1.4e-35	6.008079564	"dbEST"
"Hs.712676"	"eye"	6.15e-36	5.661718085	"dbEST"
"Hs.587384"	"eye"	2.54e-36	6.300677301	"dbEST"
"Hs.720342"	"eye"	2.27e-36	7.072427502	"dbEST"
"Hs.631491"	"eye"	1.43e-36	5.627470308	"dbEST"
"Hs.680652"	"eye"	8.61e-37	6.651076759	"dbEST"
"Hs.125750"	"eye"	4.41e-37	6.670636166	"dbEST"
"Hs.270303"	"eye"	3.08e-37	4.217280686	"dbEST"
"Hs.436617"	"eye"	5.26e-38	4.316952764	"dbEST"
"Hs.21162"	"eye"	1.52e-38	6.939803256	"dbEST"
"Hs.710036"	"eye"	6.52e-39	6.465713738	"dbEST"
"Hs.715725"	"eye"	7.69e-40	7.006338516	"dbEST"
"Hs.574026"	"eye"	1.74e-40	6.897292723	"dbEST"
"Hs.137556"	"eye"	6.19e-41	5.968242	"dbEST"
"Hs.281564"	"eye"	3.96e-44	5.797161534	"dbEST"
"Hs.532691"	"eye"	2.78e-45	7.072427502	"dbEST"
"Hs.270279"	"eye"	4.68e-46	4.442097438	"dbEST"
"Hs.558560"	"eye"	1.65e-47	6.657631741	"dbEST"
"Hs.162754"	"eye"	3.21e-48	7.069811293	"dbEST"
"Hs.149585"	"eye"	7.98e-49	7.054980264	"dbEST"
"Hs.485208"	"eye"	5.67e-50	6.918714865	"dbEST"
"Hs.446529"	"eye"	2.23e-52	7.003885161	"dbEST"
"Hs.1933"	"eye"	2.18e-52	5.820785625	"dbEST"
"Hs.308"	"eye"	9.18e-56	7.035984129	"dbEST"
"Hs.288655"	"eye"	6.86e-57	6.753293061	"dbEST"
"Hs.666077"	"eye"	1.34e-57	6.653803722	"dbEST"
"Hs.721703"	"eye"	9.45e-59	6.988917639	"dbEST"
"Hs.240053"	"eye"	1.63e-59	6.732739699	"dbEST"
"Hs.724184"	"eye"	9.25e-66	7.002550748	"dbEST"
"Hs.631498"	"eye"	5.01e-70	6.686356158	"dbEST"
"Hs.416707"	"eye"	4.52e-70	6.491929725	"dbEST"
"Hs.631494"	"eye"	2.91e-71	6.912219278	"dbEST"
"Hs.652297"	"eye"	1.42e-71	6.842210127	"dbEST"
"Hs.617342"	"eye"	1.22e-89	7.059046971	"dbEST"
"Hs.92858"	"eye"	3.45e-90	6.90856863	"dbEST"
"Hs.567314"	"eye"	3.12e-91	6.272956447	"dbEST"
"Hs.591928"	"eye"	2.15e-94	7.065576611	"dbEST"
"Hs.632468"	"eye"	2.29e-98	7.071660227	"dbEST"
"Hs.729904"	"eye"	7.31e-99	6.326328146	"dbEST"
"Hs.415790"	"eye"	4.75e-105	6.842112804	"dbEST"
"Hs.37135"	"eye"	3.36e-106	5.498066683	"dbEST"
"Hs.129702"	"eye"	2.99e-106	6.668588159	"dbEST"
"Hs.446429"	"eye"	1.52e-107	5.528481381	"dbEST"
"Hs.307096"	"eye"	1.45e-117	7.070419209	"dbEST"
"Hs.557644"	"eye"	1.61e-119	6.692032761	"dbEST"
"Hs.631657"	"eye"	4.09e-138	6.847953095	"dbEST"
"Hs.520102"	"eye"	6.58e-146	6.271013298	"dbEST"
"Hs.661425"	"eye"	1.22e-148	6.983592078	"dbEST"
"Hs.32721"	"eye"	1.1e-151	6.822104254	"dbEST"
"Hs.517978"	"eye"	1.8e-176	7.064015505	"dbEST"
"Hs.80539"	"eye"	2.28e-182	6.927282161	"dbEST"
"Hs.279887"	"eye"	3.99e-184	7.045321852	"dbEST"
"Hs.376209"	"eye"	1.33e-217	7.020844674	"dbEST"
"Hs.591538"	"eye"	1.99e-254	7.002973741	"dbEST"
"Hs.654482"	"eye"	1.22e-274	6.945750557	"dbEST"
"Hs.57690"	"eye"	2.66e-284	7.067915752	"dbEST"
"Hs.46275"	"eye"	1.14e-298	7.070281246	"dbEST"
"Hs.184085"	"eye"	0	6.988296422	"dbEST"
"Hs.247565"	"eye"	0	6.962380915	"dbEST"
"Hs.373074"	"eye"	0	7.072413288	"dbEST"
"Hs.530311"	"eye"	0	7.072254021	"dbEST"
"Hs.66739"	"eye"	0	7.072417619	"dbEST"
"Hs.298280"	"eye"	0	4.95620941	"dbEST"
