unigeneid	genename
Hs.4	ADH1B
Hs.11	CEACAM3
Hs.41	CEACAM8
Hs.56	PRPS1
Hs.66	IL1RL1
Hs.109	DPEP1
Hs.208	GCGR
Hs.239	FOXM1
Hs.308	ARR3
Hs.315	MUC2
Hs.351	TCP10
Hs.352	FOLR3
Hs.389	ADH7
Hs.477	HSD17B3
Hs.560	APOBEC1
Hs.635	CACNB1
Hs.707	KRT2
Hs.711	DEFA6
Hs.724	THRA
Hs.728	RNASE2
Hs.753	FPR1
Hs.784	GPR183
Hs.839	IGFALS
Hs.846	CXCR2
Hs.856	IFNG
Hs.878	SORD
Hs.926	MX2
Hs.927	MYBPH
Hs.936	SLC34A1
Hs.952	SLC10A1
Hs.992	PLA2G1B
Hs.1011	PROZ
Hs.1012	C4BPA
Hs.1027	RRAD
Hs.1048	KITLG
Hs.1051	GZMB
Hs.1074	SFTPC
Hs.1076	SPRR1B
Hs.1144	GP9
Hs.1154	OVGP1
Hs.1183	DUSP2
Hs.1219	ADH4
Hs.1227	ALAD
Hs.1288	ACTA1
Hs.1294	CACNA1S
Hs.1309	CD1A
Hs.1310	CD1B
Hs.1321	F12
Hs.1323	CNGA1
Hs.1340	CLPS
Hs.1349	CSF2
Hs.1360	CYP2B6
Hs.1376	HSD11B2
Hs.1395	EGR2
Hs.1407	EDN2
Hs.1422	FGR
Hs.1424	FMO1
Hs.1430	F11
Hs.1497	RARG
Hs.1498	HRG
Hs.1544	RGR
Hs.1584	COMP
Hs.1611	HTR1E
Hs.1644	CYP7A1
Hs.1645	CYP4A11
Hs.1690	FGFBP1
Hs.1787	PLP1
Hs.1799	CD1D
Hs.1832	NPY
Hs.1867	PGC
Hs.1872	PCK1
Hs.1897	POMC
Hs.1905	PRL
Hs.1908	SRGN
Hs.1925	DSG3
Hs.1925	DSG3
Hs.1933	RLBP1
Hs.1964	SLC5A1
Hs.1968	SEMG1
Hs.2006	GSTM3
Hs.2022	TGM3
Hs.2022	TGM3
Hs.2030	THBD
Hs.2042	CRISP2
Hs.2131	AVPR1A
Hs.2133	RPE65
Hs.2157	WAS
Hs.2159	ACAN
Hs.2164	PPBP
Hs.2200	PRF1
Hs.2257	VTN
Hs.2258	MMP10
Hs.2259	CD3G
Hs.2306	CHRNB2
Hs.2324	PRM2
Hs.2484	TCL1A
Hs.2484	TCL1A
Hs.2533	ALDH9A1
Hs.2605	CD300C
Hs.2633	DSG1
Hs.2681	GAST
Hs.2700	GLRA2
Hs.2704	GPX2
Hs.2717	SPAG11B
Hs.2719	WFDC2
Hs.2785	KRT17
Hs.2785	KRT17
Hs.2795	LDHA
Hs.2820	OXTR
Hs.2820	OXTR
Hs.2879	CPA1
Hs.2899	HPD
Hs.2909	PRM1
Hs.2913	EPHB3
Hs.2962	S100P
Hs.2979	TFF2
Hs.3003	CD3E
Hs.3003	CD3E
Hs.3017	TNP1
Hs.3155	CSN1S1
Hs.3210	REN
Hs.3210	REN
Hs.3232	CYLC2
Hs.3260	PSEN1
Hs.3416	PLIN2
Hs.3797	RAB26
Hs.42586	GPAM
