"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.42215"	"heart"	1e-05	5.091044703	"dbEST"
"Hs.716633"	"heart"	6.77e-06	4.128883333	"dbEST"
"Hs.592238"	"heart"	5.54e-06	4.198030371	"dbEST"
"Hs.703106"	"heart"	5.51e-06	4.434268164	"dbEST"
"Hs.591918"	"heart"	2.02e-06	4.472618962	"dbEST"
"Hs.408455"	"heart"	7.28e-07	4.171080829	"dbEST"
"Hs.43728"	"heart"	7.23e-07	4.631974209	"dbEST"
"Hs.720318"	"heart"	4.7e-07	4.072005214	"dbEST"
"Hs.656166"	"heart"	2.91e-07	4.190305466	"dbEST"
"Hs.655142"	"heart"	2.36e-07	5.082875888	"dbEST"
"Hs.594905"	"heart"	1.01e-07	4.332170644	"dbEST"
"Hs.436306"	"heart"	8.28e-08	6.447120185	"dbEST"
"Hs.465643"	"heart"	5.24e-08	4.429902577	"dbEST"
"Hs.346566"	"heart"	4.67e-08	5.27846025	"dbEST"
"Hs.632293"	"heart"	2.32e-08	4.832510045	"dbEST"
"Hs.58149"	"heart"	1.56e-08	5.474074582	"dbEST"
"Hs.82098"	"heart"	2.85e-09	5.528803662	"dbEST"
"Hs.696708"	"heart"	2.59e-09	5.617504442	"dbEST"
"Hs.708733"	"heart"	1.97e-09	5.372268597	"dbEST"
"Hs.55967"	"heart"	1.14e-09	5.332782826	"dbEST"
"Hs.523413"	"heart"	8.79e-10	5.138009983	"dbEST"
"Hs.236646"	"heart"	8.69e-10	4.16618372	"dbEST"
"Hs.597523"	"heart"	3.69e-10	6.371044065	"dbEST"
"Hs.99004"	"heart"	3.18e-10	4.608030479	"dbEST"
"Hs.492516"	"heart"	2.2e-10	4.088598731	"dbEST"
"Hs.661431"	"heart"	3.83e-11	5.725852548	"dbEST"
"Hs.379636"	"heart"	3.22e-11	5.626484801	"dbEST"
"Hs.645273"	"heart"	2.15e-11	4.374209205	"dbEST"
"Hs.130465"	"heart"	1.83e-11	6.246246119	"dbEST"
"Hs.132957"	"heart"	4.67e-12	6.664896575	"dbEST"
"Hs.22488"	"heart"	4.37e-12	4.614558234	"dbEST"
"Hs.153322"	"heart"	4.35e-12	5.775541512	"dbEST"
"Hs.42419"	"heart"	2.13e-12	6.167024675	"dbEST"
"Hs.56279"	"heart"	1.49e-12	6.737992159	"dbEST"
"Hs.647081"	"heart"	7.94e-13	4.906202385	"dbEST"
