"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.646438"	"kidney"	6.14e-06	4.75952713	"dbEST"
"Hs.436338"	"kidney"	3e-06	4.033503099	"dbEST"
"Hs.728371"	"kidney"	1.17e-06	4.2414854	"dbEST"
"Hs.2131"	"kidney"	1.06e-07	4.065056372	"dbEST"
"Hs.410126"	"kidney"	7.02e-08	4.651039839	"dbEST"
"Hs.30495"	"kidney"	4.81e-08	5.930974074	"dbEST"
"Hs.509909"	"kidney"	4.16e-08	4.415313578	"dbEST"
"Hs.332649"	"kidney"	3.83e-08	4.210583513	"dbEST"
"Hs.656088"	"kidney"	2.15e-09	4.528911901	"dbEST"
"Hs.516403"	"kidney"	1.99e-09	5.045945139	"dbEST"
"Hs.127648"	"kidney"	1.22e-09	4.82474898	"dbEST"
"Hs.721029"	"kidney"	7.12e-10	4.895184642	"dbEST"
"Hs.352"	"kidney"	3.22e-10	4.850454579	"dbEST"
"Hs.158357"	"kidney"	3.07e-10	4.154910958	"dbEST"
"Hs.716765"	"kidney"	3.07e-10	4.318141915	"dbEST"
"Hs.318431"	"kidney"	9.37e-11	5.958129712	"dbEST"
"Hs.101674"	"kidney"	9.23e-11	6.157170716	"dbEST"
"Hs.1645"	"kidney"	8.52e-11	4.359840115	"dbEST"
"Hs.59584"	"kidney"	7.09e-11	5.072803144	"dbEST"
"Hs.516090"	"kidney"	5.14e-11	4.183525694	"dbEST"
"Hs.251391"	"kidney"	4.85e-11	4.670675725	"dbEST"
"Hs.333175"	"kidney"	4.61e-11	5.650751932	"dbEST"
"Hs.356690"	"kidney"	2.89e-11	5.330845973	"dbEST"
"Hs.149133"	"kidney"	1.46e-11	5.776456951	"dbEST"
"Hs.656402"	"kidney"	1.12e-11	4.707874629	"dbEST"
"Hs.202095"	"kidney"	9.8e-12	4.445682758	"dbEST"
"Hs.37712"	"kidney"	4.32e-12	4.969106354	"dbEST"
"Hs.437281"	"kidney"	4.32e-12	6.615031702	"dbEST"
"Hs.474388"	"kidney"	1.87e-12	4.121462877	"dbEST"
"Hs.151287"	"kidney"	1.49e-12	4.898677306	"dbEST"
"Hs.631555"	"kidney"	1.49e-12	6.88964018	"dbEST"
"Hs.312592"	"kidney"	1.39e-12	4.666316264	"dbEST"
"Hs.729061"	"kidney"	1.08e-12	4.428192559	"dbEST"
"Hs.653449"	"kidney"	5.77e-13	6.885231544	"dbEST"
"Hs.444612"	"kidney"	4.15e-13	6.820828443	"dbEST"
"Hs.667234"	"kidney"	1.82e-13	6.376640658	"dbEST"
"Hs.98967"	"kidney"	1.8e-13	4.333529792	"dbEST"
"Hs.57973"	"kidney"	1.48e-13	4.274652686	"dbEST"
"Hs.2820"	"kidney"	1.36e-13	4.428615247	"dbEST"
"Hs.454670"	"kidney"	1.21e-13	5.396808648	"dbEST"
"Hs.237028"	"kidney"	6.78e-14	4.862202099	"dbEST"
"Hs.225941"	"kidney"	5.35e-14	5.165995053	"dbEST"
"Hs.213284"	"kidney"	2.34e-14	6.232671698	"dbEST"
"Hs.368337"	"kidney"	2.28e-14	5.218281792	"dbEST"
"Hs.335321"	"kidney"	1.8e-14	6.850808712	"dbEST"
"Hs.130497"	"kidney"	9.9e-15	6.981837783	"dbEST"
"Hs.571073"	"kidney"	4.12e-15	6.405336931	"dbEST"
"Hs.194783"	"kidney"	3.88e-15	5.462884557	"dbEST"
"Hs.126605"	"kidney"	1.69e-15	7.072427502	"dbEST"
"Hs.149229"	"kidney"	1.69e-15	7.072427502	"dbEST"
"Hs.571764"	"kidney"	1.69e-15	7.072427502	"dbEST"
"Hs.61504"	"kidney"	1.39e-15	6.085774287	"dbEST"
"Hs.46627"	"kidney"	9.6e-16	4.559526547	"dbEST"
"Hs.194980"	"kidney"	6.53e-16	7.049148405	"dbEST"
"Hs.728876"	"kidney"	5.8e-16	4.47127084	"dbEST"
"Hs.386975"	"kidney"	3.3e-16	4.054287296	"dbEST"
"Hs.727587"	"kidney"	3.17e-16	5.415986276	"dbEST"
"Hs.436360"	"kidney"	3.05e-16	4.691266861	"dbEST"
"Hs.462418"	"kidney"	3.05e-16	4.719269405	"dbEST"
"Hs.93574"	"kidney"	1.94e-16	6.670795671	"dbEST"
"Hs.713005"	"kidney"	1.65e-16	6.862546725	"dbEST"
"Hs.550313"	"kidney"	1.31e-16	7.045828983	"dbEST"
"Hs.567583"	"kidney"	9.58e-17	5.623657442	"dbEST"
"Hs.727971"	"kidney"	6.8e-17	6.47846254	"dbEST"
"Hs.643992"	"kidney"	5.61e-17	7.072427502	"dbEST"
"Hs.649452"	"kidney"	2.36e-17	7.063049078	"dbEST"
"Hs.156471"	"kidney"	1.68e-17	4.769853199	"dbEST"
"Hs.128071"	"kidney"	1.3e-17	5.472581375	"dbEST"
"Hs.155644"	"kidney"	1.3e-17	5.16567843	"dbEST"
"Hs.27092"	"kidney"	8.44e-18	6.142037925	"dbEST"
"Hs.483877"	"kidney"	5.6e-18	6.842915925	"dbEST"
"Hs.205816"	"kidney"	5.03e-18	4.937104899	"dbEST"
"Hs.32949"	"kidney"	1.92e-19	5.397369905	"dbEST"
"Hs.591533"	"kidney"	8.81e-20	4.207809842	"dbEST"
"Hs.126246"	"kidney"	6.23e-20	7.072427502	"dbEST"
"Hs.500098"	"kidney"	6.23e-20	7.072427502	"dbEST"
"Hs.666361"	"kidney"	6.23e-20	7.072427502	"dbEST"
"Hs.599649"	"kidney"	2.61e-20	6.850016584	"dbEST"
"Hs.122125"	"kidney"	1.83e-20	4.110109623	"dbEST"
"Hs.359698"	"kidney"	9.71e-21	4.143196429	"dbEST"
"Hs.64173"	"kidney"	9.27e-21	4.124485818	"dbEST"
"Hs.129712"	"kidney"	3.09e-21	7.031504205	"dbEST"
"Hs.130692"	"kidney"	2.98e-21	4.973539542	"dbEST"
"Hs.145519"	"kidney"	2.52e-21	5.725005446	"dbEST"
"Hs.17958"	"kidney"	7.36e-22	4.493683763	"dbEST"
"Hs.168718"	"kidney"	6.8e-22	4.994402823	"dbEST"
"Hs.558423"	"kidney"	2.37e-22	4.658158443	"dbEST"
"Hs.432442"	"kidney"	1.83e-22	5.470199328	"dbEST"
"Hs.327179"	"kidney"	1.35e-22	6.908356507	"dbEST"
"Hs.412710"	"kidney"	1.07e-22	5.383584623	"dbEST"
"Hs.620300"	"kidney"	7.95e-23	6.97255692	"dbEST"
"Hs.709195"	"kidney"	3.38e-23	4.577323262	"dbEST"
"Hs.531041"	"kidney"	2.54e-23	5.981157586	"dbEST"
"Hs.99196"	"kidney"	1.93e-23	5.067878957	"dbEST"
"Hs.190877"	"kidney"	1.24e-23	6.954858639	"dbEST"
"Hs.254699"	"kidney"	9.7e-24	5.828555679	"dbEST"
"Hs.293970"	"kidney"	8.21e-24	4.779601874	"dbEST"
"Hs.708580"	"kidney"	2.3e-24	7.072427502	"dbEST"
"Hs.515366"	"kidney"	8.64e-25	5.703635758	"dbEST"
"Hs.656895"	"kidney"	7.26e-25	5.705483811	"dbEST"
"Hs.567729"	"kidney"	6.63e-25	6.873403703	"dbEST"
"Hs.406395"	"kidney"	2.91e-25	4.167296252	"dbEST"
"Hs.350868"	"kidney"	1.74e-25	4.510062705	"dbEST"
"Hs.356368"	"kidney"	1.68e-26	7.049072311	"dbEST"
"Hs.476604"	"kidney"	1.32e-26	4.774147653	"dbEST"
"Hs.659706"	"kidney"	1.32e-26	6.541620929	"dbEST"
"Hs.524528"	"kidney"	8.93e-28	6.018783203	"dbEST"
"Hs.568397"	"kidney"	8.52e-29	7.072427502	"dbEST"
"Hs.159360"	"kidney"	2.77e-29	6.541613343	"dbEST"
"Hs.459187"	"kidney"	1.95e-29	4.734391399	"dbEST"
"Hs.145384"	"kidney"	1.56e-29	4.631177578	"dbEST"
"Hs.729058"	"kidney"	1.09e-29	6.25315584	"dbEST"
"Hs.634846"	"kidney"	7.32e-30	6.831029326	"dbEST"
"Hs.497469"	"kidney"	4.12e-31	5.039171906	"dbEST"
"Hs.567879"	"kidney"	1.04e-31	5.997071864	"dbEST"
"Hs.352243"	"kidney"	2.32e-32	6.422165899	"dbEST"
"Hs.567760"	"kidney"	1.06e-33	7.054790411	"dbEST"
"Hs.131035"	"kidney"	5.53e-34	7.020264447	"dbEST"
"Hs.371036"	"kidney"	3.69e-34	5.724848304	"dbEST"
"Hs.445000"	"kidney"	1.11e-34	5.465825955	"dbEST"
"Hs.655498"	"kidney"	8.17e-35	5.104007153	"dbEST"
"Hs.489849"	"kidney"	1.29e-35	6.566716948	"dbEST"
"Hs.435765"	"kidney"	1.95e-36	5.462746472	"dbEST"
"Hs.728886"	"kidney"	1e-36	5.985992461	"dbEST"
"Hs.130730"	"kidney"	8.87e-37	4.541778154	"dbEST"
"Hs.145875"	"kidney"	1.01e-37	7.03849337	"dbEST"
"Hs.166206"	"kidney"	8.14e-38	6.147327889	"dbEST"
"Hs.591996"	"kidney"	1.98e-38	5.850374851	"dbEST"
"Hs.148907"	"kidney"	2.31e-39	4.751978015	"dbEST"
"Hs.226422"	"kidney"	1.88e-41	6.843667344	"dbEST"
"Hs.468058"	"kidney"	3.57e-42	5.199516933	"dbEST"
"Hs.38085"	"kidney"	1.92e-42	4.79129748	"dbEST"
"Hs.234786"	"kidney"	2.63e-44	5.585521526	"dbEST"
"Hs.124565"	"kidney"	5.99e-45	6.245522309	"dbEST"
"Hs.93764"	"kidney"	7.74e-46	5.396718581	"dbEST"
"Hs.44070"	"kidney"	1.9e-47	5.154534961	"dbEST"
"Hs.669115"	"kidney"	1.74e-47	5.475488979	"dbEST"
"Hs.729536"	"kidney"	9.3e-49	6.870186874	"dbEST"
"Hs.436385"	"kidney"	1.53e-49	6.220910535	"dbEST"
"Hs.508588"	"kidney"	1.04e-52	6.538211893	"dbEST"
"Hs.1424"	"kidney"	2.93e-56	6.0099085	"dbEST"
"Hs.730110"	"kidney"	7.25e-57	7.072427502	"dbEST"
"Hs.643467"	"kidney"	1.29e-57	5.101050054	"dbEST"
"Hs.114172"	"kidney"	6.01e-59	5.717427203	"dbEST"
"Hs.34494"	"kidney"	5.81e-61	5.912898082	"dbEST"
"Hs.127743"	"kidney"	2.75e-61	7.06198668	"dbEST"
"Hs.504398"	"kidney"	2.06e-61	6.559444093	"dbEST"
"Hs.127011"	"kidney"	3.13e-62	6.805799491	"dbEST"
"Hs.481478"	"kidney"	4.47e-68	6.79785002	"dbEST"
"Hs.129227"	"kidney"	1.19e-68	5.547068226	"dbEST"
"Hs.513147"	"kidney"	3.69e-70	5.276107774	"dbEST"
"Hs.83383"	"kidney"	1.09e-73	4.657587934	"dbEST"
"Hs.11729"	"kidney"	1.07e-73	6.007798612	"dbEST"
"Hs.513660"	"kidney"	6.63e-82	6.219196765	"dbEST"
"Hs.502876"	"kidney"	9.41e-85	4.5001414	"dbEST"
"Hs.440829"	"kidney"	1.19e-94	4.76928253	"dbEST"
"Hs.369252"	"kidney"	1.39e-102	6.994640012	"dbEST"
"Hs.527830"	"kidney"	8.86e-110	7.044510037	"dbEST"
"Hs.266223"	"kidney"	5.99e-114	6.536368333	"dbEST"
"Hs.298252"	"kidney"	1.25e-115	5.132273392	"dbEST"
"Hs.444751"	"kidney"	1.01e-116	6.632446431	"dbEST"
"Hs.75335"	"kidney"	2.01e-119	5.47699983	"dbEST"
"Hs.80756"	"kidney"	8.32e-124	5.074414598	"dbEST"
"Hs.534494"	"kidney"	1.1e-130	6.41920714	"dbEST"
"Hs.112916"	"kidney"	4.38e-161	6.705198103	"dbEST"
"Hs.174424"	"kidney"	6.72e-163	6.877140719	"dbEST"
"Hs.654424"	"kidney"	6.35e-190	6.563825839	"dbEST"
"Hs.123116"	"kidney"	1.22e-199	7.048001801	"dbEST"
"Hs.386726"	"kidney"	0	5.395792424	"dbEST"
"Hs.654425"	"kidney"	0	7.072372251	"dbEST"
"Hs.123116"	"kidney"	NA	NA	"HPA"
"Hs.171311"	"kidney"	NA	NA	"HPA"
"Hs.205457"	"kidney"	NA	NA	"HPA"
"Hs.483635"	"kidney"	NA	NA	"HPA"
"Hs.93194"	"kidney"	NA	NA	"HPA"
"Hs.1019"	"kidney"	0.9763	NA	"TiSGeD"
"Hs.10862"	"kidney"	0.9389	NA	"TiSGeD"
"Hs.112916"	"kidney"	0.9739	NA	"TiSGeD"
"Hs.123116"	"kidney"	0.9999	NA	"TiSGeD"
"Hs.129712"	"kidney"	0.9339	NA	"TiSGeD"
"Hs.130730"	"kidney"	1	NA	"TiSGeD"
"Hs.1424"	"kidney"	0.9921	NA	"TiSGeD"
"Hs.14637"	"kidney"	0.9946	NA	"TiSGeD"
"Hs.166206"	"kidney"	1	NA	"TiSGeD"
"Hs.169238"	"kidney"	0.9105	NA	"TiSGeD"
"Hs.170499"	"kidney"	0.9999	NA	"TiSGeD"
"Hs.184085"	"kidney"	0.9163	NA	"TiSGeD"
"Hs.187422"	"kidney"	0.9035	NA	"TiSGeD"
"Hs.191144"	"kidney"	0.9968	NA	"TiSGeD"
"Hs.198862"	"kidney"	0.9582	NA	"TiSGeD"
"Hs.210995"	"kidney"	0.9634	NA	"TiSGeD"
"Hs.266223"	"kidney"	0.9881	NA	"TiSGeD"
"Hs.327179"	"kidney"	0.9856	NA	"TiSGeD"
"Hs.352"	"kidney"	0.9272	NA	"TiSGeD"
"Hs.359698"	"kidney"	0.9789	NA	"TiSGeD"
"Hs.369252"	"kidney"	0.9926	NA	"TiSGeD"
"Hs.371036"	"kidney"	0.9138	NA	"TiSGeD"
"Hs.413137"	"kidney"	0.943	NA	"TiSGeD"
"Hs.419815"	"kidney"	0.9535	NA	"TiSGeD"
"Hs.431099"	"kidney"	0.9915	NA	"TiSGeD"
"Hs.435765"	"kidney"	0.9721	NA	"TiSGeD"
"Hs.436385"	"kidney"	0.9943	NA	"TiSGeD"
"Hs.444751"	"kidney"	0.9568	NA	"TiSGeD"
"Hs.493362"	"kidney"	0.9389	NA	"TiSGeD"
"Hs.504398"	"kidney"	0.9639	NA	"TiSGeD"
"Hs.513147"	"kidney"	0.9583	NA	"TiSGeD"
"Hs.513660"	"kidney"	0.9698	NA	"TiSGeD"
"Hs.516853"	"kidney"	0.9508	NA	"TiSGeD"
"Hs.524953"	"kidney"	0.9492	NA	"TiSGeD"
"Hs.527830"	"kidney"	0.9968	NA	"TiSGeD"
"Hs.554822"	"kidney"	0.9835	NA	"TiSGeD"
"Hs.591533"	"kidney"	0.9674	NA	"TiSGeD"
"Hs.591996"	"kidney"	0.9797	NA	"TiSGeD"
"Hs.596643"	"kidney"	0.9173	NA	"TiSGeD"
"Hs.645535"	"kidney"	0.9193	NA	"TiSGeD"
"Hs.654425"	"kidney"	1	NA	"TiSGeD"
"Hs.655498"	"kidney"	0.9932	NA	"TiSGeD"
"Hs.656587"	"kidney"	0.997	NA	"TiSGeD"
