"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.405987"	"larynx"	2.94e-06	4.393170953	"dbEST"
"Hs.9873"	"larynx"	1.38e-06	4.43462715	"dbEST"
"Hs.211463"	"larynx"	4.46e-07	4.408513805	"dbEST"
"Hs.173524"	"larynx"	2.84e-07	5.073253666	"dbEST"
"Hs.517517"	"larynx"	2.77e-07	4.421578076	"dbEST"
"Hs.390736"	"larynx"	2.02e-07	4.194194373	"dbEST"
"Hs.137510"	"larynx"	1.59e-07	4.852476372	"dbEST"
"Hs.9029"	"larynx"	6.99e-08	4.083384471	"dbEST"
"Hs.236774"	"larynx"	6.28e-08	4.618702769	"dbEST"
"Hs.468186"	"larynx"	3.31e-08	5.956217826	"dbEST"
"Hs.439381"	"larynx"	1.39e-08	5.181267193	"dbEST"
"Hs.343522"	"larynx"	2.94e-09	5.054307638	"dbEST"
"Hs.151761"	"larynx"	1.87e-09	5.602059724	"dbEST"
"Hs.355643"	"larynx"	9.9e-10	5.460790257	"dbEST"
"Hs.28020"	"larynx"	8.93e-10	4.447803705	"dbEST"
"Hs.116471"	"larynx"	7.14e-10	4.144358127	"dbEST"
"Hs.696709"	"larynx"	3.31e-10	4.338347439	"dbEST"
"Hs.523852"	"larynx"	2.38e-10	4.54250708	"dbEST"
"Hs.459759"	"larynx"	2.13e-10	4.860158154	"dbEST"
"Hs.135997"	"larynx"	1.38e-10	4.454974586	"dbEST"
"Hs.656999"	"larynx"	1.18e-10	6.068343444	"dbEST"
"Hs.368307"	"larynx"	1.03e-10	6.837756216	"dbEST"
"Hs.515840"	"larynx"	4.76e-11	5.7854591	"dbEST"
"Hs.4779"	"larynx"	2.42e-11	4.115016421	"dbEST"
"Hs.524293"	"larynx"	1.71e-11	5.277594705	"dbEST"
"Hs.1027"	"larynx"	1.43e-11	5.566426208	"dbEST"
"Hs.73853"	"larynx"	4.4e-12	5.521112778	"dbEST"
"Hs.720644"	"larynx"	2.88e-12	5.779445214	"dbEST"
"Hs.302742"	"larynx"	1.7e-12	4.537366708	"dbEST"
"Hs.459149"	"larynx"	1.05e-12	5.563144113	"dbEST"
"Hs.707173"	"larynx"	9.34e-13	6.887474591	"dbEST"
"Hs.29665"	"larynx"	7.34e-13	5.335518975	"dbEST"
"Hs.516439"	"larynx"	2.81e-13	5.047061666	"dbEST"
"Hs.368971"	"larynx"	7.29e-14	6.432334728	"dbEST"
"Hs.204041"	"larynx"	4.76e-14	5.397225351	"dbEST"
"Hs.510543"	"larynx"	2.44e-14	4.899267619	"dbEST"
"Hs.596643"	"larynx"	2.08e-14	5.166374023	"dbEST"
"Hs.348297"	"larynx"	1.26e-14	6.00337462	"dbEST"
"Hs.466664"	"larynx"	6.3e-15	6.194417141	"dbEST"
"Hs.625768"	"larynx"	3.5e-15	4.795143287	"dbEST"
"Hs.488307"	"larynx"	2.36e-15	6.298809909	"dbEST"
"Hs.703691"	"larynx"	1.34e-15	4.156419662	"dbEST"
"Hs.500842"	"larynx"	1.1e-15	5.183314886	"dbEST"
"Hs.227948"	"larynx"	4.96e-16	5.957440359	"dbEST"
"Hs.516522"	"larynx"	4.76e-16	5.331636058	"dbEST"
"Hs.6347"	"larynx"	1.74e-16	6.495053446	"dbEST"
"Hs.26904"	"larynx"	1.67e-16	5.586505156	"dbEST"
