"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.2533"	"leiomios"	1.75e-07	6.00318274	"dbEST"
"Hs.653349"	"leiomios"	1.13e-08	5.391313209	"dbEST"
"Hs.591242"	"leiomios"	4.87e-09	6.489129116	"dbEST"
"Hs.444118"	"leiomios"	3.16e-09	6.477112044	"dbEST"
"Hs.593148"	"leiomios"	3.24e-10	6.514570963	"dbEST"
"Hs.633514"	"leiomios"	3.01e-10	5.190638658	"dbEST"
"Hs.468972"	"leiomios"	2.58e-10	6.448540823	"dbEST"
"Hs.467192"	"leiomios"	2.3e-10	4.239341126	"dbEST"
"Hs.598320"	"leiomios"	1.51e-11	4.470301257	"dbEST"
"Hs.91531"	"leiomios"	1.35e-11	6.602673773	"dbEST"
"Hs.474053"	"leiomios"	5.56e-12	6.15218745	"dbEST"
"Hs.119591"	"leiomios"	4.87e-12	6.909214509	"dbEST"
"Hs.439463"	"leiomios"	2.45e-12	6.020654091	"dbEST"
"Hs.432491"	"leiomios"	2.03e-12	6.1187114	"dbEST"
"Hs.9333"	"leiomios"	1.38e-12	6.843225563	"dbEST"
"Hs.600384"	"leiomios"	1.01e-12	6.860706779	"dbEST"
"Hs.369520"	"leiomios"	7.53e-13	6.969440888	"dbEST"
"Hs.135471"	"leiomios"	4.44e-13	6.694935834	"dbEST"
"Hs.189585"	"leiomios"	3.06e-14	7.021912762	"dbEST"
"Hs.301989"	"leiomios"	1.78e-14	6.816892913	"dbEST"
"Hs.602015"	"leiomios"	1.3e-14	6.763824787	"dbEST"
"Hs.335239"	"leiomios"	5.59e-15	6.491326133	"dbEST"
"Hs.653262"	"leiomios"	3.02e-15	6.847645927	"dbEST"
"Hs.654593"	"leiomios"	3.02e-15	6.931848033	"dbEST"
"Hs.49774"	"leiomios"	3e-15	6.503718368	"dbEST"
"Hs.297413"	"leiomios"	5.92e-16	4.43899704	"dbEST"
"Hs.467807"	"leiomios"	4.12e-16	5.568919265	"dbEST"
"Hs.511668"	"leiomios"	3.43e-17	6.292205255	"dbEST"
"Hs.651219"	"leiomios"	1.76e-17	5.903260933	"dbEST"
"Hs.61581"	"leiomios"	8.95e-18	7.035350929	"dbEST"
"Hs.170009"	"leiomios"	1.64e-18	7.022181917	"dbEST"
"Hs.681002"	"leiomios"	9.59e-19	4.186354958	"dbEST"
"Hs.460960"	"leiomios"	9.06e-19	6.553993622	"dbEST"
"Hs.207538"	"leiomios"	1.48e-19	6.585046329	"dbEST"
"Hs.160411"	"leiomios"	9.69e-20	6.810467997	"dbEST"
"Hs.329266"	"leiomios"	1.27e-20	7.045110805	"dbEST"
"Hs.591692"	"leiomios"	1.11e-21	7.051118772	"dbEST"
"Hs.414332"	"leiomios"	2.27e-22	6.990811856	"dbEST"
"Hs.30824"	"leiomios"	1.95e-23	6.980117312	"dbEST"
"Hs.413111"	"leiomios"	6.13e-27	6.762404062	"dbEST"
"Hs.136348"	"leiomios"	5.63e-28	6.259400503	"dbEST"
"Hs.601216"	"leiomios"	1.18e-28	7.04624167	"dbEST"
"Hs.445827"	"leiomios"	1.01e-28	6.925380606	"dbEST"
"Hs.347614"	"leiomios"	3.54e-30	6.868254158	"dbEST"
"Hs.507515"	"leiomios"	1.46e-30	7.043222239	"dbEST"
"Hs.131255"	"leiomios"	7.02e-40	6.95146148	"dbEST"
"Hs.368912"	"leiomios"	1.15e-41	6.922182359	"dbEST"
"Hs.233240"	"leiomios"	1.56e-43	6.699349041	"dbEST"
"Hs.584864"	"leiomios"	2.13e-44	7.031893422	"dbEST"
"Hs.446315"	"leiomios"	1.58e-44	7.012369928	"dbEST"
"Hs.592164"	"leiomios"	2.24e-51	7.061418427	"dbEST"
"Hs.443625"	"leiomios"	6.75e-70	4.786519607	"dbEST"
"Hs.489142"	"leiomios"	3.15e-72	4.560486318	"dbEST"
"Hs.8867"	"leiomios"	2.06e-81	6.673659504	"dbEST"
"Hs.643452"	"leiomios"	3.61e-84	7.066302672	"dbEST"
"Hs.615277"	"leiomios"	6.4e-91	6.975685107	"dbEST"
"Hs.632466"	"leiomios"	2.09e-98	7.050986198	"dbEST"
"Hs.172928"	"leiomios"	2.57e-111	6.224423217	"dbEST"
"Hs.518475"	"leiomios"	0	7.029226911	"dbEST"
"Hs.584927"	"leiomios"	0	7.071132214	"dbEST"
"Hs.712713"	"leiomios"	0	7.069387663	"dbEST"
