"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.710711"	"liver"	2.64e-06	5.26492289	"dbEST"
"Hs.534504"	"liver"	1.42e-07	4.363102409	"dbEST"
"Hs.659741"	"liver"	9.49e-08	4.917391731	"dbEST"
"Hs.654318"	"liver"	5.3e-08	4.069301208	"dbEST"
"Hs.176615"	"liver"	3.62e-08	4.419301974	"dbEST"
"Hs.691782"	"liver"	2.43e-08	4.473126136	"dbEST"
"Hs.658398"	"liver"	1.6e-08	4.090011284	"dbEST"
"Hs.696183"	"liver"	9.18e-09	4.128443214	"dbEST"
"Hs.534467"	"liver"	2.75e-09	6.296431467	"dbEST"
"Hs.36989"	"liver"	1.76e-09	4.029974082	"dbEST"
"Hs.1360"	"liver"	4.33e-10	5.652992965	"dbEST"
"Hs.511872"	"liver"	4.33e-10	5.427544169	"dbEST"
"Hs.33756"	"liver"	3.9e-10	4.827555874	"dbEST"
"Hs.38715"	"liver"	3.9e-10	4.827555874	"dbEST"
"Hs.729413"	"liver"	3.26e-10	5.600748161	"dbEST"
"Hs.333497"	"liver"	2.84e-10	5.355980832	"dbEST"
"Hs.208"	"liver"	1.06e-10	5.520492131	"dbEST"
"Hs.334464"	"liver"	5.45e-11	6.371989798	"dbEST"
"Hs.597323"	"liver"	3.08e-11	4.142513716	"dbEST"
"Hs.378150"	"liver"	1.89e-11	4.944821911	"dbEST"
"Hs.668083"	"liver"	5.66e-12	5.891329047	"dbEST"
"Hs.534302"	"liver"	3.41e-12	6.613321276	"dbEST"
"Hs.676270"	"liver"	3.41e-12	6.530516986	"dbEST"
"Hs.729285"	"liver"	2.8e-12	6.152381568	"dbEST"
"Hs.952"	"liver"	2.8e-12	4.674681456	"dbEST"
"Hs.665523"	"liver"	1.35e-12	5.544130005	"dbEST"
"Hs.7303"	"liver"	3.61e-13	4.926478258	"dbEST"
"Hs.435782"	"liver"	3.08e-13	6.627984921	"dbEST"
"Hs.512580"	"liver"	2.61e-13	6.583216466	"dbEST"
"Hs.673861"	"liver"	2.34e-13	7.049857497	"dbEST"
"Hs.132992"	"liver"	2.32e-13	4.639073193	"dbEST"
"Hs.284414"	"liver"	2.17e-13	6.191831074	"dbEST"
"Hs.632722"	"liver"	9.21e-14	4.884262208	"dbEST"
"Hs.702477"	"liver"	7.23e-14	5.054587895	"dbEST"
"Hs.703624"	"liver"	3.77e-14	5.299512532	"dbEST"
"Hs.89771"	"liver"	3.29e-14	4.423485595	"dbEST"
"Hs.711122"	"liver"	2.22e-14	7.072427502	"dbEST"
"Hs.499674"	"liver"	1.66e-14	6.920633956	"dbEST"
"Hs.574857"	"liver"	1.66e-14	6.477271894	"dbEST"
"Hs.655434"	"liver"	1.62e-14	6.23372574	"dbEST"
"Hs.591832"	"liver"	2.63e-15	5.648462153	"dbEST"
"Hs.8373"	"liver"	2.63e-15	5.388808291	"dbEST"
"Hs.212293"	"liver"	2.12e-15	5.564065936	"dbEST"
"Hs.702112"	"liver"	1.16e-15	6.503996102	"dbEST"
"Hs.655342"	"liver"	4.21e-16	6.217440997	"dbEST"
"Hs.134958"	"liver"	3.4e-16	6.081211267	"dbEST"
"Hs.656046"	"liver"	3.4e-16	5.472692173	"dbEST"
"Hs.536955"	"liver"	1.99e-16	6.727292843	"dbEST"
"Hs.587345"	"liver"	1.72e-16	6.87254346	"dbEST"
"Hs.572812"	"liver"	1.52e-16	5.181695198	"dbEST"
"Hs.655653"	"liver"	5.83e-17	4.268225203	"dbEST"
"Hs.655645"	"liver"	5.14e-17	4.913919264	"dbEST"
"Hs.655436"	"liver"	4.6e-17	6.450739741	"dbEST"
"Hs.729117"	"liver"	4.6e-17	6.960080466	"dbEST"
"Hs.570175"	"liver"	4.12e-17	7.072427502	"dbEST"
"Hs.705904"	"liver"	4.12e-17	7.072427502	"dbEST"
"Hs.703419"	"liver"	2.39e-17	7.044544314	"dbEST"
"Hs.655561"	"liver"	9.57e-19	4.865295395	"dbEST"
"Hs.348675"	"liver"	8.51e-19	6.361209924	"dbEST"
"Hs.440967"	"liver"	5.62e-19	4.918655802	"dbEST"
"Hs.430828"	"liver"	4.82e-19	5.993511284	"dbEST"
"Hs.1644"	"liver"	5.06e-20	7.066585455	"dbEST"
"Hs.719890"	"liver"	5.59e-21	5.996619119	"dbEST"
"Hs.349642"	"liver"	2.63e-21	6.200022578	"dbEST"
"Hs.237642"	"liver"	7.83e-22	5.702254594	"dbEST"
"Hs.703509"	"liver"	5.33e-22	5.451226573	"dbEST"
"Hs.444488"	"liver"	4.83e-22	4.969255186	"dbEST"
"Hs.659606"	"liver"	2.81e-22	4.67226462	"dbEST"
"Hs.188982"	"liver"	2.07e-22	6.649940558	"dbEST"
"Hs.594607"	"liver"	2.07e-22	6.755136865	"dbEST"
"Hs.657840"	"liver"	8.53e-23	6.91724097	"dbEST"
