"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.262480"	"lung"	8.41e-06	4.1666926	"dbEST"
"Hs.150167"	"lung"	1.6e-06	5.071540887	"dbEST"
"Hs.721442"	"lung"	1.45e-06	4.055692716	"dbEST"
"Hs.710433"	"lung"	1.1e-06	5.159720714	"dbEST"
"Hs.2605"	"lung"	9.27e-07	4.460465042	"dbEST"
"Hs.594911"	"lung"	7.46e-07	5.669578937	"dbEST"
"Hs.368563"	"lung"	4.99e-07	4.956917467	"dbEST"
"Hs.620611"	"lung"	3.44e-07	4.18999984	"dbEST"
"Hs.129828"	"lung"	3.13e-07	5.010365538	"dbEST"
"Hs.34969"	"lung"	2.63e-07	4.695227929	"dbEST"
"Hs.553493"	"lung"	2.01e-07	4.766941782	"dbEST"
"Hs.633492"	"lung"	2.01e-07	4.597193317	"dbEST"
"Hs.556087"	"lung"	1.24e-07	6.307386112	"dbEST"
"Hs.728418"	"lung"	1.24e-07	5.35572635	"dbEST"
"Hs.16426"	"lung"	8.09e-08	4.137865246	"dbEST"
"Hs.534616"	"lung"	7.34e-08	6.188123636	"dbEST"
"Hs.222218"	"lung"	4.21e-08	5.031105799	"dbEST"
"Hs.624196"	"lung"	2.32e-08	5.176082644	"dbEST"
"Hs.248156"	"lung"	2.31e-08	4.031539536	"dbEST"
"Hs.452702"	"lung"	2.08e-08	6.239865047	"dbEST"
"Hs.592002"	"lung"	1.55e-08	6.01919656	"dbEST"
"Hs.561921"	"lung"	1.22e-08	6.243491093	"dbEST"
"Hs.164298"	"lung"	1.06e-08	4.484631537	"dbEST"
"Hs.306199"	"lung"	4.87e-09	4.297008526	"dbEST"
"Hs.655004"	"lung"	4.51e-09	6.734234409	"dbEST"
"Hs.129142"	"lung"	2.37e-09	4.821385757	"dbEST"
"Hs.133982"	"lung"	2.37e-09	4.332399199	"dbEST"
"Hs.657784"	"lung"	1.61e-09	5.999534778	"dbEST"
"Hs.356479"	"lung"	1.19e-09	4.637399675	"dbEST"
"Hs.714499"	"lung"	8.69e-10	5.354155982	"dbEST"
"Hs.667551"	"lung"	5.63e-10	4.222204441	"dbEST"
"Hs.663694"	"lung"	4.84e-10	5.42743259	"dbEST"
"Hs.660448"	"lung"	3.31e-10	4.060555919	"dbEST"
"Hs.632218"	"lung"	6.54e-11	5.058891708	"dbEST"
"Hs.673002"	"lung"	5.09e-11	6.744545497	"dbEST"
"Hs.666302"	"lung"	1.79e-11	6.003546745	"dbEST"
"Hs.571565"	"lung"	1.24e-11	6.906591924	"dbEST"
"Hs.670282"	"lung"	1.24e-11	6.627783326	"dbEST"
"Hs.1349"	"lung"	8.22e-12	5.88172437	"dbEST"
"Hs.148584"	"lung"	5.74e-12	4.2548999	"dbEST"
"Hs.661005"	"lung"	4.42e-12	6.576887996	"dbEST"
"Hs.143587"	"lung"	4.39e-12	4.966449113	"dbEST"
"Hs.170358"	"lung"	3.49e-12	6.923215619	"dbEST"
"Hs.439583"	"lung"	3.49e-12	5.294495393	"dbEST"
"Hs.202247"	"lung"	2.88e-12	6.175712522	"dbEST"
"Hs.435730"	"lung"	2.45e-12	5.837925712	"dbEST"
"Hs.605188"	"lung"	2.17e-12	7.006459323	"dbEST"
"Hs.624125"	"lung"	2.17e-12	6.266671996	"dbEST"
"Hs.145804"	"lung"	8.95e-13	5.261508126	"dbEST"
"Hs.25766"	"lung"	6.25e-13	4.197506317	"dbEST"
"Hs.609552"	"lung"	2.07e-13	7.072427502	"dbEST"
