"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.605143"	"lymph node"	9.3e-06	4.121405124	"dbEST"
"Hs.510528"	"lymph node"	8.51e-06	4.506534953	"dbEST"
"Hs.727618"	"lymph node"	5.75e-06	4.646786595	"dbEST"
"Hs.654350"	"lymph node"	3.47e-06	4.363842231	"dbEST"
"Hs.146079"	"lymph node"	2.45e-06	4.912645786	"dbEST"
"Hs.531168"	"lymph node"	2.45e-06	5.651515141	"dbEST"
"Hs.580351"	"lymph node"	1.88e-06	4.099658919	"dbEST"
"Hs.600547"	"lymph node"	1.45e-06	4.3959798	"dbEST"
"Hs.483209"	"lymph node"	1.35e-06	4.787811454	"dbEST"
"Hs.491805"	"lymph node"	1.13e-06	4.190500794	"dbEST"
"Hs.709545"	"lymph node"	9.84e-07	4.248425649	"dbEST"
"Hs.526728"	"lymph node"	9.77e-07	4.204127531	"dbEST"
"Hs.475150"	"lymph node"	9.56e-07	4.438730809	"dbEST"
"Hs.306769"	"lymph node"	9.16e-07	4.016766356	"dbEST"
"Hs.133044"	"lymph node"	7.77e-07	4.629168636	"dbEST"
"Hs.728856"	"lymph node"	5.77e-07	4.150659577	"dbEST"
"Hs.705480"	"lymph node"	4.58e-07	4.56499196	"dbEST"
"Hs.347187"	"lymph node"	3.25e-07	4.786504791	"dbEST"
"Hs.593679"	"lymph node"	2.97e-07	4.78634906	"dbEST"
"Hs.485380"	"lymph node"	2.89e-07	4.165345626	"dbEST"
"Hs.135763"	"lymph node"	2.82e-07	4.278212907	"dbEST"
"Hs.586165"	"lymph node"	2.65e-07	4.814532855	"dbEST"
"Hs.656905"	"lymph node"	2.44e-07	4.161895224	"dbEST"
"Hs.208701"	"lymph node"	2.27e-07	5.675016673	"dbEST"
"Hs.292949"	"lymph node"	2.14e-07	4.839370539	"dbEST"
"Hs.577426"	"lymph node"	2.1e-07	4.46881363	"dbEST"
"Hs.288304"	"lymph node"	1.75e-07	4.981260249	"dbEST"
"Hs.558351"	"lymph node"	1.63e-07	4.505436887	"dbEST"
"Hs.339665"	"lymph node"	1.62e-07	4.964937265	"dbEST"
"Hs.20000"	"lymph node"	1.55e-07	4.496173862	"dbEST"
"Hs.444664"	"lymph node"	1.13e-07	5.504344249	"dbEST"
"Hs.413678"	"lymph node"	1.07e-07	4.079907507	"dbEST"
"Hs.8878"	"lymph node"	9.81e-08	4.109682217	"dbEST"
"Hs.279008"	"lymph node"	9.16e-08	5.782003962	"dbEST"
"Hs.377090"	"lymph node"	7.33e-08	4.501106003	"dbEST"
"Hs.657268"	"lymph node"	6.64e-08	4.244092858	"dbEST"
"Hs.373857"	"lymph node"	5.53e-08	5.129307259	"dbEST"
"Hs.567453"	"lymph node"	5.16e-08	4.313761092	"dbEST"
"Hs.629638"	"lymph node"	5.03e-08	4.160119928	"dbEST"
"Hs.501296"	"lymph node"	3.79e-08	4.80691397	"dbEST"
"Hs.728812"	"lymph node"	2.88e-08	4.753739768	"dbEST"
"Hs.655410"	"lymph node"	2.27e-08	5.460327597	"dbEST"
"Hs.725208"	"lymph node"	2.08e-08	4.335893488	"dbEST"
"Hs.368348"	"lymph node"	1.48e-08	5.863212539	"dbEST"
"Hs.41502"	"lymph node"	1.48e-08	5.820625766	"dbEST"
"Hs.464217"	"lymph node"	1.48e-08	5.67276172	"dbEST"
"Hs.241570"	"lymph node"	1.42e-08	4.030572538	"dbEST"
"Hs.467793"	"lymph node"	1.4e-08	5.37021624	"dbEST"
"Hs.310640"	"lymph node"	1.37e-08	5.206400713	"dbEST"
"Hs.511175"	"lymph node"	9.59e-09	4.483710022	"dbEST"
"Hs.434250"	"lymph node"	5.7e-09	5.167700314	"dbEST"
"Hs.716678"	"lymph node"	4.68e-09	5.088110563	"dbEST"
"Hs.513578"	"lymph node"	4.24e-09	4.031117691	"dbEST"
"Hs.131673"	"lymph node"	4.12e-09	4.234121347	"dbEST"
"Hs.534074"	"lymph node"	3.66e-09	4.070058864	"dbEST"
"Hs.713641"	"lymph node"	3.25e-09	4.375591873	"dbEST"
"Hs.531754"	"lymph node"	2.56e-09	4.134543843	"dbEST"
"Hs.577053"	"lymph node"	2.24e-09	4.737005665	"dbEST"
"Hs.584909"	"lymph node"	2e-09	4.094321949	"dbEST"
"Hs.416108"	"lymph node"	1.58e-09	4.511466159	"dbEST"
"Hs.443789"	"lymph node"	1.21e-09	5.413751872	"dbEST"
"Hs.534385"	"lymph node"	1.1e-09	4.2902294	"dbEST"
