"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.274430"	"lymph"	6.8e-06	4.65590445	"dbEST"
"Hs.437497"	"lymph"	5.88e-06	4.469081155	"dbEST"
"Hs.283741"	"lymph"	5.46e-06	4.114581853	"dbEST"
"Hs.8763"	"lymph"	3.63e-06	4.71522811	"dbEST"
"Hs.150749"	"lymph"	1.63e-06	4.906631064	"dbEST"
"Hs.591084"	"lymph"	1.39e-06	4.189403274	"dbEST"
"Hs.709257"	"lymph"	1.25e-06	4.259259446	"dbEST"
"Hs.24178"	"lymph"	1.22e-06	4.514545488	"dbEST"
"Hs.475401"	"lymph"	6.01e-07	4.10715069	"dbEST"
"Hs.655006"	"lymph"	5.73e-07	4.092473296	"dbEST"
"Hs.26333"	"lymph"	5.46e-07	4.090005669	"dbEST"
"Hs.645279"	"lymph"	5.46e-07	4.840016313	"dbEST"
"Hs.348308"	"lymph"	4.84e-07	4.189587401	"dbEST"
"Hs.522639"	"lymph"	4.06e-07	4.850827434	"dbEST"
"Hs.707904"	"lymph"	3.91e-07	4.777648953	"dbEST"
"Hs.432560"	"lymph"	3.26e-07	4.541576235	"dbEST"
"Hs.107382"	"lymph"	2.81e-07	5.503390501	"dbEST"
"Hs.476306"	"lymph"	7.99e-08	5.263601566	"dbEST"
"Hs.596464"	"lymph"	7.99e-08	4.216953106	"dbEST"
"Hs.132370"	"lymph"	7.31e-08	4.057099983	"dbEST"
"Hs.534491"	"lymph"	7.06e-08	4.396238543	"dbEST"
"Hs.397638"	"lymph"	6.91e-08	5.019318489	"dbEST"
"Hs.274135"	"lymph"	4.16e-08	4.732871873	"dbEST"
"Hs.654352"	"lymph"	1.94e-08	4.198803395	"dbEST"
"Hs.115232"	"lymph"	1.84e-08	4.046936713	"dbEST"
"Hs.23158"	"lymph"	1.42e-08	4.717818996	"dbEST"
"Hs.104019"	"lymph"	9.71e-09	4.28836091	"dbEST"
"Hs.351474"	"lymph"	8.97e-09	4.603472969	"dbEST"
"Hs.296776"	"lymph"	5.24e-09	4.441642632	"dbEST"
"Hs.658598"	"lymph"	5e-09	4.804697625	"dbEST"
"Hs.292579"	"lymph"	4.17e-09	4.854782053	"dbEST"
"Hs.726183"	"lymph"	3.22e-09	4.60023095	"dbEST"
"Hs.524625"	"lymph"	2.53e-09	4.96742539	"dbEST"
"Hs.252457"	"lymph"	1.75e-09	4.416342771	"dbEST"
"Hs.434878"	"lymph"	1.24e-09	4.598691258	"dbEST"
"Hs.153003"	"lymph"	1.1e-09	4.782189188	"dbEST"
"Hs.98493"	"lymph"	8.96e-10	4.854293185	"dbEST"
"Hs.31442"	"lymph"	8.76e-10	5.726663162	"dbEST"
"Hs.283402"	"lymph"	7.09e-10	4.673690884	"dbEST"
"Hs.32018"	"lymph"	6.75e-10	5.001674655	"dbEST"
"Hs.647060"	"lymph"	6.44e-10	5.298216039	"dbEST"
"Hs.713636"	"lymph"	5.88e-10	4.32027247	"dbEST"
"Hs.105956"	"lymph"	5.33e-10	5.337842246	"dbEST"
"Hs.726232"	"lymph"	5.05e-10	5.184381573	"dbEST"
"Hs.638652"	"lymph"	4.1e-10	5.871590683	"dbEST"
"Hs.655662"	"lymph"	2.64e-10	5.813073845	"dbEST"
"Hs.175220"	"lymph"	1.99e-10	5.792137968	"dbEST"
"Hs.436912"	"lymph"	1.4e-10	5.305022431	"dbEST"
"Hs.726442"	"lymph"	1.32e-10	5.963420957	"dbEST"
"Hs.592325"	"lymph"	1.29e-10	4.1926844	"dbEST"
"Hs.489448"	"lymph"	6.84e-11	5.095449528	"dbEST"
"Hs.19400"	"lymph"	6.41e-11	4.612030412	"dbEST"
"Hs.654808"	"lymph"	6.11e-11	6.212049376	"dbEST"
"Hs.515064"	"lymph"	6.03e-11	5.702587605	"dbEST"
"Hs.5019"	"lymph"	4.73e-11	5.122531203	"dbEST"
"Hs.485360"	"lymph"	4.62e-11	4.175432303	"dbEST"
"Hs.591104"	"lymph"	4.43e-11	4.6928138	"dbEST"
"Hs.14468"	"lymph"	2.94e-11	4.073764278	"dbEST"
"Hs.389277"	"lymph"	2.9e-11	4.440705437	"dbEST"
"Hs.243564"	"lymph"	2.22e-11	4.893304509	"dbEST"
"Hs.654402"	"lymph"	1.32e-11	6.287569972	"dbEST"
"Hs.648590"	"lymph"	1.12e-11	4.371872541	"dbEST"
"Hs.194333"	"lymph"	8.6e-12	5.913599481	"dbEST"
"Hs.213198"	"lymph"	7.04e-12	4.987730352	"dbEST"
"Hs.534331"	"lymph"	6.15e-12	6.505782599	"dbEST"
"Hs.465761"	"lymph"	4.78e-12	5.097460139	"dbEST"
"Hs.465870"	"lymph"	3.75e-12	4.408162024	"dbEST"
"Hs.279413"	"lymph"	2.52e-12	4.954861184	"dbEST"
"Hs.592074"	"lymph"	2.44e-12	5.626516857	"dbEST"
"Hs.627133"	"lymph"	2.08e-12	5.743467593	"dbEST"
"Hs.2157"	"lymph"	1.85e-12	4.347006999	"dbEST"
"Hs.434886"	"lymph"	1.52e-12	4.939320213	"dbEST"
"Hs.726172"	"lymph"	1.05e-12	4.01626565	"dbEST"
"Hs.524183"	"lymph"	5.4e-13	4.308468109	"dbEST"
"Hs.159494"	"lymph"	4.06e-13	4.84194269	"dbEST"
"Hs.534345"	"lymph"	3.89e-13	4.386102977	"dbEST"
"Hs.111377"	"lymph"	3.7e-13	4.381481538	"dbEST"
"Hs.709182"	"lymph"	3.1e-13	5.516899127	"dbEST"
"Hs.516306"	"lymph"	2.58e-13	4.440227243	"dbEST"
