"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.474206"	"mouth"	6.44e-06	4.706115224	"dbEST"
"Hs.159481"	"mouth"	3.33e-06	4.36034308	"dbEST"
"Hs.313056"	"mouth"	1.48e-06	4.5245854	"dbEST"
"Hs.430439"	"mouth"	8.85e-07	4.80517968	"dbEST"
"Hs.531987"	"mouth"	8.13e-07	4.066245848	"dbEST"
"Hs.370410"	"mouth"	5.3e-07	4.620325752	"dbEST"
"Hs.430199"	"mouth"	5.01e-07	5.026523517	"dbEST"
"Hs.515872"	"mouth"	4.38e-07	5.349018784	"dbEST"
"Hs.520145"	"mouth"	2.55e-07	4.196364853	"dbEST"
"Hs.550906"	"mouth"	2.26e-07	4.418665824	"dbEST"
"Hs.534612"	"mouth"	1.19e-07	4.435348343	"dbEST"
"Hs.656037"	"mouth"	9.68e-08	4.276142068	"dbEST"
"Hs.514580"	"mouth"	8.92e-08	5.320363729	"dbEST"
"Hs.414614"	"mouth"	8.11e-08	4.913315154	"dbEST"
"Hs.631724"	"mouth"	5.92e-08	4.90298983	"dbEST"
"Hs.236940"	"mouth"	3.91e-08	4.369857033	"dbEST"
"Hs.485270"	"mouth"	3.57e-08	4.727077016	"dbEST"
"Hs.7921"	"mouth"	2.1e-08	5.128551307	"dbEST"
"Hs.686261"	"mouth"	2.05e-08	4.602080624	"dbEST"
"Hs.632237"	"mouth"	1.97e-08	4.173731708	"dbEST"
"Hs.288954"	"mouth"	1.92e-08	4.756311623	"dbEST"
"Hs.728935"	"mouth"	1.82e-08	4.425179187	"dbEST"
"Hs.632345"	"mouth"	1.75e-08	4.178686531	"dbEST"
"Hs.446445"	"mouth"	1.56e-08	4.182381267	"dbEST"
"Hs.13640"	"mouth"	1.45e-08	5.062831499	"dbEST"
"Hs.532129"	"mouth"	5.62e-09	4.732127672	"dbEST"
"Hs.280782"	"mouth"	4.9e-09	4.355421217	"dbEST"
"Hs.518900"	"mouth"	2.26e-09	4.221793373	"dbEST"
"Hs.309467"	"mouth"	1.16e-09	4.213632629	"dbEST"
"Hs.489824"	"mouth"	1.15e-09	4.743537088	"dbEST"
"Hs.77719"	"mouth"	9.78e-10	5.367714767	"dbEST"
"Hs.524084"	"mouth"	5.66e-10	4.217458295	"dbEST"
"Hs.413801"	"mouth"	3.61e-10	4.551400213	"dbEST"
"Hs.352224"	"mouth"	2.71e-10	4.019832958	"dbEST"
"Hs.400572"	"mouth"	2.54e-10	6.365077212	"dbEST"
"Hs.187058"	"mouth"	2.21e-10	4.409878305	"dbEST"
"Hs.371016"	"mouth"	1.16e-10	4.925629471	"dbEST"
"Hs.632254"	"mouth"	1.16e-10	4.864280924	"dbEST"
"Hs.128738"	"mouth"	1.15e-10	6.312764766	"dbEST"
"Hs.104980"	"mouth"	5.41e-11	4.134104253	"dbEST"
"Hs.110488"	"mouth"	4.8e-11	5.006531793	"dbEST"
"Hs.632592"	"mouth"	4.13e-11	6.333339616	"dbEST"
"Hs.710624"	"mouth"	2.93e-11	5.7693564	"dbEST"
"Hs.436121"	"mouth"	2.36e-11	5.290499236	"dbEST"
"Hs.655028"	"mouth"	2.22e-11	5.491677105	"dbEST"
"Hs.415950"	"mouth"	2.17e-11	4.258691003	"dbEST"
"Hs.654668"	"mouth"	1.04e-11	5.315543495	"dbEST"
"Hs.597349"	"mouth"	8.26e-12	4.292060062	"dbEST"
"Hs.481819"	"mouth"	6.75e-12	5.322466934	"dbEST"
"Hs.361323"	"mouth"	5.9e-12	4.161554697	"dbEST"
"Hs.488293"	"mouth"	5.65e-12	4.253741784	"dbEST"
"Hs.443650"	"mouth"	5.07e-12	4.129200617	"dbEST"
"Hs.473117"	"mouth"	3.86e-12	4.888320555	"dbEST"
"Hs.461787"	"mouth"	2.33e-12	4.264286271	"dbEST"
"Hs.229335"	"mouth"	8.59e-13	4.2659898	"dbEST"
"Hs.654526"	"mouth"	3.76e-13	6.572407229	"dbEST"
"Hs.500104"	"mouth"	2.03e-13	4.275371239	"dbEST"
"Hs.408324"	"mouth"	1.75e-13	4.450661128	"dbEST"
"Hs.633509"	"mouth"	9.25e-14	4.091245348	"dbEST"
"Hs.154510"	"mouth"	4.26e-14	5.153736537	"dbEST"
"Hs.386225"	"mouth"	2.1e-14	4.119985797	"dbEST"
"Hs.578433"	"mouth"	1.8e-14	4.898199915	"dbEST"
"Hs.729317"	"mouth"	1.34e-14	6.794060109	"dbEST"
"Hs.352622"	"mouth"	1.09e-14	4.437325784	"dbEST"
"Hs.417549"	"mouth"	8.44e-15	4.434817313	"dbEST"
"Hs.654665"	"mouth"	6.97e-15	4.082474046	"dbEST"
"Hs.77873"	"mouth"	5.36e-15	5.186893034	"dbEST"
"Hs.463936"	"mouth"	4.46e-15	5.239488445	"dbEST"
"Hs.524082"	"mouth"	3.65e-15	6.197058692	"dbEST"
"Hs.136778"	"mouth"	3.27e-15	4.942225368	"dbEST"
"Hs.591311"	"mouth"	3.19e-15	4.264578316	"dbEST"
"Hs.169487"	"mouth"	1.37e-15	4.533571308	"dbEST"
"Hs.729131"	"mouth"	6.88e-16	5.385323154	"dbEST"
"Hs.443837"	"mouth"	4.02e-16	4.906826242	"dbEST"
"Hs.546434"	"mouth"	3.44e-16	4.733954582	"dbEST"
"Hs.633613"	"mouth"	5.38e-17	7.058047885	"dbEST"
"Hs.727517"	"mouth"	4.16e-17	5.612213748	"dbEST"
"Hs.431850"	"mouth"	2.42e-17	4.623157887	"dbEST"
"Hs.409602"	"mouth"	9.03e-18	4.033212424	"dbEST"
"Hs.268963"	"mouth"	9.01e-18	4.980389683	"dbEST"
"Hs.705552"	"mouth"	4.9e-18	5.872743802	"dbEST"
"Hs.729858"	"mouth"	8.1e-19	6.81396812	"dbEST"
"Hs.711058"	"mouth"	4.59e-19	7.064315938	"dbEST"
"Hs.492490"	"mouth"	7.86e-20	4.759965251	"dbEST"
"Hs.654465"	"mouth"	1.66e-20	4.76647443	"dbEST"
"Hs.525251"	"mouth"	1.02e-20	4.465641181	"dbEST"
"Hs.657458"	"mouth"	5.24e-21	7.067972771	"dbEST"
"Hs.2030"	"mouth"	4.2e-21	5.123844587	"dbEST"
"Hs.191842"	"mouth"	4.05e-21	4.279581666	"dbEST"
"Hs.517310"	"mouth"	1.68e-21	5.665835627	"dbEST"
"Hs.502914"	"mouth"	1.3e-21	5.628323497	"dbEST"
"Hs.171057"	"mouth"	5.98e-22	5.453810889	"dbEST"
"Hs.3260"	"mouth"	4.28e-22	4.533698395	"dbEST"
"Hs.706168"	"mouth"	1.8e-22	4.837553309	"dbEST"
"Hs.515369"	"mouth"	1.16e-22	5.757549412	"dbEST"
"Hs.354056"	"mouth"	6.77e-23	4.226320183	"dbEST"
"Hs.18844"	"mouth"	8.91e-24	6.43575441	"dbEST"
"Hs.654481"	"mouth"	5.41e-24	5.05317996	"dbEST"
"Hs.440401"	"mouth"	3.35e-24	4.108712949	"dbEST"
"Hs.534395"	"mouth"	1.25e-24	5.929063657	"dbEST"
"Hs.611297"	"mouth"	6.58e-25	7.060843159	"dbEST"
"Hs.519818"	"mouth"	1.18e-25	4.309091286	"dbEST"
"Hs.132195"	"mouth"	1.11e-25	5.425009615	"dbEST"
"Hs.706653"	"mouth"	8.86e-26	6.850994434	"dbEST"
"Hs.620532"	"mouth"	4.1e-26	5.920161835	"dbEST"
"Hs.516439"	"mouth"	1.48e-26	4.144083772	"dbEST"
"Hs.379414"	"mouth"	9.82e-27	5.922321018	"dbEST"
"Hs.655152"	"mouth"	2.52e-27	6.993819322	"dbEST"
"Hs.3903"	"mouth"	1.82e-27	4.665922284	"dbEST"
"Hs.409578"	"mouth"	1.71e-27	5.45153463	"dbEST"
"Hs.522984"	"mouth"	1.95e-28	6.113973968	"dbEST"
"Hs.376688"	"mouth"	1.54e-28	7.06311626	"dbEST"
"Hs.661872"	"mouth"	1.5e-28	5.055526994	"dbEST"
"Hs.435761"	"mouth"	7.94e-29	5.505532956	"dbEST"
"Hs.695170"	"mouth"	7.65e-29	6.502024119	"dbEST"
"Hs.412941"	"mouth"	2.97e-29	6.103405475	"dbEST"
"Hs.592123"	"mouth"	2.79e-29	4.677430375	"dbEST"
"Hs.474935"	"mouth"	2.46e-29	4.85329377	"dbEST"
"Hs.468675"	"mouth"	2.07e-29	5.784056019	"dbEST"
"Hs.709049"	"mouth"	1.05e-29	6.393037764	"dbEST"
"Hs.408846"	"mouth"	7.22e-30	5.47570648	"dbEST"
"Hs.152978"	"mouth"	4.65e-30	5.343412785	"dbEST"
"Hs.531587"	"mouth"	1.67e-30	5.937301152	"dbEST"
"Hs.644972"	"mouth"	6.48e-31	6.051470329	"dbEST"
"Hs.283734"	"mouth"	2.64e-33	4.957228974	"dbEST"
"Hs.518236"	"mouth"	5.47e-34	4.027291908	"dbEST"
"Hs.534699"	"mouth"	4.59e-36	5.569177276	"dbEST"
"Hs.439620"	"mouth"	3.13e-36	6.026609996	"dbEST"
"Hs.728874"	"mouth"	2.42e-36	5.878324226	"dbEST"
"Hs.148559"	"mouth"	1.43e-37	5.580082661	"dbEST"
"Hs.524518"	"mouth"	5.3e-38	4.46262864	"dbEST"
"Hs.350288"	"mouth"	2.6e-38	6.603471583	"dbEST"
"Hs.631988"	"mouth"	9.12e-39	4.140127861	"dbEST"
"Hs.120633"	"mouth"	7.48e-39	4.326140419	"dbEST"
"Hs.534035"	"mouth"	5.9e-39	7.06566174	"dbEST"
"Hs.725124"	"mouth"	1.88e-39	4.808310909	"dbEST"
"Hs.670090"	"mouth"	1.12e-39	6.031406141	"dbEST"
"Hs.502842"	"mouth"	6.51e-42	5.154179331	"dbEST"
"Hs.632177"	"mouth"	3.4e-42	4.361886551	"dbEST"
"Hs.26225"	"mouth"	2.98e-42	5.50133616	"dbEST"
"Hs.696702"	"mouth"	8.53e-43	4.642723074	"dbEST"
"Hs.241407"	"mouth"	3.37e-44	6.852353495	"dbEST"
"Hs.519873"	"mouth"	6.49e-48	4.230189177	"dbEST"
"Hs.1497"	"mouth"	3.4e-49	6.550569544	"dbEST"
"Hs.527861"	"mouth"	3.13e-50	4.171350122	"dbEST"
"Hs.499042"	"mouth"	2.16e-52	6.49472328	"dbEST"
"Hs.1925"	"mouth"	2.13e-54	4.246134237	"dbEST"
"Hs.598015"	"mouth"	9.67e-56	6.599000856	"dbEST"
"Hs.494312"	"mouth"	3.01e-56	6.160752796	"dbEST"
"Hs.87539"	"mouth"	1.15e-56	5.244590828	"dbEST"
"Hs.73809"	"mouth"	8.71e-57	6.475502662	"dbEST"
"Hs.55279"	"mouth"	3.86e-61	5.171302941	"dbEST"
"Hs.137569"	"mouth"	3.23e-65	6.69507232	"dbEST"
"Hs.567256"	"mouth"	7.12e-67	4.976202635	"dbEST"
"Hs.658032"	"mouth"	1.2e-69	7.042412977	"dbEST"
"Hs.75724"	"mouth"	9.59e-70	5.508042827	"dbEST"
"Hs.497350"	"mouth"	4.92e-70	6.321907251	"dbEST"
"Hs.519523"	"mouth"	4.79e-70	5.087291869	"dbEST"
"Hs.436367"	"mouth"	4.3e-71	6.185234833	"dbEST"
"Hs.88556"	"mouth"	1.13e-73	4.984646629	"dbEST"
"Hs.2022"	"mouth"	6.39e-81	4.70500058	"dbEST"
"Hs.195155"	"mouth"	6.51e-89	6.867561635	"dbEST"
"Hs.213061"	"mouth"	1.37e-89	5.524211115	"dbEST"
"Hs.653124"	"mouth"	8.42e-91	6.902283998	"dbEST"
"Hs.702947"	"mouth"	1.62e-92	6.721017085	"dbEST"
"Hs.473721"	"mouth"	9.76e-106	5.598181009	"dbEST"
"Hs.254338"	"mouth"	2.62e-118	6.539990572	"dbEST"
"Hs.379821"	"mouth"	5.34e-142	6.734553829	"dbEST"
"Hs.307518"	"mouth"	2.68e-145	7.030110576	"dbEST"
"Hs.694849"	"mouth"	1.02e-152	6.628913693	"dbEST"
"Hs.241551"	"mouth"	3.12e-160	6.200896545	"dbEST"
"Hs.645317"	"mouth"	2.72e-164	6.247401247	"dbEST"
"Hs.460260"	"mouth"	3.92e-205	6.199197092	"dbEST"
"Hs.716639"	"mouth"	1.24e-277	6.125720759	"dbEST"
"Hs.504115"	"mouth"	9.49e-279	6.56363618	"dbEST"
"Hs.190495"	"mouth"	0	5.46597987	"dbEST"
"Hs.372914"	"mouth"	0	6.818097714	"dbEST"
"Hs.435369"	"mouth"	0	5.270310707	"dbEST"
"Hs.654610"	"mouth"	0	4.896414159	"dbEST"
