"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.370166"	"muscle"	7.71e-06	4.325531745	"dbEST"
"Hs.524234"	"muscle"	5.27e-06	4.208775159	"dbEST"
"Hs.635"	"muscle"	1.87e-06	4.40321387	"dbEST"
"Hs.613082"	"muscle"	9.04e-07	4.994533333	"dbEST"
"Hs.512963"	"muscle"	3.13e-07	4.229166722	"dbEST"
"Hs.497626"	"muscle"	4.1e-08	4.476476074	"dbEST"
"Hs.709660"	"muscle"	1.25e-08	4.633835673	"dbEST"
"Hs.568273"	"muscle"	2.93e-09	4.10146628	"dbEST"
"Hs.306051"	"muscle"	2.66e-09	4.263167171	"dbEST"
"Hs.440895"	"muscle"	4.82e-10	4.512859804	"dbEST"
"Hs.432364"	"muscle"	1.43e-10	4.250021675	"dbEST"
"Hs.7023"	"muscle"	7.87e-11	4.581633244	"dbEST"
"Hs.725347"	"muscle"	5.02e-11	4.716780365	"dbEST"
"Hs.592290"	"muscle"	1.2e-11	4.143009222	"dbEST"
"Hs.61255"	"muscle"	9.73e-12	4.375628852	"dbEST"
"Hs.726008"	"muscle"	3.82e-12	5.285752351	"dbEST"
"Hs.104865"	"muscle"	1.77e-12	5.186966411	"dbEST"
"Hs.132902"	"muscle"	1.39e-12	4.150659481	"dbEST"
"Hs.591712"	"muscle"	1.34e-12	4.555841476	"dbEST"
"Hs.513266"	"muscle"	3.99e-13	4.530781374	"dbEST"
"Hs.505662"	"muscle"	2.4e-13	4.810195147	"dbEST"
"Hs.16606"	"muscle"	2.1e-13	5.155094649	"dbEST"
"Hs.701247"	"muscle"	6.74e-14	6.850757014	"dbEST"
"Hs.350621"	"muscle"	5.31e-14	4.609762673	"dbEST"
"Hs.441709"	"muscle"	4.81e-14	5.338516852	"dbEST"
"Hs.436068"	"muscle"	9.48e-15	4.594072331	"dbEST"
"Hs.458309"	"muscle"	3.6e-15	6.85079877	"dbEST"
"Hs.81218"	"muscle"	2.82e-15	6.689128653	"dbEST"
"Hs.10848"	"muscle"	2.57e-15	4.719503185	"dbEST"
"Hs.128499"	"muscle"	1.7e-15	6.201160366	"dbEST"
