"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.127792"	"nerve"	8.84e-06	4.294497979	"dbEST"
"Hs.435277"	"nerve"	6.57e-06	4.577754652	"dbEST"
"Hs.632766"	"nerve"	4.75e-06	4.165503995	"dbEST"
"Hs.126497"	"nerve"	2.83e-06	4.662932534	"dbEST"
"Hs.4096"	"nerve"	1.99e-06	4.851433934	"dbEST"
"Hs.287412"	"nerve"	1.89e-06	4.915335783	"dbEST"
"Hs.463978"	"nerve"	1.28e-06	5.285912484	"dbEST"
"Hs.709612"	"nerve"	1.24e-06	4.209782993	"dbEST"
"Hs.655354"	"nerve"	1.03e-06	4.476783077	"dbEST"
"Hs.655738"	"nerve"	1.03e-06	5.22193157	"dbEST"
"Hs.25441"	"nerve"	8.49e-07	4.725483397	"dbEST"
"Hs.592209"	"nerve"	7.96e-07	4.815396756	"dbEST"
"Hs.502793"	"nerve"	4.11e-07	4.461997922	"dbEST"
"Hs.631709"	"nerve"	4.08e-07	5.079583698	"dbEST"
"Hs.488835"	"nerve"	3.42e-07	4.073094073	"dbEST"
"Hs.380923"	"nerve"	2.71e-07	4.181901219	"dbEST"
"Hs.722646"	"nerve"	2.62e-07	4.273227734	"dbEST"
"Hs.130849"	"nerve"	2.22e-07	4.730252309	"dbEST"
"Hs.7426"	"nerve"	1.83e-07	4.991964739	"dbEST"
"Hs.618112"	"nerve"	9.68e-08	5.995959395	"dbEST"
"Hs.78036"	"nerve"	9.07e-08	4.031668621	"dbEST"
"Hs.728903"	"nerve"	8.08e-08	4.1999428	"dbEST"
"Hs.194754"	"nerve"	5.42e-08	4.959995279	"dbEST"
"Hs.6418"	"nerve"	5.16e-08	4.189357248	"dbEST"
"Hs.655242"	"nerve"	4.5e-08	5.325757178	"dbEST"
"Hs.298351"	"nerve"	2.85e-08	4.340477589	"dbEST"
"Hs.655895"	"nerve"	2.76e-08	4.279322007	"dbEST"
"Hs.484227"	"nerve"	2.32e-08	4.506031181	"dbEST"
"Hs.33191"	"nerve"	2.29e-08	5.988364337	"dbEST"
"Hs.118354"	"nerve"	1.78e-08	4.749094956	"dbEST"
"Hs.115896"	"nerve"	1.74e-08	5.779520816	"dbEST"
"Hs.474940"	"nerve"	1.74e-08	4.066372347	"dbEST"
"Hs.487561"	"nerve"	1.68e-08	4.370468411	"dbEST"
"Hs.517419"	"nerve"	1.62e-08	4.056917787	"dbEST"
"Hs.660192"	"nerve"	1.61e-08	5.725273416	"dbEST"
"Hs.458276"	"nerve"	1.4e-08	4.310445466	"dbEST"
"Hs.437460"	"nerve"	1.16e-08	4.141508657	"dbEST"
"Hs.148342"	"nerve"	9.79e-09	4.225828549	"dbEST"
"Hs.221436"	"nerve"	9.58e-09	4.028815478	"dbEST"
"Hs.213050"	"nerve"	6.78e-09	5.996969267	"dbEST"
"Hs.126906"	"nerve"	6.02e-09	5.869102239	"dbEST"
"Hs.408241"	"nerve"	5.57e-09	4.744868134	"dbEST"
