Gene HMID	Gene Symbol	Organ Specificity	source	Significance
HM02455	SIAE	parathyroid gland	dbEST	P-value = 1.22e-26; Zscore = 6.45
HM05463	RPS27L	parathyroid gland	dbEST	P-value = 3.02e-10; Zscore = 4.5
HM05738	C19orf56	parathyroid gland	dbEST	P-value = 2.62e-9; Zscore = 5.12
HM05225	C6orf108	parathyroid gland	dbEST	P-value = 4.40e-11; Zscore = 6.39
HM04992	SF3B5	parathyroid gland	dbEST	P-value = 5.76e-12; Zscore = 5.57
HM05156	C3orf63	parathyroid gland	dbEST	P-value = 2.42e-11; Zscore = 5.34
HM01601		parathyroid gland	dbEST	P-value = 4.42e-42; Zscore = 7.07
HM04359	BDH2	parathyroid gland	dbEST	P-value = 2.92e-14; Zscore = 5.51
HM06230	CINP	parathyroid gland	dbEST	P-value = 1.84e-7; Zscore = 4.32
HM01889	CHGA	parathyroid gland	dbEST	P-value = 2.90e-35; Zscore = 5.45
HM03920	CCDC56	parathyroid gland	dbEST	P-value = 4.71e-16; Zscore = 5.89
HM01852	RAPGEF5	parathyroid gland	dbEST	P-value = 3.98e-36; Zscore = 6.99
HM01260	ID2	parathyroid gland	dbEST	P-value = 1.36e-54; Zscore = 6.73
HM03553	ARL3	parathyroid gland	dbEST	P-value = 5.27e-18; Zscore = 6.69
HM05429	MRPS26	parathyroid gland	dbEST	P-value = 2.30e-10; Zscore = 6.2
HM05945	GSTO1	parathyroid gland	dbEST	P-value = 1.47e-8; Zscore = 4
HM01865	GCM2	parathyroid gland	dbEST	P-value = 8.15e-36; Zscore = 7.07
HM04647	TMEM37	parathyroid gland	dbEST	P-value = 4.42e-13; Zscore = 6.41
HM04624	BTBD11	parathyroid gland	dbEST	P-value = 3.52e-13; Zscore = 6.69
HM01564	RCAN1	parathyroid gland	dbEST	P-value = 3.39e-43; Zscore = 6.75
HM06093	SLC39A8	parathyroid gland	dbEST	P-value = 5.33e-8; Zscore = 5.86
HM06153	ATP1B1	parathyroid gland	dbEST	P-value = 8.03e-8; Zscore = 4.45
HM01455	PVALB	parathyroid gland	dbEST	P-value = 1.62e-46; Zscore = 7.03
HM06187	SMARCA2	parathyroid gland	dbEST	P-value = 1.12e-7; Zscore = 4.14
HM05063	C9orf5	parathyroid gland	dbEST	P-value = 1.14e-11; Zscore = 5.49
HM04608	C1orf128	parathyroid gland	dbEST	P-value = 2.86e-13; Zscore = 6.78
HM03931	PSMA2	parathyroid gland	dbEST	P-value = 5.42e-16; Zscore = 5.73
HM05861	COX7A2L	parathyroid gland	dbEST	P-value = 6.76e-9; Zscore = 4.64
HM02917	PRLR	parathyroid gland	dbEST	P-value = 1.86e-22; Zscore = 6.61
HM05891	GMPR2	parathyroid gland	dbEST	P-value = 9.13e-9; Zscore = 4.91
HM04935	COX6A1	parathyroid gland	dbEST	P-value = 3.70e-12; Zscore = 5.76
HM00276	PTH	parathyroid gland	dbEST	P-value = 0.00e+0; Zscore = 7.07
HM06078	C12orf62	parathyroid gland	dbEST	P-value = 4.70e-8; Zscore = 4.91
HM01054	YY1	parathyroid gland	dbEST	P-value = 1.42e-17; Zscore = 4.84
HM05033	CHCHD2	parathyroid gland	dbEST	P-value = 8.64e-12; Zscore = 4.55
HM01057	CD109	parathyroid gland	dbEST	P-value = 4.09e-65; Zscore = 6.97
HM06000	VPS28	parathyroid gland	dbEST	P-value = 2.41e-8; Zscore = 5.45
HM06318	FIS1	parathyroid gland	dbEST	P-value = 3.85e-7; Zscore = 5.73
HM06218	CCDC86	parathyroid gland	dbEST	P-value = 1.56e-7; Zscore = 4.42
HM05609	COX6B1	parathyroid gland	dbEST	P-value = 9.09e-10; Zscore = 4.79
HM05882	EAPP	parathyroid gland	dbEST	P-value = 8.75e-9; Zscore = 5.17
HM01029	CASR	parathyroid gland	dbEST	P-value = 9.71e-67; Zscore = 6.84
HM05662	THAP4	parathyroid gland	dbEST	P-value = 1.52e-9; Zscore = 5.41
HM04690	EPS8L1	parathyroid gland	dbEST	P-value = 6.22e-13; Zscore = 6.16
HM05932	ACVR1B	parathyroid gland	dbEST	P-value = 1.29e-8; Zscore = 6.2
HM04603	HBXIP	parathyroid gland	dbEST	P-value = 2.67e-13; Zscore = 6.46
HM04703	SYNJ2BP	parathyroid gland	dbEST	P-value = 7.17e-13; Zscore = 5.36
HM06555	DYNLT1	parathyroid gland	dbEST	P-value = 8.28e-6; Zscore = 4.02
HM02228	PSMA6	parathyroid gland	dbEST	P-value = 1.55e-29; Zscore = 6.16
HM01338	SLC7A2	parathyroid gland	dbEST	P-value = 7.92e-51; Zscore = 6.76
HM02022	KCNJ16	parathyroid gland	dbEST	P-value = 4.87e-33; Zscore = 6.82
HM04786	PKIG	parathyroid gland	dbEST	P-value = 1.37e-12; Zscore = 5.25
HM05849	UQCRH	parathyroid gland	dbEST	P-value = 6.17e-9; Zscore = 5.5
