"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.243987"	"ovary"	4.1e-06	4.050473699	"dbEST"
"Hs.505202"	"ovary"	2.18e-06	4.169198242	"dbEST"
"Hs.592108"	"ovary"	1.62e-06	4.152986611	"dbEST"
"Hs.125133"	"ovary"	7.75e-07	4.05564315	"dbEST"
"Hs.37196"	"ovary"	3.46e-07	5.361925161	"dbEST"
"Hs.585010"	"ovary"	2.42e-07	5.561827448	"dbEST"
"Hs.469398"	"ovary"	3.76e-08	5.179438612	"dbEST"
"Hs.715279"	"ovary"	1.21e-08	4.898698372	"dbEST"
"Hs.654854"	"ovary"	4.39e-09	4.900274368	"dbEST"
"Hs.250632"	"ovary"	3.89e-09	5.067971259	"dbEST"
"Hs.533655"	"ovary"	7.45e-10	4.464713018	"dbEST"
"Hs.715001"	"ovary"	3.53e-10	6.268414288	"dbEST"
"Hs.696775"	"ovary"	2.71e-10	6.206326898	"dbEST"
"Hs.13528"	"ovary"	1.92e-10	5.097903907	"dbEST"
"Hs.63128"	"ovary"	1.75e-10	4.77752643	"dbEST"
"Hs.513285"	"ovary"	7.52e-11	6.086575816	"dbEST"
"Hs.722213"	"ovary"	2.29e-11	6.339955515	"dbEST"
"Hs.678813"	"ovary"	2e-11	5.488726017	"dbEST"
"Hs.412870"	"ovary"	1.65e-11	4.610357116	"dbEST"
"Hs.441601"	"ovary"	1.6e-11	6.82723913	"dbEST"
"Hs.567499"	"ovary"	1.48e-11	5.168432064	"dbEST"
"Hs.634043"	"ovary"	8.07e-12	5.664277812	"dbEST"
"Hs.521482"	"ovary"	5.72e-12	5.537387741	"dbEST"
"Hs.696679"	"ovary"	2.69e-12	5.669306857	"dbEST"
"Hs.695057"	"ovary"	1.28e-12	6.856989598	"dbEST"
"Hs.171054"	"ovary"	1.12e-12	5.382871924	"dbEST"
"Hs.660596"	"ovary"	8.78e-13	4.043967143	"dbEST"
"Hs.195040"	"ovary"	5.72e-13	5.495964449	"dbEST"
"Hs.50915"	"ovary"	3.26e-13	4.288394533	"dbEST"
"Hs.195710"	"ovary"	1.99e-13	4.957056411	"dbEST"
"Hs.631793"	"ovary"	1.45e-13	6.667651452	"dbEST"
"Hs.667738"	"ovary"	1.2e-13	6.65786899	"dbEST"
"Hs.696773"	"ovary"	3.53e-14	5.912176135	"dbEST"
"Hs.666897"	"ovary"	8.46e-15	7.025608445	"dbEST"
"Hs.666901"	"ovary"	3.53e-15	6.987280199	"dbEST"
"Hs.655168"	"ovary"	2.08e-15	4.971403794	"dbEST"
"Hs.648871"	"ovary"	1.47e-15	6.214322201	"dbEST"
"Hs.662581"	"ovary"	1.34e-15	6.968400873	"dbEST"
"Hs.666899"	"ovary"	1.05e-15	6.93588072	"dbEST"
"Hs.11615"	"ovary"	8.39e-16	5.847711467	"dbEST"
"Hs.547271"	"ovary"	2.06e-16	6.458874896	"dbEST"
"Hs.727974"	"ovary"	1.21e-16	6.619080466	"dbEST"
"Hs.711628"	"ovary"	9.66e-17	6.165227817	"dbEST"
"Hs.462341"	"ovary"	8.12e-17	4.797082827	"dbEST"
"Hs.611147"	"ovary"	3.07e-17	7.058637104	"dbEST"
"Hs.696766"	"ovary"	3.05e-17	6.615617094	"dbEST"
"Hs.666890"	"ovary"	5.19e-18	7.061062286	"dbEST"
"Hs.667736"	"ovary"	5.19e-18	7.061062286	"dbEST"
"Hs.50640"	"ovary"	5.98e-19	4.773927968	"dbEST"
"Hs.595594"	"ovary"	4.45e-19	6.393879199	"dbEST"
"Hs.624137"	"ovary"	9.18e-21	6.694191941	"dbEST"
"Hs.666898"	"ovary"	7.04e-21	7.072427502	"dbEST"
"Hs.432394"	"ovary"	1.33e-21	7.052896933	"dbEST"
"Hs.9914"	"ovary"	4.19e-22	4.135940304	"dbEST"
"Hs.432400"	"ovary"	1.56e-22	7.066184174	"dbEST"
"Hs.658502"	"ovary"	1.04e-22	7.072427502	"dbEST"
"Hs.603759"	"ovary"	6.5e-23	6.774147283	"dbEST"
"Hs.225784"	"ovary"	2.25e-23	6.989640457	"dbEST"
"Hs.591495"	"ovary"	1.38e-23	5.971871754	"dbEST"
"Hs.408488"	"ovary"	5.85e-25	4.448602109	"dbEST"
"Hs.98367"	"ovary"	3.74e-26	6.738199028	"dbEST"
"Hs.666920"	"ovary"	2.23e-26	7.055960023	"dbEST"
"Hs.438102"	"ovary"	6.26e-27	4.321413581	"dbEST"
"Hs.656457"	"ovary"	4.95e-27	6.04780933	"dbEST"
"Hs.666896"	"ovary"	4.52e-27	7.064030026	"dbEST"
"Hs.712977"	"ovary"	2.75e-27	5.710858126	"dbEST"
"Hs.118183"	"ovary"	9.82e-30	6.578117321	"dbEST"
"Hs.667725"	"ovary"	7.29e-30	7.04698799	"dbEST"
"Hs.666892"	"ovary"	2.53e-30	7.043582614	"dbEST"
"Hs.654543"	"ovary"	9.45e-32	4.065582494	"dbEST"
"Hs.107911"	"ovary"	5.12e-33	5.545621657	"dbEST"
"Hs.521056"	"ovary"	3.98e-34	5.197136049	"dbEST"
"Hs.133294"	"ovary"	3.06e-34	7.071696745	"dbEST"
"Hs.664419"	"ovary"	1.71e-35	6.091370088	"dbEST"
"Hs.515598"	"ovary"	3.34e-36	4.663095954	"dbEST"
"Hs.710672"	"ovary"	2.66e-36	6.663792712	"dbEST"
"Hs.158688"	"ovary"	2.1e-37	5.41588861	"dbEST"
"Hs.666913"	"ovary"	1.09e-37	7.062574545	"dbEST"
"Hs.2719"	"ovary"	3.52e-43	5.025016465	"dbEST"
"Hs.603800"	"ovary"	2.28e-43	6.995442	"dbEST"
"Hs.86320"	"ovary"	9.47e-45	6.915732155	"dbEST"
"Hs.714892"	"ovary"	1.18e-46	5.142706483	"dbEST"
"Hs.592114"	"ovary"	3.16e-49	4.409000832	"dbEST"
"Hs.217079"	"ovary"	1.75e-51	6.933276398	"dbEST"
"Hs.521903"	"ovary"	2.49e-52	4.867518389	"dbEST"
"Hs.355264"	"ovary"	2.3e-85	4.604235871	"dbEST"
"Hs.424312"	"ovary"	8.94e-86	6.392449247	"dbEST"
