"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.160954"	"pancreas"	9.48e-06	4.211171888	"dbEST"
"Hs.593542"	"pancreas"	9.31e-07	4.434935988	"dbEST"
"Hs.406607"	"pancreas"	2.93e-07	4.557200238	"dbEST"
"Hs.530338"	"pancreas"	5.98e-08	4.968703484	"dbEST"
"Hs.300304"	"pancreas"	4.65e-08	4.126301731	"dbEST"
"Hs.632365"	"pancreas"	2.69e-08	4.056102704	"dbEST"
"Hs.598483"	"pancreas"	2.34e-08	5.115960301	"dbEST"
"Hs.126768"	"pancreas"	2.11e-08	4.927371026	"dbEST"
"Hs.558495"	"pancreas"	5.92e-09	4.608050993	"dbEST"
"Hs.299567"	"pancreas"	5.85e-09	4.210380524	"dbEST"
"Hs.698621"	"pancreas"	4.58e-09	5.085173268	"dbEST"
"Hs.467174"	"pancreas"	3.4e-09	5.066825905	"dbEST"
"Hs.700855"	"pancreas"	1.84e-09	4.773087116	"dbEST"
"Hs.152460"	"pancreas"	7.76e-10	6.14956614	"dbEST"
"Hs.145404"	"pancreas"	5.77e-10	5.512502342	"dbEST"
"Hs.158460"	"pancreas"	5.77e-10	5.745937106	"dbEST"
"Hs.437167"	"pancreas"	1.28e-10	6.380380454	"dbEST"
"Hs.595719"	"pancreas"	1.28e-10	6.965778343	"dbEST"
"Hs.654426"	"pancreas"	1.01e-10	6.193037448	"dbEST"
"Hs.586059"	"pancreas"	9.9e-11	4.086822451	"dbEST"
"Hs.445711"	"pancreas"	8.43e-11	4.561217851	"dbEST"
"Hs.654863"	"pancreas"	6.28e-11	6.571630855	"dbEST"
"Hs.241564"	"pancreas"	2.24e-11	6.278904991	"dbEST"
"Hs.664380"	"pancreas"	1.67e-11	4.264587911	"dbEST"
"Hs.163027"	"pancreas"	1.28e-11	5.622525442	"dbEST"
"Hs.675787"	"pancreas"	3.62e-12	6.376146044	"dbEST"
"Hs.37035"	"pancreas"	2.84e-12	4.558236972	"dbEST"
"Hs.557608"	"pancreas"	2.47e-12	5.790725568	"dbEST"
"Hs.66581"	"pancreas"	9.97e-13	4.380835929	"dbEST"
"Hs.225084"	"pancreas"	2.47e-13	6.647836035	"dbEST"
"Hs.710268"	"pancreas"	2.3e-13	6.973772094	"dbEST"
"Hs.611430"	"pancreas"	1.22e-13	6.391158763	"dbEST"
"Hs.352276"	"pancreas"	8.35e-14	5.678791144	"dbEST"
"Hs.437072"	"pancreas"	6.19e-14	5.950588301	"dbEST"
"Hs.326953"	"pancreas"	3.88e-14	4.792454703	"dbEST"
"Hs.187461"	"pancreas"	3.58e-14	5.999449762	"dbEST"
"Hs.513244"	"pancreas"	3.16e-14	5.061435187	"dbEST"
"Hs.445241"	"pancreas"	1.62e-14	5.178891852	"dbEST"
"Hs.729398"	"pancreas"	1.21e-14	6.276408506	"dbEST"
"Hs.426551"	"pancreas"	1.09e-14	6.984259542	"dbEST"
"Hs.127026"	"pancreas"	4.31e-15	6.962380904	"dbEST"
"Hs.511775"	"pancreas"	1.83e-15	7.072427502	"dbEST"
"Hs.26047"	"pancreas"	9.51e-16	5.006791475	"dbEST"
"Hs.730086"	"pancreas"	7.15e-16	6.884977799	"dbEST"
"Hs.695422"	"pancreas"	6.78e-16	4.249582109	"dbEST"
"Hs.347185"	"pancreas"	5.07e-16	6.954259048	"dbEST"
"Hs.661343"	"pancreas"	5.07e-16	6.772698593	"dbEST"
"Hs.143961"	"pancreas"	3.9e-16	4.318005362	"dbEST"
"Hs.490684"	"pancreas"	3.57e-16	4.331039773	"dbEST"
"Hs.631574"	"pancreas"	1.2e-16	4.137131926	"dbEST"
"Hs.31240"	"pancreas"	7.01e-17	6.303098307	"dbEST"
"Hs.684293"	"pancreas"	6.15e-17	7.072427502	"dbEST"
"Hs.211823"	"pancreas"	3.13e-17	6.528804737	"dbEST"
"Hs.553092"	"pancreas"	3.08e-17	6.622150474	"dbEST"
"Hs.150319"	"pancreas"	2.34e-17	4.688547743	"dbEST"
"Hs.202656"	"pancreas"	2.12e-18	5.184682348	"dbEST"
"Hs.466759"	"pancreas"	2.07e-18	7.072427502	"dbEST"
"Hs.680795"	"pancreas"	2.07e-18	7.072427502	"dbEST"
"Hs.104555"	"pancreas"	1.38e-18	5.932446066	"dbEST"
"Hs.680145"	"pancreas"	9.41e-19	7.059729539	"dbEST"
"Hs.308045"	"pancreas"	1.52e-19	4.356320463	"dbEST"
"Hs.680693"	"pancreas"	6.94e-20	7.072427502	"dbEST"
"Hs.19404"	"pancreas"	4.41e-20	5.423486666	"dbEST"
"Hs.403436"	"pancreas"	1.95e-21	4.717833094	"dbEST"
"Hs.703141"	"pancreas"	1.73e-21	5.042521491	"dbEST"
"Hs.411125"	"pancreas"	1.27e-21	4.147735349	"dbEST"
"Hs.532461"	"pancreas"	1.27e-21	4.21445933	"dbEST"
"Hs.714223"	"pancreas"	1.21e-21	7.04889685	"dbEST"
"Hs.655320"	"pancreas"	1.2e-21	5.266250037	"dbEST"
"Hs.655757"	"pancreas"	8.03e-22	5.957687018	"dbEST"
"Hs.234759"	"pancreas"	8.49e-23	7.004393917	"dbEST"
"Hs.680382"	"pancreas"	7.83e-23	7.072427502	"dbEST"
"Hs.595391"	"pancreas"	1.86e-23	4.466113325	"dbEST"
"Hs.47166"	"pancreas"	5.46e-24	5.9206508	"dbEST"
"Hs.134012"	"pancreas"	1.55e-25	6.373903042	"dbEST"
"Hs.724767"	"pancreas"	6.55e-26	6.831604125	"dbEST"
"Hs.587325"	"pancreas"	3.46e-26	4.653405627	"dbEST"
"Hs.315186"	"pancreas"	2.09e-27	4.696224079	"dbEST"
"Hs.531719"	"pancreas"	1.54e-27	6.230157359	"dbEST"
"Hs.521914"	"pancreas"	1.17e-27	6.970934488	"dbEST"
"Hs.335550"	"pancreas"	9.25e-28	4.982869016	"dbEST"
"Hs.287765"	"pancreas"	7.25e-28	6.726551078	"dbEST"
"Hs.484588"	"pancreas"	4.14e-28	4.413169283	"dbEST"
"Hs.709709"	"pancreas"	7.96e-29	4.466211247	"dbEST"
"Hs.592080"	"pancreas"	4.67e-29	4.237191404	"dbEST"
"Hs.512799"	"pancreas"	1.36e-29	4.477505176	"dbEST"
"Hs.710310"	"pancreas"	2.66e-30	6.491942132	"dbEST"
"Hs.356742"	"pancreas"	2.23e-30	4.152998542	"dbEST"
"Hs.116428"	"pancreas"	9.7e-32	5.976185288	"dbEST"
"Hs.89584"	"pancreas"	1.79e-32	5.687605974	"dbEST"
"Hs.32938"	"pancreas"	2.98e-33	7.010698534	"dbEST"
"Hs.93675"	"pancreas"	9.67e-34	4.24745895	"dbEST"
"Hs.387601"	"pancreas"	1.14e-35	4.769296256	"dbEST"
"Hs.594051"	"pancreas"	6.38e-36	6.738499986	"dbEST"
"Hs.78977"	"pancreas"	1.07e-37	6.455566129	"dbEST"
"Hs.248217"	"pancreas"	4.3e-38	6.801358932	"dbEST"
"Hs.270303"	"pancreas"	1.54e-38	4.235566996	"dbEST"
"Hs.406031"	"pancreas"	4.81e-39	7.072427502	"dbEST"
"Hs.407856"	"pancreas"	3.09e-39	4.821048739	"dbEST"
"Hs.714394"	"pancreas"	5.05e-40	6.120041798	"dbEST"
"Hs.706842"	"pancreas"	1.08e-40	6.295072176	"dbEST"
"Hs.591776"	"pancreas"	2.56e-41	4.904450184	"dbEST"
"Hs.567542"	"pancreas"	1.39e-41	7.031694635	"dbEST"
"Hs.707687"	"pancreas"	1.84e-43	6.968249749	"dbEST"
"Hs.503733"	"pancreas"	2.21e-45	4.962672846	"dbEST"
"Hs.124123"	"pancreas"	1.03e-45	6.702743663	"dbEST"
"Hs.631566"	"pancreas"	6.22e-52	6.875022497	"dbEST"
"Hs.144372"	"pancreas"	3.91e-53	6.331496494	"dbEST"
"Hs.516922"	"pancreas"	5.92e-54	6.98803192	"dbEST"
"Hs.558519"	"pancreas"	2.29e-54	6.405135241	"dbEST"
"Hs.707796"	"pancreas"	9.92e-57	7.072427502	"dbEST"
"Hs.449009"	"pancreas"	3.83e-61	4.472983285	"dbEST"
"Hs.495039"	"pancreas"	2.34e-62	5.713964251	"dbEST"
"Hs.490038"	"pancreas"	2.8e-67	5.62732921	"dbEST"
"Hs.283963"	"pancreas"	4.51e-68	7.033626139	"dbEST"
"Hs.708865"	"pancreas"	7.26e-70	7.064607837	"dbEST"
"Hs.24998"	"pancreas"	2.53e-71	5.411592498	"dbEST"
"Hs.714228"	"pancreas"	3.68e-72	6.971773385	"dbEST"
"Hs.590956"	"pancreas"	1.83e-72	5.909747585	"dbEST"
"Hs.654513"	"pancreas"	3.98e-73	6.701186938	"dbEST"
"Hs.654546"	"pancreas"	1.47e-77	5.059895138	"dbEST"
"Hs.11417"	"pancreas"	3.5e-79	5.951121702	"dbEST"
"Hs.231829"	"pancreas"	6.46e-87	7.047464462	"dbEST"
"Hs.722430"	"pancreas"	8.71e-91	7.042735633	"dbEST"
"Hs.533258"	"pancreas"	5.26e-95	5.767421306	"dbEST"
"Hs.631866"	"pancreas"	1.99e-95	6.870462788	"dbEST"
"Hs.992"	"pancreas"	3.55e-103	7.018901591	"dbEST"
"Hs.73923"	"pancreas"	1.4e-116	4.374559098	"dbEST"
"Hs.631869"	"pancreas"	8.98e-118	6.929546005	"dbEST"
"Hs.719698"	"pancreas"	8.31e-125	4.383257785	"dbEST"
"Hs.1340"	"pancreas"	1.52e-132	6.860937385	"dbEST"
"Hs.522640"	"pancreas"	1.07e-176	5.368563011	"dbEST"
"Hs.532270"	"pancreas"	5.01e-183	7.068088095	"dbEST"
"Hs.631871"	"pancreas"	8.53e-190	7.055345961	"dbEST"
"Hs.558368"	"pancreas"	1.16e-228	7.044480613	"dbEST"
"Hs.722711"	"pancreas"	2.05e-231	7.072341495	"dbEST"
"Hs.423598"	"pancreas"	7.1e-236	5.907005752	"dbEST"
"Hs.54470"	"pancreas"	1.7e-287	7.047158114	"dbEST"
"Hs.12409"	"pancreas"	0	7.067321084	"dbEST"
"Hs.156540"	"pancreas"	0	5.721169165	"dbEST"
"Hs.181289"	"pancreas"	0	6.679076703	"dbEST"
"Hs.272259"	"pancreas"	0	6.663678898	"dbEST"
"Hs.2879"	"pancreas"	0	7.017583971	"dbEST"
"Hs.4158"	"pancreas"	0	6.728292026	"dbEST"
"Hs.427202"	"pancreas"	0	4.953450924	"dbEST"
"Hs.449281"	"pancreas"	0	7.06662508	"dbEST"
"Hs.46835"	"pancreas"	0	7.069180836	"dbEST"
"Hs.477891"	"pancreas"	0	7.066926692	"dbEST"
"Hs.49407"	"pancreas"	0	6.772763122	"dbEST"
"Hs.501135"	"pancreas"	0	7.063593302	"dbEST"
"Hs.516494"	"pancreas"	0	7.012112973	"dbEST"
"Hs.610926"	"pancreas"	0	7.048722251	"dbEST"
"Hs.632211"	"pancreas"	0	7.068492399	"dbEST"
"Hs.654437"	"pancreas"	0	7.062528783	"dbEST"
"Hs.728752"	"pancreas"	0	6.61766755	"dbEST"
"Hs.728780"	"pancreas"	0	7.048973229	"dbEST"
"Hs.272259"	"pancreas"	NA	NA	"HPA"
"Hs.46835"	"pancreas"	NA	NA	"HPA"
"Hs.516494"	"pancreas"	NA	NA	"HPA"
"Hs.558368"	"pancreas"	NA	NA	"HPA"
"Hs.110014"	"pancreas"	0.9944	NA	"TiSGeD"
"Hs.1144"	"pancreas"	0.9631	NA	"TiSGeD"
"Hs.116428"	"pancreas"	0.9976	NA	"TiSGeD"
"Hs.118555"	"pancreas"	1	NA	"TiSGeD"
"Hs.118958"	"pancreas"	0.9998	NA	"TiSGeD"
"Hs.12409"	"pancreas"	0.9859	NA	"TiSGeD"
"Hs.124123"	"pancreas"	1	NA	"TiSGeD"
"Hs.129715"	"pancreas"	0.9321	NA	"TiSGeD"
"Hs.129780"	"pancreas"	0.9376	NA	"TiSGeD"
"Hs.131704"	"pancreas"	0.9191	NA	"TiSGeD"
"Hs.133512"	"pancreas"	0.926	NA	"TiSGeD"
"Hs.1340"	"pancreas"	1	NA	"TiSGeD"
"Hs.137569"	"pancreas"	0.9995	NA	"TiSGeD"
"Hs.138211"	"pancreas"	0.9377	NA	"TiSGeD"
"Hs.150793"	"pancreas"	0.9872	NA	"TiSGeD"
"Hs.155644"	"pancreas"	0.9974	NA	"TiSGeD"
"Hs.157429"	"pancreas"	1	NA	"TiSGeD"
"Hs.158315"	"pancreas"	0.9525	NA	"TiSGeD"
"Hs.159546"	"pancreas"	0.9883	NA	"TiSGeD"
"Hs.162143"	"pancreas"	0.998	NA	"TiSGeD"
"Hs.175955"	"pancreas"	0.9639	NA	"TiSGeD"
"Hs.176658"	"pancreas"	0.9969	NA	"TiSGeD"
"Hs.179704"	"pancreas"	0.9674	NA	"TiSGeD"
"Hs.181289"	"pancreas"	1	NA	"TiSGeD"
"Hs.181300"	"pancreas"	0.9752	NA	"TiSGeD"
"Hs.192326"	"pancreas"	1	NA	"TiSGeD"
"Hs.198252"	"pancreas"	0.961	NA	"TiSGeD"
"Hs.2242"	"pancreas"	0.9431	NA	"TiSGeD"
"Hs.249159"	"pancreas"	0.9769	NA	"TiSGeD"
"Hs.2704"	"pancreas"	0.9824	NA	"TiSGeD"
"Hs.2879"	"pancreas"	1	NA	"TiSGeD"
"Hs.291533"	"pancreas"	0.9433	NA	"TiSGeD"
"Hs.30246"	"pancreas"	0.9398	NA	"TiSGeD"
"Hs.32721"	"pancreas"	1	NA	"TiSGeD"
"Hs.372"	"pancreas"	0.9345	NA	"TiSGeD"
"Hs.389103"	"pancreas"	1	NA	"TiSGeD"
"Hs.407856"	"pancreas"	0.9998	NA	"TiSGeD"
"Hs.409934"	"pancreas"	0.9369	NA	"TiSGeD"
"Hs.415762"	"pancreas"	0.9845	NA	"TiSGeD"
"Hs.4158"	"pancreas"	1	NA	"TiSGeD"
