"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.81424"	"parathyroid gland"	8.81e-06	4.040812051	"dbEST"
"Hs.59719"	"parathyroid gland"	6.12e-06	4.409561258	"dbEST"
"Hs.523215"	"parathyroid gland"	1.32e-06	4.714477439	"dbEST"
"Hs.423968"	"parathyroid gland"	5.09e-07	5.740747208	"dbEST"
"Hs.515255"	"parathyroid gland"	4.17e-07	4.835728669	"dbEST"
"Hs.499725"	"parathyroid gland"	4.02e-07	5.168974724	"dbEST"
"Hs.728181"	"parathyroid gland"	3.14e-07	5.194989734	"dbEST"
"Hs.129634"	"parathyroid gland"	1.92e-07	4.318573338	"dbEST"
"Hs.78089"	"parathyroid gland"	1.71e-07	4.226759989	"dbEST"
"Hs.298990"	"parathyroid gland"	1.68e-07	4.140994347	"dbEST"
"Hs.4253"	"parathyroid gland"	1.59e-07	4.421784055	"dbEST"
"Hs.495656"	"parathyroid gland"	9.91e-08	5.406298798	"dbEST"
"Hs.643548"	"parathyroid gland"	8.18e-08	4.884210017	"dbEST"
"Hs.522699"	"parathyroid gland"	8.08e-08	4.296127308	"dbEST"
"Hs.632515"	"parathyroid gland"	7.95e-08	5.152926691	"dbEST"
"Hs.418175"	"parathyroid gland"	7.46e-08	5.425224306	"dbEST"
"Hs.288034"	"parathyroid gland"	6.74e-08	5.87312493	"dbEST"
"Hs.291196"	"parathyroid gland"	6.02e-08	4.456130643	"dbEST"
"Hs.388645"	"parathyroid gland"	3.96e-08	4.911259605	"dbEST"
"Hs.728784"	"parathyroid gland"	3.49e-08	4.064280315	"dbEST"
"Hs.368855"	"parathyroid gland"	2.5e-08	4.820041262	"dbEST"
"Hs.73722"	"parathyroid gland"	1.51e-08	4.61500201	"dbEST"
"Hs.108969"	"parathyroid gland"	1.37e-08	4.964853733	"dbEST"
"Hs.591454"	"parathyroid gland"	1.33e-08	5.205647226	"dbEST"
"Hs.438918"	"parathyroid gland"	1.1e-08	6.198927174	"dbEST"
"Hs.632089"	"parathyroid gland"	1.06e-08	6.444626824	"dbEST"
"Hs.433269"	"parathyroid gland"	9.3e-09	5.173553867	"dbEST"
"Hs.493362"	"parathyroid gland"	7.41e-09	5.553945927	"dbEST"
"Hs.339639"	"parathyroid gland"	6.68e-09	4.642942577	"dbEST"
"Hs.78601"	"parathyroid gland"	4.45e-09	4.123618868	"dbEST"
"Hs.481571"	"parathyroid gland"	4.35e-09	5.52233264	"dbEST"
"Hs.435759"	"parathyroid gland"	4.08e-09	5.368878676	"dbEST"
"Hs.531561"	"parathyroid gland"	3.52e-09	5.178756919	"dbEST"
"Hs.77254"	"parathyroid gland"	1.15e-09	5.292251716	"dbEST"
"Hs.431668"	"parathyroid gland"	1.11e-09	4.784037309	"dbEST"
"Hs.501890"	"parathyroid gland"	9.94e-10	6.171990801	"dbEST"
"Hs.708292"	"parathyroid gland"	5.68e-10	6.33194745	"dbEST"
"Hs.520070"	"parathyroid gland"	5.03e-10	5.602304081	"dbEST"
"Hs.7517"	"parathyroid gland"	4.06e-10	6.13864752	"dbEST"
"Hs.513463"	"parathyroid gland"	2.47e-10	6.071235359	"dbEST"
"Hs.108957"	"parathyroid gland"	1.78e-10	4.499572626	"dbEST"
"Hs.18946"	"parathyroid gland"	1.62e-10	6.211461543	"dbEST"
"Hs.600114"	"parathyroid gland"	1.62e-10	4.474117991	"dbEST"
"Hs.658612"	"parathyroid gland"	1.57e-10	4.716859005	"dbEST"
"Hs.647064"	"parathyroid gland"	1.14e-10	4.520606048	"dbEST"
"Hs.496587"	"parathyroid gland"	1.13e-10	4.967677924	"dbEST"
"Hs.591078"	"parathyroid gland"	7.17e-11	5.821643903	"dbEST"
"Hs.82071"	"parathyroid gland"	4.84e-11	6.156806276	"dbEST"
"Hs.534333"	"parathyroid gland"	4.43e-11	5.06111074	"dbEST"
"Hs.719189"	"parathyroid gland"	4.19e-11	5.885227549	"dbEST"
"Hs.109752"	"parathyroid gland"	3.52e-11	6.399661577	"dbEST"
"Hs.82933"	"parathyroid gland"	2.64e-11	6.356977777	"dbEST"
"Hs.116877"	"parathyroid gland"	2.37e-11	5.337323356	"dbEST"
"Hs.50098"	"parathyroid gland"	1.67e-11	4.13679213	"dbEST"
"Hs.521124"	"parathyroid gland"	1.52e-11	6.425561105	"dbEST"
"Hs.308074"	"parathyroid gland"	1.5e-11	5.479799272	"dbEST"
"Hs.496191"	"parathyroid gland"	1.03e-11	5.577006077	"dbEST"
"Hs.389996"	"parathyroid gland"	1.02e-11	4.571601147	"dbEST"
"Hs.369624"	"parathyroid gland"	9.46e-12	5.709663848	"dbEST"
"Hs.110695"	"parathyroid gland"	9.04e-12	5.549649353	"dbEST"
"Hs.26216"	"parathyroid gland"	7.83e-12	6.197331644	"dbEST"
"Hs.531064"	"parathyroid gland"	4.67e-12	5.296211163	"dbEST"
"Hs.472831"	"parathyroid gland"	3.69e-12	5.233021467	"dbEST"
"Hs.82793"	"parathyroid gland"	3.48e-12	5.637106655	"dbEST"
"Hs.640836"	"parathyroid gland"	3.45e-12	5.940959816	"dbEST"
"Hs.709466"	"parathyroid gland"	1.32e-12	4.857638464	"dbEST"
"Hs.443661"	"parathyroid gland"	9.38e-13	5.358879032	"dbEST"
