"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.134623"	"pharynx"	2.45e-06	4.702014404	"dbEST"
"Hs.470126"	"pharynx"	8.8e-07	4.584873437	"dbEST"
"Hs.432729"	"pharynx"	8.42e-07	4.777315352	"dbEST"
"Hs.519718"	"pharynx"	7.97e-07	4.033988805	"dbEST"
"Hs.435938"	"pharynx"	6.44e-07	4.174773532	"dbEST"
"Hs.155919"	"pharynx"	6.2e-07	5.113280327	"dbEST"
"Hs.77542"	"pharynx"	3.78e-07	4.464653681	"dbEST"
"Hs.654387"	"pharynx"	3.67e-07	4.589217242	"dbEST"
"Hs.567261"	"pharynx"	1.34e-07	4.531839034	"dbEST"
"Hs.465498"	"pharynx"	6.55e-08	4.808056773	"dbEST"
"Hs.391464"	"pharynx"	4.95e-08	4.498288059	"dbEST"
"Hs.643480"	"pharynx"	3.47e-08	4.458958732	"dbEST"
"Hs.286131"	"pharynx"	3e-08	5.085648216	"dbEST"
"Hs.654585"	"pharynx"	2.63e-08	4.374438907	"dbEST"
"Hs.418533"	"pharynx"	1.82e-08	4.128879618	"dbEST"
"Hs.524161"	"pharynx"	1.21e-08	4.238726085	"dbEST"
"Hs.706346"	"pharynx"	3.34e-09	4.637224576	"dbEST"
"Hs.361463"	"pharynx"	2.83e-09	4.123231281	"dbEST"
"Hs.710688"	"pharynx"	2.52e-09	5.048467722	"dbEST"
"Hs.699301"	"pharynx"	2.03e-09	4.597409629	"dbEST"
"Hs.374485"	"pharynx"	7.86e-10	5.469338563	"dbEST"
"Hs.463382"	"pharynx"	6.08e-10	4.070904211	"dbEST"
"Hs.127799"	"pharynx"	6.08e-10	4.323388355	"dbEST"
"Hs.655396"	"pharynx"	3.53e-10	4.813997609	"dbEST"
"Hs.17109"	"pharynx"	1.95e-10	4.668715359	"dbEST"
"Hs.283322"	"pharynx"	1.2e-10	5.482901435	"dbEST"
"Hs.472270"	"pharynx"	1.02e-10	4.6555346	"dbEST"
"Hs.443072"	"pharynx"	4e-11	5.152081975	"dbEST"
"Hs.647087"	"pharynx"	1.21e-11	4.265407208	"dbEST"
"Hs.151777"	"pharynx"	1.12e-11	4.188482904	"dbEST"
"Hs.514821"	"pharynx"	9.11e-12	5.308272104	"dbEST"
"Hs.624958"	"pharynx"	8.81e-12	4.898424225	"dbEST"
"Hs.425777"	"pharynx"	6.1e-12	4.041447549	"dbEST"
"Hs.278429"	"pharynx"	2.79e-12	5.460209171	"dbEST"
"Hs.586920"	"pharynx"	2.51e-12	4.708450387	"dbEST"
"Hs.440494"	"pharynx"	2.47e-12	4.61682584	"dbEST"
"Hs.654512"	"pharynx"	2.28e-12	4.723063833	"dbEST"
"Hs.61232"	"pharynx"	1.16e-12	4.838223998	"dbEST"
"Hs.520989"	"pharynx"	4.63e-13	5.392839966	"dbEST"
"Hs.432984"	"pharynx"	1.1e-13	5.430967906	"dbEST"
"Hs.54089"	"pharynx"	9.07e-14	6.637797523	"dbEST"
"Hs.436317"	"pharynx"	2.04e-14	5.059273874	"dbEST"
"Hs.233389"	"pharynx"	7.97e-15	5.833251725	"dbEST"
"Hs.568518"	"pharynx"	5.06e-15	5.47962336	"dbEST"
"Hs.153381"	"pharynx"	1.64e-15	5.119274142	"dbEST"
"Hs.567992"	"pharynx"	6.18e-16	6.109344355	"dbEST"
"Hs.632469"	"pharynx"	3.67e-16	5.433213263	"dbEST"
"Hs.710252"	"pharynx"	1.03e-16	6.601714984	"dbEST"
"Hs.100431"	"pharynx"	4.31e-17	6.492627306	"dbEST"
"Hs.663745"	"pharynx"	1.88e-17	7.017885393	"dbEST"
"Hs.75227"	"pharynx"	1.34e-17	4.470943822	"dbEST"
"Hs.165296"	"pharynx"	9.9e-18	6.85743958	"dbEST"
"Hs.726537"	"pharynx"	8.51e-18	6.187449363	"dbEST"
"Hs.555956"	"pharynx"	6.25e-18	4.986315594	"dbEST"
"Hs.23262"	"pharynx"	5.69e-18	6.732042203	"dbEST"
"Hs.517070"	"pharynx"	3.07e-18	4.716500851	"dbEST"
"Hs.556743"	"pharynx"	4.27e-19	5.727449858	"dbEST"
"Hs.232417"	"pharynx"	1.24e-19	6.751639959	"dbEST"
"Hs.784"	"pharynx"	1.24e-19	5.061048326	"dbEST"
"Hs.494932"	"pharynx"	1.59e-20	7.067511769	"dbEST"
"Hs.518060"	"pharynx"	8.95e-21	4.306856984	"dbEST"
"Hs.443057"	"pharynx"	8.24e-21	5.264463153	"dbEST"
"Hs.523500"	"pharynx"	5.28e-21	6.349656248	"dbEST"
"Hs.83636"	"pharynx"	1.96e-22	4.320542233	"dbEST"
"Hs.448697"	"pharynx"	3.93e-23	5.735235382	"dbEST"
"Hs.658054"	"pharynx"	2.81e-23	6.913713673	"dbEST"
"Hs.28491"	"pharynx"	2.35e-23	4.009866227	"dbEST"
"Hs.721649"	"pharynx"	1.03e-23	6.397564872	"dbEST"
"Hs.662065"	"pharynx"	9.5e-24	5.73867275	"dbEST"
"Hs.649847"	"pharynx"	7.16e-24	4.746979814	"dbEST"
"Hs.720182"	"pharynx"	3.2e-24	6.85637205	"dbEST"
"Hs.485241"	"pharynx"	9e-25	7.064185801	"dbEST"
"Hs.726526"	"pharynx"	6.07e-26	7.057861492	"dbEST"
"Hs.647074"	"pharynx"	3.11e-26	6.850179777	"dbEST"
"Hs.654790"	"pharynx"	7.63e-27	6.973157041	"dbEST"
"Hs.728758"	"pharynx"	7.12e-27	6.66429936	"dbEST"
"Hs.505327"	"pharynx"	3.4e-27	5.384851625	"dbEST"
"Hs.5298"	"pharynx"	2.56e-27	5.212745027	"dbEST"
"Hs.50002"	"pharynx"	2.35e-28	6.631187123	"dbEST"
"Hs.661752"	"pharynx"	1.61e-29	6.989428186	"dbEST"
"Hs.723273"	"pharynx"	1.41e-30	6.812837077	"dbEST"
"Hs.525894"	"pharynx"	5.02e-32	7.04584721	"dbEST"
"Hs.524894"	"pharynx"	3.96e-33	5.019308495	"dbEST"
