"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.516746"	"pituitary"	1.67e-07	4.482645353	"dbEST"
"Hs.516726"	"pituitary"	1.18e-08	5.831381481	"dbEST"
"Hs.564847"	"pituitary"	3.94e-09	4.988988871	"dbEST"
"Hs.522640"	"pituitary"	2.26e-09	4.245898753	"dbEST"
"Hs.523512"	"pituitary"	3.1e-12	6.336268891	"dbEST"
"Hs.654475"	"pituitary"	1.04e-12	4.232771286	"dbEST"
"Hs.519337"	"pituitary"	5.01e-13	6.221770021	"dbEST"
"Hs.388654"	"pituitary"	5.67e-14	5.558282036	"dbEST"
"Hs.709570"	"pituitary"	7.29e-16	5.654864405	"dbEST"
"Hs.22905"	"pituitary"	3.49e-20	6.929882457	"dbEST"
"Hs.157394"	"pituitary"	7.89e-21	6.925343895	"dbEST"
"Hs.22111"	"pituitary"	6.57e-21	6.222794233	"dbEST"
"Hs.70312"	"pituitary"	6.01e-21	6.29858039	"dbEST"
"Hs.326728"	"pituitary"	6.79e-22	7.047051894	"dbEST"
"Hs.504703"	"pituitary"	8.42e-23	6.804682867	"dbEST"
"Hs.694027"	"pituitary"	4.99e-24	7.065396375	"dbEST"
"Hs.75360"	"pituitary"	8.76e-27	4.727719426	"dbEST"
"Hs.702881"	"pituitary"	1.16e-38	7.028244097	"dbEST"
"Hs.104305"	"pituitary"	1.98e-41	6.994330105	"dbEST"
"Hs.516874"	"pituitary"	2.62e-44	5.381154548	"dbEST"
"Hs.278959"	"pituitary"	2.46e-56	7.063215558	"dbEST"
"Hs.154704"	"pituitary"	6.98e-80	7.072295724	"dbEST"
"Hs.125898"	"pituitary"	1.55e-105	4.757424539	"dbEST"
"Hs.119689"	"pituitary"	0	6.901145723	"dbEST"
"Hs.1897"	"pituitary"	0	7.072410161	"dbEST"
"Hs.1905"	"pituitary"	0	7.072409835	"dbEST"
"Hs.655229"	"pituitary"	0	7.071983004	"dbEST"
