"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.389669"	"placenta"	4.9e-07	4.142752345	"dbEST"
"Hs.95140"	"placenta"	4.85e-07	4.096926571	"dbEST"
"Hs.161031"	"placenta"	4.61e-07	4.010754391	"dbEST"
"Hs.572445"	"placenta"	1.67e-07	4.303411011	"dbEST"
"Hs.523652"	"placenta"	7.87e-08	5.033941822	"dbEST"
"Hs.363087"	"placenta"	5.05e-08	4.949732444	"dbEST"
"Hs.654969"	"placenta"	2.84e-08	4.630498515	"dbEST"
"Hs.407506"	"placenta"	1.3e-08	4.380159391	"dbEST"
"Hs.653413"	"placenta"	8.34e-09	5.272204303	"dbEST"
"Hs.99231"	"placenta"	8.34e-09	4.668392471	"dbEST"
"Hs.705742"	"placenta"	5.37e-09	5.658720494	"dbEST"
"Hs.656741"	"placenta"	4.57e-09	4.77513821	"dbEST"
"Hs.712835"	"placenta"	2.1e-09	4.208065069	"dbEST"
"Hs.654772"	"placenta"	8.39e-10	6.142625658	"dbEST"
"Hs.209527"	"placenta"	7.57e-10	4.291287714	"dbEST"
"Hs.355711"	"placenta"	5.23e-10	4.038802206	"dbEST"
"Hs.422120"	"placenta"	5.23e-10	6.173501353	"dbEST"
"Hs.574781"	"placenta"	4.09e-10	6.264521873	"dbEST"
"Hs.150298"	"placenta"	1.76e-10	6.968463885	"dbEST"
"Hs.486354"	"placenta"	1.76e-10	5.482976346	"dbEST"
"Hs.335787"	"placenta"	1.15e-10	5.452059993	"dbEST"
"Hs.147313"	"placenta"	1.09e-10	6.024612943	"dbEST"
"Hs.458426"	"placenta"	7.55e-11	5.051694357	"dbEST"
"Hs.682920"	"placenta"	2.86e-11	5.54316232	"dbEST"
"Hs.713040"	"placenta"	2.66e-11	5.026063016	"dbEST"
"Hs.656759"	"placenta"	2.33e-11	4.622577342	"dbEST"
"Hs.702525"	"placenta"	1.6e-11	5.585814745	"dbEST"
"Hs.444225"	"placenta"	1.31e-11	4.270656918	"dbEST"
"Hs.678981"	"placenta"	1.01e-11	6.896999937	"dbEST"
"Hs.655753"	"placenta"	9.13e-12	6.51926475	"dbEST"
"Hs.445241"	"placenta"	6.98e-12	4.073809847	"dbEST"
"Hs.657599"	"placenta"	2.56e-12	6.08783277	"dbEST"
"Hs.591559"	"placenta"	1.42e-12	4.128925645	"dbEST"
"Hs.633359"	"placenta"	7.42e-13	6.309097253	"dbEST"
"Hs.656795"	"placenta"	7.19e-13	7.026378686	"dbEST"
"Hs.24309"	"placenta"	4.37e-13	5.477850683	"dbEST"
"Hs.632247"	"placenta"	3.83e-13	4.797635609	"dbEST"
"Hs.559867"	"placenta"	1.24e-13	6.910444524	"dbEST"
"Hs.590955"	"placenta"	9.83e-14	6.40927606	"dbEST"
"Hs.702231"	"placenta"	9.83e-14	6.927733967	"dbEST"
"Hs.24510"	"placenta"	3e-14	5.507750656	"dbEST"
"Hs.676257"	"placenta"	1.82e-14	6.497006265	"dbEST"
"Hs.92520"	"placenta"	1.82e-14	6.175727371	"dbEST"
"Hs.656023"	"placenta"	1.68e-14	6.888681147	"dbEST"
"Hs.303454"	"placenta"	1.48e-14	4.214067557	"dbEST"
"Hs.44329"	"placenta"	1.17e-14	7.072427502	"dbEST"
"Hs.595272"	"placenta"	1.17e-14	7.072427502	"dbEST"
"Hs.715633"	"placenta"	1.17e-14	7.072427502	"dbEST"
"Hs.728754"	"placenta"	9.61e-15	5.310371235	"dbEST"
"Hs.707300"	"placenta"	8.94e-15	4.306278362	"dbEST"
"Hs.522654"	"placenta"	8.65e-15	6.299109969	"dbEST"
"Hs.641200"	"placenta"	7.8e-15	7.039278983	"dbEST"
"Hs.86761"	"placenta"	7.8e-15	7.039278983	"dbEST"
