"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.240845"	"prostate"	8.6e-07	4.23266707	"dbEST"
"Hs.183390"	"prostate"	6.01e-07	4.978170568	"dbEST"
"Hs.163909"	"prostate"	3.79e-07	4.528022866	"dbEST"
"Hs.307043"	"prostate"	2.01e-07	5.728202723	"dbEST"
"Hs.632119"	"prostate"	1.57e-07	4.502567274	"dbEST"
"Hs.585105"	"prostate"	9.09e-08	4.000619842	"dbEST"
"Hs.700380"	"prostate"	7.37e-08	5.148551283	"dbEST"
"Hs.143951"	"prostate"	2.6e-08	5.174971595	"dbEST"
"Hs.647342"	"prostate"	8.92e-09	5.924192804	"dbEST"
"Hs.707405"	"prostate"	6.29e-09	5.578254126	"dbEST"
"Hs.587427"	"prostate"	2.95e-09	4.762498206	"dbEST"
"Hs.708616"	"prostate"	1.14e-09	4.787238065	"dbEST"
"Hs.458334"	"prostate"	6.81e-10	5.265250765	"dbEST"
"Hs.146688"	"prostate"	5.5e-10	4.015021367	"dbEST"
"Hs.663842"	"prostate"	5.39e-10	4.500178912	"dbEST"
"Hs.1832"	"prostate"	4.94e-10	4.029494668	"dbEST"
"Hs.496240"	"prostate"	1.98e-10	6.473629001	"dbEST"
"Hs.369331"	"prostate"	1.52e-10	5.237532495	"dbEST"
"Hs.659093"	"prostate"	1.23e-10	5.6607775	"dbEST"
"Hs.201488"	"prostate"	8.38e-11	4.09992095	"dbEST"
"Hs.700679"	"prostate"	6.17e-11	4.974805575	"dbEST"
"Hs.655711"	"prostate"	2.06e-11	5.928883056	"dbEST"
"Hs.720924"	"prostate"	1.77e-11	6.732984086	"dbEST"
"Hs.11463"	"prostate"	1.29e-11	4.65651192	"dbEST"
"Hs.594956"	"prostate"	8.52e-13	4.276261233	"dbEST"
"Hs.170993"	"prostate"	4.07e-13	6.820506676	"dbEST"
"Hs.709908"	"prostate"	4.07e-13	5.984129722	"dbEST"
"Hs.670361"	"prostate"	3.25e-13	5.26943477	"dbEST"
"Hs.3797"	"prostate"	1.68e-13	5.222361645	"dbEST"
"Hs.520094"	"prostate"	1.62e-13	4.065107882	"dbEST"
"Hs.568313"	"prostate"	1.26e-13	6.313541424	"dbEST"
"Hs.606538"	"prostate"	1.26e-13	4.582396801	"dbEST"
"Hs.707781"	"prostate"	9.06e-14	6.716783756	"dbEST"
"Hs.728797"	"prostate"	8.1e-14	4.014858756	"dbEST"
"Hs.248437"	"prostate"	3.65e-14	4.743766268	"dbEST"
"Hs.600025"	"prostate"	2.54e-14	6.749651919	"dbEST"
"Hs.465475"	"prostate"	1.96e-14	5.03875323	"dbEST"
"Hs.574890"	"prostate"	1.51e-14	6.906091592	"dbEST"
"Hs.661327"	"prostate"	8.14e-15	7.045404987	"dbEST"
"Hs.708727"	"prostate"	7.74e-15	5.084280921	"dbEST"
"Hs.454640"	"prostate"	2.25e-15	4.817314379	"dbEST"
"Hs.729112"	"prostate"	4.94e-16	5.610447599	"dbEST"
"Hs.666739"	"prostate"	4.89e-16	7.033311083	"dbEST"
"Hs.436215"	"prostate"	2.41e-16	7.072427502	"dbEST"
"Hs.637760"	"prostate"	2.41e-16	7.072427502	"dbEST"
"Hs.702556"	"prostate"	5.77e-17	4.660394684	"dbEST"
"Hs.501758"	"prostate"	4.75e-17	6.86265898	"dbEST"
"Hs.688261"	"prostate"	4.75e-17	5.093451159	"dbEST"
"Hs.685436"	"prostate"	1.56e-17	7.056450128	"dbEST"
"Hs.638596"	"prostate"	1.13e-17	6.007726548	"dbEST"
"Hs.710014"	"prostate"	7.57e-18	5.568110236	"dbEST"
"Hs.576255"	"prostate"	2.29e-18	6.965839231	"dbEST"
"Hs.381079"	"prostate"	2.27e-18	5.48068907	"dbEST"
"Hs.711198"	"prostate"	5.15e-19	5.82272832	"dbEST"
"Hs.596521"	"prostate"	4.95e-19	5.209572177	"dbEST"
"Hs.135229"	"prostate"	1.76e-19	6.076816713	"dbEST"
"Hs.723664"	"prostate"	2.09e-20	6.594991723	"dbEST"
"Hs.473927"	"prostate"	7.95e-21	4.678728535	"dbEST"
"Hs.706575"	"prostate"	6.59e-21	4.0745415	"dbEST"
"Hs.515536"	"prostate"	1.69e-21	4.503924654	"dbEST"
"Hs.366053"	"prostate"	4.9e-22	6.879214286	"dbEST"
"Hs.661385"	"prostate"	1.36e-22	7.072427502	"dbEST"
"Hs.717152"	"prostate"	9.17e-23	7.036202008	"dbEST"
"Hs.654487"	"prostate"	2.1e-23	5.44893841	"dbEST"
"Hs.96459"	"prostate"	1.49e-23	7.046887342	"dbEST"
"Hs.713698"	"prostate"	3.03e-24	4.593700451	"dbEST"
"Hs.596084"	"prostate"	1.15e-24	7.016589972	"dbEST"
"Hs.552819"	"prostate"	3.19e-25	7.021265716	"dbEST"
"Hs.236557"	"prostate"	7.86e-26	6.850842618	"dbEST"
"Hs.719378"	"prostate"	7.88e-27	5.561497893	"dbEST"
"Hs.131740"	"prostate"	7.15e-27	4.89792623	"dbEST"
"Hs.668664"	"prostate"	1.95e-27	6.558174221	"dbEST"
"Hs.426104"	"prostate"	1.21e-28	4.273880773	"dbEST"
"Hs.717005"	"prostate"	7.7e-29	7.072427502	"dbEST"
"Hs.458422"	"prostate"	2.63e-29	5.927468271	"dbEST"
"Hs.567582"	"prostate"	1.12e-29	5.7476327	"dbEST"
"Hs.27222"	"prostate"	2.35e-30	4.033115654	"dbEST"
"Hs.268554"	"prostate"	1.04e-30	6.681311151	"dbEST"
"Hs.633271"	"prostate"	1.04e-30	7.029838922	"dbEST"
"Hs.728411"	"prostate"	5.53e-31	4.997771725	"dbEST"
"Hs.693260"	"prostate"	5.79e-32	7.072427502	"dbEST"
