"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.301853"	"salivary gland"	8.21e-06	4.096156087	"dbEST"
"Hs.81424"	"salivary gland"	7.51e-06	4.130965377	"dbEST"
"Hs.520794"	"salivary gland"	6.17e-06	4.670523895	"dbEST"
"Hs.389037"	"salivary gland"	4.21e-06	4.057708868	"dbEST"
"Hs.356096"	"salivary gland"	4e-06	4.562224777	"dbEST"
"Hs.653258"	"salivary gland"	2.89e-06	5.535877191	"dbEST"
"Hs.554791"	"salivary gland"	2.54e-06	4.480062778	"dbEST"
"Hs.356377"	"salivary gland"	2.42e-06	4.086610109	"dbEST"
"Hs.193163"	"salivary gland"	2.36e-06	4.841513916	"dbEST"
"Hs.356467"	"salivary gland"	2.33e-06	4.347031724	"dbEST"
"Hs.401798"	"salivary gland"	1.56e-06	5.391119447	"dbEST"
"Hs.220971"	"salivary gland"	1.28e-06	4.890744887	"dbEST"
"Hs.654634"	"salivary gland"	1.27e-06	5.496487144	"dbEST"
"Hs.571886"	"salivary gland"	9.48e-07	4.787110031	"dbEST"
"Hs.524271"	"salivary gland"	5.61e-07	4.825766666	"dbEST"
"Hs.487341"	"salivary gland"	4.71e-07	6.22868748	"dbEST"
"Hs.131452"	"salivary gland"	4.24e-07	5.415592624	"dbEST"
"Hs.268742"	"salivary gland"	4.07e-07	4.549867245	"dbEST"
"Hs.592599"	"salivary gland"	2.58e-07	4.265026447	"dbEST"
"Hs.79625"	"salivary gland"	1.75e-07	4.27960502	"dbEST"
"Hs.653202"	"salivary gland"	1.55e-07	5.428290088	"dbEST"
"Hs.515598"	"salivary gland"	1.33e-07	4.40503144	"dbEST"
"Hs.368866"	"salivary gland"	9.63e-08	4.540860107	"dbEST"
"Hs.211929"	"salivary gland"	9.33e-08	5.456177158	"dbEST"
"Hs.212395"	"salivary gland"	4.68e-08	5.302626829	"dbEST"
"Hs.654502"	"salivary gland"	3.59e-08	4.22524605	"dbEST"
"Hs.234896"	"salivary gland"	1.66e-08	6.096276051	"dbEST"
"Hs.136947"	"salivary gland"	1.47e-08	4.784198083	"dbEST"
"Hs.54649"	"salivary gland"	1.46e-08	6.248781455	"dbEST"
"Hs.24557"	"salivary gland"	1.42e-08	4.583072005	"dbEST"
"Hs.728893"	"salivary gland"	1.37e-08	4.737842949	"dbEST"
"Hs.725671"	"salivary gland"	1.27e-08	4.769372068	"dbEST"
"Hs.144496"	"salivary gland"	1.03e-08	5.326755388	"dbEST"
"Hs.485262"	"salivary gland"	5.11e-09	4.543370489	"dbEST"
"Hs.414565"	"salivary gland"	4.82e-09	4.127234825	"dbEST"
"Hs.724"	"salivary gland"	3.98e-09	4.814055417	"dbEST"
"Hs.469331"	"salivary gland"	3.13e-09	4.956000697	"dbEST"
"Hs.408708"	"salivary gland"	2.11e-09	6.086633345	"dbEST"
"Hs.645227"	"salivary gland"	2.09e-09	4.208058328	"dbEST"
"Hs.376933"	"salivary gland"	1.31e-09	5.415247366	"dbEST"
"Hs.602900"	"salivary gland"	1.19e-09	4.283109142	"dbEST"
"Hs.496098"	"salivary gland"	6.39e-10	5.142831959	"dbEST"
"Hs.486507"	"salivary gland"	6.25e-10	4.834827466	"dbEST"
"Hs.209151"	"salivary gland"	3.79e-10	5.294781039	"dbEST"
"Hs.199625"	"salivary gland"	2.33e-10	4.995281713	"dbEST"
"Hs.436803"	"salivary gland"	1.94e-10	5.144016601	"dbEST"
"Hs.515154"	"salivary gland"	1.76e-10	6.665540471	"dbEST"
"Hs.567941"	"salivary gland"	1.44e-10	4.496750523	"dbEST"
"Hs.100043"	"salivary gland"	6.95e-11	6.528642464	"dbEST"
"Hs.179986"	"salivary gland"	4.77e-11	4.444378249	"dbEST"
"Hs.677780"	"salivary gland"	3.92e-11	4.247339936	"dbEST"
"Hs.250758"	"salivary gland"	2.68e-11	4.453711435	"dbEST"
"Hs.352240"	"salivary gland"	2.13e-11	4.842645652	"dbEST"
"Hs.654447"	"salivary gland"	1.95e-11	4.071933256	"dbEST"
"Hs.458414"	"salivary gland"	1.24e-11	4.001967668	"dbEST"
"Hs.121870"	"salivary gland"	6.83e-12	6.69382005	"dbEST"
"Hs.355606"	"salivary gland"	2.42e-12	5.047681035	"dbEST"
"Hs.530024"	"salivary gland"	1.79e-12	5.273283799	"dbEST"
"Hs.529059"	"salivary gland"	1.76e-12	5.730717273	"dbEST"
"Hs.644603"	"salivary gland"	1.17e-12	4.594143906	"dbEST"
"Hs.632988"	"salivary gland"	7.8e-13	6.370391129	"dbEST"
"Hs.490795"	"salivary gland"	1.17e-13	5.948454644	"dbEST"
"Hs.525622"	"salivary gland"	1.12e-13	5.093994038	"dbEST"
"Hs.478150"	"salivary gland"	2.75e-14	4.371292319	"dbEST"
"Hs.426296"	"salivary gland"	9.2e-15	5.159061507	"dbEST"
"Hs.444724"	"salivary gland"	3.83e-15	6.977160549	"dbEST"
"Hs.405590"	"salivary gland"	8.09e-16	4.41071957	"dbEST"
"Hs.434973"	"salivary gland"	3.98e-16	6.283149366	"dbEST"
"Hs.433615"	"salivary gland"	1.15e-16	4.246469054	"dbEST"
"Hs.189652"	"salivary gland"	5.44e-17	5.401179054	"dbEST"
"Hs.20716"	"salivary gland"	2.76e-17	4.801641407	"dbEST"
"Hs.515534"	"salivary gland"	4.63e-18	6.633664921	"dbEST"
