"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.464419"	"skin"	5.07e-06	4.084337266	"dbEST"
"Hs.170388"	"skin"	2.01e-06	5.640402603	"dbEST"
"Hs.115263"	"skin"	1.57e-06	4.881131188	"dbEST"
"Hs.709245"	"skin"	5.73e-07	4.503602595	"dbEST"
"Hs.199671"	"skin"	7.85e-08	4.199506451	"dbEST"
"Hs.248017"	"skin"	5.57e-08	5.322312846	"dbEST"
"Hs.710240"	"skin"	4.63e-09	4.614482988	"dbEST"
"Hs.435215"	"skin"	3.1e-10	4.124766495	"dbEST"
"Hs.132648"	"skin"	3.08e-10	4.374613288	"dbEST"
"Hs.726934"	"skin"	3.08e-10	5.354601333	"dbEST"
"Hs.28659"	"skin"	2.28e-10	5.032937017	"dbEST"
"Hs.180142"	"skin"	1.73e-10	4.478567714	"dbEST"
"Hs.591587"	"skin"	1.73e-10	5.665522398	"dbEST"
"Hs.659023"	"skin"	7.44e-11	4.23074739	"dbEST"
"Hs.632378"	"skin"	6.98e-11	5.388011867	"dbEST"
"Hs.18048"	"skin"	5.8e-11	4.374980271	"dbEST"
"Hs.434604"	"skin"	3.57e-11	5.183034032	"dbEST"
"Hs.381105"	"skin"	2.76e-11	4.298792683	"dbEST"
"Hs.241586"	"skin"	1.28e-11	5.689648778	"dbEST"
"Hs.567260"	"skin"	1.11e-11	4.467205346	"dbEST"
"Hs.132194"	"skin"	1.41e-12	5.718102804	"dbEST"
"Hs.143792"	"skin"	1.07e-12	4.290041051	"dbEST"
"Hs.336958"	"skin"	9.21e-13	4.776665639	"dbEST"
"Hs.709690"	"skin"	7.2e-13	4.172667202	"dbEST"
"Hs.442619"	"skin"	3.23e-13	4.149554499	"dbEST"
"Hs.633523"	"skin"	3.2e-13	6.906049263	"dbEST"
"Hs.74124"	"skin"	1.66e-13	4.654673217	"dbEST"
"Hs.169246"	"skin"	1.16e-13	5.620254165	"dbEST"
"Hs.713370"	"skin"	1.16e-13	5.951323592	"dbEST"
"Hs.280658"	"skin"	3.75e-14	6.94038074	"dbEST"
"Hs.375031"	"skin"	3.75e-14	5.935658066	"dbEST"
"Hs.467061"	"skin"	5.92e-15	6.378867275	"dbEST"
"Hs.513833"	"skin"	2.25e-15	7.04765668	"dbEST"
"Hs.42192"	"skin"	1.96e-15	5.954288995	"dbEST"
"Hs.513044"	"skin"	1.46e-15	4.012376076	"dbEST"
"Hs.404102"	"skin"	1.07e-15	4.764361819	"dbEST"
"Hs.668491"	"skin"	8.59e-16	6.825361848	"dbEST"
"Hs.2820"	"skin"	2.06e-16	4.661784999	"dbEST"
"Hs.727683"	"skin"	1.94e-16	7.072427502	"dbEST"
"Hs.289105"	"skin"	1.23e-16	6.866405264	"dbEST"
"Hs.729991"	"skin"	2.64e-17	7.036936455	"dbEST"
"Hs.518391"	"skin"	7.23e-18	7.072427502	"dbEST"
"Hs.383019"	"skin"	1.2e-18	4.461132992	"dbEST"
"Hs.620417"	"skin"	2.7e-19	7.072427502	"dbEST"
"Hs.516253"	"skin"	1.88e-19	4.749904751	"dbEST"
"Hs.316564"	"skin"	1.58e-19	6.189796181	"dbEST"
"Hs.484678"	"skin"	7.23e-20	4.506293679	"dbEST"
"Hs.721378"	"skin"	6.85e-20	5.027232354	"dbEST"
"Hs.208219"	"skin"	6.71e-20	5.653390555	"dbEST"
"Hs.352609"	"skin"	1.01e-20	7.072427502	"dbEST"
"Hs.531598"	"skin"	1.01e-20	7.072427502	"dbEST"
"Hs.332012"	"skin"	4.43e-21	4.497951034	"dbEST"
"Hs.334989"	"skin"	3.26e-21	5.254587338	"dbEST"
"Hs.295012"	"skin"	3.75e-22	7.072427502	"dbEST"
"Hs.251680"	"skin"	2.29e-22	7.041635103	"dbEST"
"Hs.571430"	"skin"	8.29e-23	7.062791283	"dbEST"
"Hs.2633"	"skin"	1.9e-23	4.716284386	"dbEST"
"Hs.135507"	"skin"	1.2e-23	4.524830288	"dbEST"
"Hs.720186"	"skin"	3.24e-24	6.213135484	"dbEST"
"Hs.569345"	"skin"	9.26e-25	5.891870597	"dbEST"
"Hs.727831"	"skin"	4.14e-26	4.009863598	"dbEST"
"Hs.302130"	"skin"	2.53e-27	7.011118399	"dbEST"
"Hs.42146"	"skin"	4.95e-29	4.087989843	"dbEST"
"Hs.441113"	"skin"	2.48e-30	4.830539906	"dbEST"
"Hs.631914"	"skin"	8.33e-31	7.065845604	"dbEST"
"Hs.44714"	"skin"	3.63e-31	6.417548347	"dbEST"
"Hs.87271"	"skin"	1.03e-32	6.94309652	"dbEST"
"Hs.310958"	"skin"	5.1e-38	4.116113567	"dbEST"
"Hs.529244"	"skin"	2.28e-38	4.691384482	"dbEST"
"Hs.123536"	"skin"	5.51e-42	5.172637453	"dbEST"
