"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.374191"	"small intestine"	9.54e-08	5.186340372	"dbEST"
"Hs.720677"	"small intestine"	3.79e-08	5.218829952	"dbEST"
"Hs.68879"	"small intestine"	1.75e-08	4.959170567	"dbEST"
"Hs.368433"	"small intestine"	3.93e-09	4.542544812	"dbEST"
"Hs.178098"	"small intestine"	4.86e-10	4.406765282	"dbEST"
"Hs.515169"	"small intestine"	2.53e-10	4.167092636	"dbEST"
"Hs.503043"	"small intestine"	6.63e-11	4.63607619	"dbEST"
"Hs.444673"	"small intestine"	4.2e-11	4.420744998	"dbEST"
"Hs.728831"	"small intestine"	1.06e-11	4.261001833	"dbEST"
"Hs.102307"	"small intestine"	5.03e-12	4.929343492	"dbEST"
"Hs.654709"	"small intestine"	1.48e-12	6.307052057	"dbEST"
"Hs.288998"	"small intestine"	3.26e-13	4.262539018	"dbEST"
"Hs.272789"	"small intestine"	1.47e-14	6.716743021	"dbEST"
"Hs.517265"	"small intestine"	7.36e-15	4.071591991	"dbEST"
"Hs.162795"	"small intestine"	2.63e-15	5.086642807	"dbEST"
"Hs.243272"	"small intestine"	2.29e-16	6.839331625	"dbEST"
"Hs.207106"	"small intestine"	1.49e-16	5.659081313	"dbEST"
"Hs.122785"	"small intestine"	1.32e-17	6.713412744	"dbEST"
"Hs.510327"	"small intestine"	2.58e-18	5.87292307	"dbEST"
"Hs.591853"	"small intestine"	1.2e-21	4.658460026	"dbEST"
"Hs.6278"	"small intestine"	2.16e-22	4.736064508	"dbEST"
"Hs.40499"	"small intestine"	1.78e-23	6.492822347	"dbEST"
"Hs.474737"	"small intestine"	1.07e-30	4.921851901	"dbEST"
"Hs.37107"	"small intestine"	1.15e-34	7.026211016	"dbEST"
"Hs.700340"	"small intestine"	2.08e-39	4.030648615	"dbEST"
"Hs.704754"	"small intestine"	1.8e-45	4.957275602	"dbEST"
"Hs.720809"	"small intestine"	1.72e-46	4.905532094	"dbEST"
"Hs.170563"	"small intestine"	1.09e-49	5.481277676	"dbEST"
"Hs.179704"	"small intestine"	1.37e-55	6.014276812	"dbEST"
"Hs.458355"	"small intestine"	5.67e-58	4.761025561	"dbEST"
"Hs.719895"	"small intestine"	1.41e-69	4.394669381	"dbEST"
"Hs.542050"	"small intestine"	1.85e-71	6.022594011	"dbEST"
"Hs.194659"	"small intestine"	5.5e-86	6.68127003	"dbEST"
"Hs.567312"	"small intestine"	6.75e-98	4.898738582	"dbEST"
"Hs.711"	"small intestine"	9.3e-100	7.072336167	"dbEST"
"Hs.715953"	"small intestine"	1.67e-101	6.806402288	"dbEST"
"Hs.508113"	"small intestine"	3.71e-112	4.287701035	"dbEST"
"Hs.700112"	"small intestine"	2.99e-159	4.789460566	"dbEST"
"Hs.76392"	"small intestine"	5.06e-164	5.804528541	"dbEST"
"Hs.655233"	"small intestine"	1.52e-166	7.068211589	"dbEST"
"Hs.643431"	"small intestine"	4.01e-296	5.808989615	"dbEST"
"Hs.521459"	"small intestine"	0	6.996707525	"dbEST"
