"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.640663"	"spleen"	9.16e-06	4.537666788	"dbEST"
"Hs.27524"	"spleen"	8.17e-06	4.430183193	"dbEST"
"Hs.588202"	"spleen"	5.22e-06	4.264436077	"dbEST"
"Hs.656258"	"spleen"	4.06e-06	4.639743499	"dbEST"
"Hs.99913"	"spleen"	3.78e-06	4.279877162	"dbEST"
"Hs.478158"	"spleen"	3.26e-06	4.347968236	"dbEST"
"Hs.726280"	"spleen"	2.54e-06	4.981156754	"dbEST"
"Hs.709517"	"spleen"	1.16e-06	4.300305241	"dbEST"
"Hs.593133"	"spleen"	1.04e-06	4.715455944	"dbEST"
"Hs.657105"	"spleen"	8.76e-07	4.2269471	"dbEST"
"Hs.517541"	"spleen"	7.13e-07	4.513830826	"dbEST"
"Hs.22137"	"spleen"	6.6e-07	4.554082662	"dbEST"
"Hs.133261"	"spleen"	6.57e-07	4.130803376	"dbEST"
"Hs.654533"	"spleen"	6.57e-07	5.611885834	"dbEST"
"Hs.715965"	"spleen"	6.57e-07	4.535365189	"dbEST"
"Hs.713336"	"spleen"	5.3e-07	4.306816891	"dbEST"
"Hs.571994"	"spleen"	4.88e-07	4.4393089	"dbEST"
"Hs.728952"	"spleen"	4.81e-07	4.371608293	"dbEST"
"Hs.656019"	"spleen"	3.58e-07	5.640744887	"dbEST"
"Hs.702054"	"spleen"	3.58e-07	4.076905721	"dbEST"
"Hs.707212"	"spleen"	3.58e-07	4.652411833	"dbEST"
"Hs.13742"	"spleen"	2.67e-07	4.301374254	"dbEST"
"Hs.696575"	"spleen"	2.05e-07	5.055145805	"dbEST"
"Hs.725338"	"spleen"	1.87e-07	4.188132402	"dbEST"
"Hs.334907"	"spleen"	1.47e-07	4.309762679	"dbEST"
"Hs.458124"	"spleen"	1.32e-07	5.849801477	"dbEST"
"Hs.592734"	"spleen"	1.32e-07	4.862363134	"dbEST"
"Hs.699971"	"spleen"	1.32e-07	4.379422585	"dbEST"
"Hs.708478"	"spleen"	1.32e-07	4.707096066	"dbEST"
"Hs.387011"	"spleen"	1.29e-07	4.935284492	"dbEST"
"Hs.14070"	"spleen"	1.24e-07	4.344123859	"dbEST"
"Hs.142307"	"spleen"	9.27e-08	5.35917868	"dbEST"
"Hs.378885"	"spleen"	9.27e-08	4.490958677	"dbEST"
"Hs.495569"	"spleen"	6.39e-08	4.309170183	"dbEST"
"Hs.596408"	"spleen"	6.39e-08	4.298104158	"dbEST"
"Hs.658240"	"spleen"	6.39e-08	4.104517691	"dbEST"
"Hs.709853"	"spleen"	6.39e-08	4.579211346	"dbEST"
"Hs.729118"	"spleen"	6.39e-08	4.47480737	"dbEST"
"Hs.706243"	"spleen"	5.83e-08	4.724858261	"dbEST"
"Hs.279906"	"spleen"	5.61e-08	4.110340369	"dbEST"
"Hs.656230"	"spleen"	4.67e-08	4.045750847	"dbEST"
"Hs.443736"	"spleen"	4.34e-08	5.710311005	"dbEST"
"Hs.672979"	"spleen"	4.34e-08	4.516116784	"dbEST"
"Hs.729019"	"spleen"	4.34e-08	5.258705513	"dbEST"
"Hs.280881"	"spleen"	3.98e-08	4.479431645	"dbEST"
"Hs.110069"	"spleen"	3.33e-08	4.693401854	"dbEST"
"Hs.385530"	"spleen"	3.33e-08	4.428186666	"dbEST"
"Hs.710828"	"spleen"	2.9e-08	4.807435353	"dbEST"
"Hs.465511"	"spleen"	2.78e-08	4.534378309	"dbEST"
"Hs.596083"	"spleen"	2.49e-08	4.216542734	"dbEST"
"Hs.596334"	"spleen"	1.9e-08	5.535082221	"dbEST"
"Hs.655581"	"spleen"	1.9e-08	4.41952696	"dbEST"
"Hs.726352"	"spleen"	1.9e-08	5.207467436	"dbEST"
"Hs.80624"	"spleen"	1.9e-08	4.41782388	"dbEST"
"Hs.655656"	"spleen"	1.85e-08	4.888311333	"dbEST"
"Hs.647426"	"spleen"	1.47e-08	4.128450859	"dbEST"
"Hs.593740"	"spleen"	1.39e-08	4.118739783	"dbEST"
"Hs.708126"	"spleen"	1.36e-08	5.029519351	"dbEST"
"Hs.18849"	"spleen"	1.22e-08	5.294134426	"dbEST"
"Hs.409726"	"spleen"	1.22e-08	4.947509697	"dbEST"
"Hs.592185"	"spleen"	1.22e-08	5.376137579	"dbEST"
"Hs.594059"	"spleen"	1.22e-08	5.443734282	"dbEST"
"Hs.639508"	"spleen"	1.22e-08	5.115212562	"dbEST"
"Hs.666935"	"spleen"	1.22e-08	4.251791113	"dbEST"
"Hs.207603"	"spleen"	8.38e-09	5.820926866	"dbEST"
"Hs.644796"	"spleen"	7.7e-09	5.254953697	"dbEST"
"Hs.710965"	"spleen"	7.7e-09	5.42629687	"dbEST"
"Hs.658468"	"spleen"	7.7e-09	4.827464163	"dbEST"
"Hs.658480"	"spleen"	7.7e-09	4.543017048	"dbEST"
"Hs.405607"	"spleen"	7.14e-09	4.908448151	"dbEST"
"Hs.702981"	"spleen"	7.14e-09	5.271962529	"dbEST"
"Hs.439650"	"spleen"	5.56e-09	4.625385855	"dbEST"
"Hs.142737"	"spleen"	4.74e-09	5.185632009	"dbEST"
"Hs.17910"	"spleen"	4.74e-09	5.728170553	"dbEST"
"Hs.69049"	"spleen"	4.74e-09	5.11811702	"dbEST"
"Hs.714938"	"spleen"	4.74e-09	4.060217271	"dbEST"
"Hs.664843"	"spleen"	4.12e-09	4.614930622	"dbEST"
"Hs.702109"	"spleen"	3.83e-09	5.452007626	"dbEST"
"Hs.400256"	"spleen"	3.61e-09	5.189135879	"dbEST"
"Hs.513977"	"spleen"	2.99e-09	4.246603506	"dbEST"
"Hs.89583"	"spleen"	2.73e-09	6.084084914	"dbEST"
"Hs.446292"	"spleen"	2.53e-09	4.471960646	"dbEST"
"Hs.465560"	"spleen"	2.39e-09	5.111836657	"dbEST"
"Hs.656628"	"spleen"	2.39e-09	4.796727852	"dbEST"
"Hs.37636"	"spleen"	2.27e-09	4.542582006	"dbEST"
"Hs.659040"	"spleen"	1.75e-09	5.02465799	"dbEST"
"Hs.19603"	"spleen"	1.66e-09	6.236585313	"dbEST"
"Hs.460777"	"spleen"	1.66e-09	5.584446635	"dbEST"
"Hs.586184"	"spleen"	1.66e-09	5.808213736	"dbEST"
"Hs.656128"	"spleen"	1.66e-09	4.87607018	"dbEST"
"Hs.656257"	"spleen"	1.66e-09	4.894191701	"dbEST"
"Hs.658625"	"spleen"	1.66e-09	6.170027957	"dbEST"
"Hs.720489"	"spleen"	1.66e-09	5.668415182	"dbEST"
"Hs.668596"	"spleen"	1.29e-09	4.063126756	"dbEST"
"Hs.508623"	"spleen"	1.2e-09	4.084722746	"dbEST"
"Hs.546304"	"spleen"	1.2e-09	5.414152975	"dbEST"
"Hs.596282"	"spleen"	1.2e-09	4.841090838	"dbEST"
"Hs.594098"	"spleen"	1.15e-09	4.944223933	"dbEST"
"Hs.656283"	"spleen"	9.36e-10	5.537218178	"dbEST"
"Hs.658531"	"spleen"	9.36e-10	5.305099466	"dbEST"
"Hs.660237"	"spleen"	9.36e-10	6.140698225	"dbEST"
"Hs.715716"	"spleen"	9.36e-10	6.126044494	"dbEST"
"Hs.444593"	"spleen"	8.09e-10	5.244284572	"dbEST"
"Hs.656347"	"spleen"	7.4e-10	4.288135252	"dbEST"
"Hs.105448"	"spleen"	7.12e-10	4.112780326	"dbEST"
"Hs.128770"	"spleen"	7.12e-10	4.452934152	"dbEST"
"Hs.661765"	"spleen"	5.4e-10	6.195323572	"dbEST"
"Hs.517991"	"spleen"	5.39e-10	4.120924636	"dbEST"
"Hs.658396"	"spleen"	5.39e-10	4.147846047	"dbEST"
"Hs.631263"	"spleen"	5.11e-10	5.133744991	"dbEST"
"Hs.633436"	"spleen"	5.11e-10	6.298074076	"dbEST"
"Hs.656317"	"spleen"	5.11e-10	6.065055439	"dbEST"
"Hs.658264"	"spleen"	5.11e-10	4.806293854	"dbEST"
"Hs.658291"	"spleen"	5.11e-10	6.232300325	"dbEST"
"Hs.668089"	"spleen"	5.11e-10	4.84379502	"dbEST"
"Hs.682654"	"spleen"	5.11e-10	6.413170127	"dbEST"
"Hs.687300"	"spleen"	5.11e-10	6.111247693	"dbEST"
"Hs.687379"	"spleen"	5.11e-10	4.241291558	"dbEST"
"Hs.696561"	"spleen"	5.11e-10	4.336127863	"dbEST"
"Hs.655785"	"spleen"	3.77e-10	4.862999802	"dbEST"
"Hs.687438"	"spleen"	3.54e-10	4.641105541	"dbEST"
"Hs.697258"	"spleen"	3.54e-10	5.46600739	"dbEST"
"Hs.369297"	"spleen"	3.43e-10	4.535293969	"dbEST"
"Hs.596153"	"spleen"	3.03e-10	6.36115195	"dbEST"
"Hs.633041"	"spleen"	3.03e-10	5.380393787	"dbEST"
"Hs.677398"	"spleen"	3.03e-10	6.628408699	"dbEST"
"Hs.655899"	"spleen"	2.68e-10	5.404447488	"dbEST"
"Hs.656268"	"spleen"	2.68e-10	5.320022277	"dbEST"
"Hs.656329"	"spleen"	2.68e-10	4.886072222	"dbEST"
"Hs.656333"	"spleen"	2.68e-10	5.113142545	"dbEST"
"Hs.664613"	"spleen"	2.68e-10	5.290121948	"dbEST"
