"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.436338"	"stomach"	4.08e-06	4.446862634	"dbEST"
"Hs.712578"	"stomach"	4.08e-06	4.401620888	"dbEST"
"Hs.461775"	"stomach"	3.16e-06	4.30175136	"dbEST"
"Hs.585017"	"stomach"	2.93e-06	4.374477133	"dbEST"
"Hs.525209"	"stomach"	2.47e-06	4.182528323	"dbEST"
"Hs.36137"	"stomach"	1.73e-06	4.161386319	"dbEST"
"Hs.697228"	"stomach"	1.19e-06	5.068082954	"dbEST"
"Hs.496755"	"stomach"	3.11e-07	4.414045919	"dbEST"
"Hs.150208"	"stomach"	2.77e-07	4.871211629	"dbEST"
"Hs.517819"	"stomach"	2.77e-07	5.712095274	"dbEST"
"Hs.648032"	"stomach"	1.05e-07	4.251819952	"dbEST"
"Hs.658249"	"stomach"	8.04e-08	5.63643139	"dbEST"
"Hs.709296"	"stomach"	6.41e-08	5.76250817	"dbEST"
"Hs.415791"	"stomach"	4.93e-08	4.337947462	"dbEST"
"Hs.528368"	"stomach"	4.64e-08	5.132627011	"dbEST"
"Hs.302513"	"stomach"	3.47e-08	4.724718985	"dbEST"
"Hs.462348"	"stomach"	3.07e-08	4.515510167	"dbEST"
"Hs.657929"	"stomach"	2.57e-08	6.04078011	"dbEST"
"Hs.1321"	"stomach"	2.36e-08	4.050574208	"dbEST"
"Hs.721461"	"stomach"	1.41e-08	4.572087962	"dbEST"
"Hs.591566"	"stomach"	8.22e-09	4.023425704	"dbEST"
"Hs.55235"	"stomach"	6.66e-09	4.604297224	"dbEST"
"Hs.532357"	"stomach"	5.06e-09	4.50320345	"dbEST"
"Hs.640855"	"stomach"	4.77e-09	5.720320869	"dbEST"
"Hs.597810"	"stomach"	4.67e-09	5.554228272	"dbEST"
"Hs.310893"	"stomach"	3.45e-09	4.643070923	"dbEST"
"Hs.150092"	"stomach"	3.26e-09	5.695623137	"dbEST"
"Hs.593708"	"stomach"	2.99e-09	4.029456423	"dbEST"
"Hs.225941"	"stomach"	2.19e-09	4.409163438	"dbEST"
"Hs.567508"	"stomach"	2.14e-09	4.555705269	"dbEST"
"Hs.1407"	"stomach"	1.45e-09	5.885081259	"dbEST"
"Hs.573929"	"stomach"	1.45e-09	5.644160308	"dbEST"
"Hs.87236"	"stomach"	5.9e-10	4.883050034	"dbEST"
"Hs.140944"	"stomach"	4.37e-10	4.758496644	"dbEST"
"Hs.22047"	"stomach"	3.8e-10	4.866688642	"dbEST"
"Hs.371005"	"stomach"	3.63e-10	5.569936285	"dbEST"
"Hs.670673"	"stomach"	3.63e-10	5.966006793	"dbEST"
"Hs.446702"	"stomach"	3.03e-10	4.927807324	"dbEST"
"Hs.658244"	"stomach"	1.97e-10	6.217545169	"dbEST"
"Hs.202656"	"stomach"	1.17e-10	4.048178015	"dbEST"
"Hs.706135"	"stomach"	7.53e-11	4.622122856	"dbEST"
"Hs.464903"	"stomach"	4.65e-11	4.610216622	"dbEST"
"Hs.283369"	"stomach"	3.79e-11	6.270020782	"dbEST"
"Hs.591275"	"stomach"	3.79e-11	6.155127605	"dbEST"
"Hs.680411"	"stomach"	3.79e-11	6.145211196	"dbEST"
"Hs.46627"	"stomach"	2.9e-11	4.12466408	"dbEST"
"Hs.465405"	"stomach"	2.38e-11	4.92290063	"dbEST"
"Hs.436360"	"stomach"	1.34e-11	4.206613841	"dbEST"
"Hs.462418"	"stomach"	1.34e-11	4.230316595	"dbEST"
"Hs.166244"	"stomach"	1.17e-11	5.068079277	"dbEST"
"Hs.37014"	"stomach"	9.91e-12	6.028005918	"dbEST"
"Hs.126265"	"stomach"	9.68e-12	4.85516129	"dbEST"
"Hs.375139"	"stomach"	9.43e-12	6.308925945	"dbEST"
"Hs.130535"	"stomach"	4.67e-12	6.066223831	"dbEST"
"Hs.432442"	"stomach"	3.86e-12	4.055395194	"dbEST"
"Hs.516090"	"stomach"	3.86e-12	5.087336637	"dbEST"
"Hs.288042"	"stomach"	3.12e-12	5.972731162	"dbEST"
"Hs.154296"	"stomach"	2.77e-12	5.369645045	"dbEST"
"Hs.513706"	"stomach"	2.32e-12	4.566992622	"dbEST"
"Hs.12271"	"stomach"	1.6e-12	4.030410287	"dbEST"
"Hs.412710"	"stomach"	4.61e-13	4.177274023	"dbEST"
"Hs.27267"	"stomach"	2.78e-13	4.040781582	"dbEST"
"Hs.647045"	"stomach"	2.52e-13	4.064538349	"dbEST"
"Hs.661762"	"stomach"	2.51e-13	5.957961825	"dbEST"
"Hs.662342"	"stomach"	2.51e-13	6.254239563	"dbEST"
"Hs.17558"	"stomach"	1.62e-13	4.234260739	"dbEST"
"Hs.9347"	"stomach"	1.13e-13	4.358371389	"dbEST"
"Hs.610084"	"stomach"	8.3e-14	5.173472125	"dbEST"
"Hs.676115"	"stomach"	6.05e-14	4.733629234	"dbEST"
"Hs.455887"	"stomach"	5.75e-14	4.743225007	"dbEST"
"Hs.556045"	"stomach"	5.75e-14	5.440317363	"dbEST"
"Hs.633989"	"stomach"	4.72e-14	6.469839007	"dbEST"
"Hs.722282"	"stomach"	2.07e-14	6.776954381	"dbEST"
"Hs.425311"	"stomach"	1.98e-14	4.359640782	"dbEST"
"Hs.436219"	"stomach"	1.26e-14	4.226836863	"dbEST"
"Hs.637311"	"stomach"	9.01e-15	6.608148991	"dbEST"
"Hs.660751"	"stomach"	9.01e-15	6.514991169	"dbEST"
"Hs.663056"	"stomach"	6.34e-15	5.862018211	"dbEST"
"Hs.708907"	"stomach"	1.48e-15	6.362113394	"dbEST"
"Hs.676244"	"stomach"	9.26e-16	6.776000361	"dbEST"
"Hs.586710"	"stomach"	3.32e-16	7.016259476	"dbEST"
"Hs.670727"	"stomach"	3.32e-16	6.924006084	"dbEST"
"Hs.655334"	"stomach"	1.61e-16	4.220080372	"dbEST"
"Hs.655194"	"stomach"	1.44e-16	5.308348579	"dbEST"
"Hs.454828"	"stomach"	1.14e-16	6.306243625	"dbEST"
"Hs.523848"	"stomach"	1.04e-16	4.784141392	"dbEST"
"Hs.413047"	"stomach"	1.57e-17	4.168650472	"dbEST"
"Hs.709195"	"stomach"	1.12e-17	4.320768918	"dbEST"
"Hs.729176"	"stomach"	6.09e-18	5.592990383	"dbEST"
