"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.207465"	"testis"	5.4e-06	4.368540666	"dbEST"
"Hs.195922"	"testis"	4.93e-06	4.334135637	"dbEST"
"Hs.400688"	"testis"	3.78e-06	4.619020424	"dbEST"
"Hs.254414"	"testis"	1.59e-06	5.301623616	"dbEST"
"Hs.706741"	"testis"	1.59e-06	4.973791939	"dbEST"
"Hs.608750"	"testis"	1.51e-06	5.036240526	"dbEST"
"Hs.374027"	"testis"	9.12e-07	6.066909195	"dbEST"
"Hs.459153"	"testis"	6.26e-07	4.282290665	"dbEST"
"Hs.424165"	"testis"	6.15e-07	5.460739596	"dbEST"
"Hs.348645"	"testis"	5.31e-07	5.04479711	"dbEST"
"Hs.572495"	"testis"	5.31e-07	4.737312504	"dbEST"
"Hs.632073"	"testis"	5.31e-07	4.852114706	"dbEST"
"Hs.729510"	"testis"	5.31e-07	4.641458613	"dbEST"
"Hs.350800"	"testis"	3.86e-07	5.735755008	"dbEST"
"Hs.656936"	"testis"	3.86e-07	4.587661343	"dbEST"
"Hs.431753"	"testis"	2.97e-07	5.065485269	"dbEST"
"Hs.660957"	"testis"	2.97e-07	5.252360676	"dbEST"
"Hs.662302"	"testis"	2.97e-07	6.537597011	"dbEST"
"Hs.120365"	"testis"	2.58e-07	4.84668812	"dbEST"
"Hs.477"	"testis"	2.58e-07	5.118756853	"dbEST"
"Hs.729498"	"testis"	2.58e-07	5.046882454	"dbEST"
"Hs.570316"	"testis"	9.89e-08	6.256876238	"dbEST"
"Hs.729596"	"testis"	9.89e-08	4.398038456	"dbEST"
"Hs.710423"	"testis"	8.04e-08	5.937670828	"dbEST"
"Hs.375791"	"testis"	5.87e-08	5.801466555	"dbEST"
"Hs.104744"	"testis"	5.34e-08	4.317730639	"dbEST"
"Hs.658630"	"testis"	4.34e-08	4.388185771	"dbEST"
"Hs.666807"	"testis"	4.34e-08	4.213299612	"dbEST"
