"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.120094"	"thymus"	4.52e-06	4.035924156	"dbEST"
"Hs.498570"	"thymus"	3.48e-07	5.600732494	"dbEST"
"Hs.250493"	"thymus"	1.47e-07	4.500000643	"dbEST"
"Hs.150136"	"thymus"	5.66e-08	4.156249644	"dbEST"
"Hs.436977"	"thymus"	4.6e-08	4.395798037	"dbEST"
"Hs.437563"	"thymus"	4.23e-08	5.689250388	"dbEST"
"Hs.577404"	"thymus"	1.93e-08	4.496700661	"dbEST"
"Hs.590868"	"thymus"	8.83e-09	4.15151143	"dbEST"
"Hs.8715"	"thymus"	6.94e-09	4.063764613	"dbEST"
"Hs.598540"	"thymus"	5.13e-09	5.125702152	"dbEST"
"Hs.536474"	"thymus"	5.09e-09	5.167998125	"dbEST"
"Hs.513804"	"thymus"	3.37e-09	4.003185927	"dbEST"
"Hs.55918"	"thymus"	2.84e-09	4.589882109	"dbEST"
"Hs.518448"	"thymus"	2.08e-09	4.39921766	"dbEST"
"Hs.298089"	"thymus"	1.41e-09	4.9963941	"dbEST"
"Hs.591499"	"thymus"	9.64e-10	6.084977216	"dbEST"
"Hs.599762"	"thymus"	8.73e-10	4.365363242	"dbEST"
"Hs.10903"	"thymus"	6.6e-10	4.340864565	"dbEST"
"Hs.535276"	"thymus"	5.74e-10	4.594951779	"dbEST"
"Hs.28249"	"thymus"	3.92e-10	4.631971605	"dbEST"
"Hs.236572"	"thymus"	3.05e-10	5.130381619	"dbEST"
"Hs.108301"	"thymus"	1.91e-10	4.950693735	"dbEST"
"Hs.369488"	"thymus"	1.1e-10	4.172119602	"dbEST"
"Hs.297389"	"thymus"	7.75e-11	4.307828799	"dbEST"
"Hs.108106"	"thymus"	6.93e-11	5.122132415	"dbEST"
"Hs.655602"	"thymus"	5.5e-11	4.304261529	"dbEST"
"Hs.575631"	"thymus"	5.31e-11	4.759705389	"dbEST"
"Hs.380389"	"thymus"	4.83e-11	4.915030477	"dbEST"
"Hs.405667"	"thymus"	1.34e-11	5.90252288	"dbEST"
"Hs.18631"	"thymus"	1.28e-11	5.182148043	"dbEST"
"Hs.73172"	"thymus"	8.47e-12	4.356738211	"dbEST"
"Hs.138701"	"thymus"	8.21e-12	4.986726781	"dbEST"
