"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.467084"	"thyroid"	9.62e-06	4.273831797	"dbEST"
"Hs.390567"	"thyroid"	6.05e-06	4.096319628	"dbEST"
"Hs.284122"	"thyroid"	8.23e-07	4.249936802	"dbEST"
"Hs.371218"	"thyroid"	5.92e-07	4.506162142	"dbEST"
"Hs.356231"	"thyroid"	5.23e-07	4.664697868	"dbEST"
"Hs.533953"	"thyroid"	2.73e-07	4.276181124	"dbEST"
"Hs.443139"	"thyroid"	2.37e-07	4.249793401	"dbEST"
"Hs.333503"	"thyroid"	9.25e-08	5.461451222	"dbEST"
"Hs.532815"	"thyroid"	7.44e-08	4.446865103	"dbEST"
"Hs.300684"	"thyroid"	4.41e-08	4.439582426	"dbEST"
"Hs.519601"	"thyroid"	3.83e-08	4.317064404	"dbEST"
"Hs.656660"	"thyroid"	1.31e-08	5.104609185	"dbEST"
"Hs.465102"	"thyroid"	7.29e-09	5.738133967	"dbEST"
"Hs.513626"	"thyroid"	5.99e-09	5.397025623	"dbEST"
"Hs.584768"	"thyroid"	1.7e-09	6.204822168	"dbEST"
"Hs.721443"	"thyroid"	1.41e-09	4.788512955	"dbEST"
"Hs.429819"	"thyroid"	1.37e-09	4.89477646	"dbEST"
"Hs.712929"	"thyroid"	8.16e-10	4.747743085	"dbEST"
"Hs.1395"	"thyroid"	5.5e-10	5.348877002	"dbEST"
"Hs.59804"	"thyroid"	4.23e-10	5.34142531	"dbEST"
"Hs.202521"	"thyroid"	2.58e-10	6.40606389	"dbEST"
"Hs.505729"	"thyroid"	2.38e-10	4.427189875	"dbEST"
"Hs.412462"	"thyroid"	1.97e-10	5.660696246	"dbEST"
"Hs.316750"	"thyroid"	1.38e-10	6.279225711	"dbEST"
"Hs.711079"	"thyroid"	4.23e-11	5.71483009	"dbEST"
"Hs.388116"	"thyroid"	3.28e-11	4.809386401	"dbEST"
"Hs.42853"	"thyroid"	9.22e-12	4.213063757	"dbEST"
"Hs.631535"	"thyroid"	2.97e-12	4.028901836	"dbEST"
"Hs.411299"	"thyroid"	1.82e-12	5.490733752	"dbEST"
"Hs.375142"	"thyroid"	1.62e-12	4.090152036	"dbEST"
"Hs.433391"	"thyroid"	8.87e-13	4.572643773	"dbEST"
"Hs.414880"	"thyroid"	6.43e-13	6.66233441	"dbEST"
"Hs.468091"	"thyroid"	2.08e-13	6.192060107	"dbEST"
"Hs.517549"	"thyroid"	9.45e-14	4.132786011	"dbEST"
"Hs.561411"	"thyroid"	3.43e-14	4.671472281	"dbEST"
"Hs.213424"	"thyroid"	1.11e-14	4.760376183	"dbEST"
"Hs.396178"	"thyroid"	9.09e-15	4.821569741	"dbEST"
"Hs.500635"	"thyroid"	8e-15	5.988462974	"dbEST"
"Hs.519024"	"thyroid"	3.48e-15	5.462023504	"dbEST"
"Hs.413297"	"thyroid"	3.02e-15	5.617805691	"dbEST"
"Hs.153022"	"thyroid"	2.85e-15	4.436024554	"dbEST"
"Hs.713661"	"thyroid"	1.17e-15	4.709249719	"dbEST"
"Hs.284244"	"thyroid"	6.23e-16	4.91848566	"dbEST"
"Hs.728289"	"thyroid"	5.84e-16	5.090573331	"dbEST"
