"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.498028"	"tonsil"	2.8e-06	5.115194029	"dbEST"
"Hs.515469"	"tonsil"	1.33e-06	5.420328038	"dbEST"
"Hs.492555"	"tonsil"	1.12e-06	5.104002276	"dbEST"
"Hs.632385"	"tonsil"	7.16e-07	4.591275717	"dbEST"
"Hs.77793"	"tonsil"	6.97e-07	4.51528483	"dbEST"
"Hs.728759"	"tonsil"	4.75e-07	4.457119323	"dbEST"
"Hs.91579"	"tonsil"	3.14e-07	4.491372379	"dbEST"
"Hs.593339"	"tonsil"	1.75e-07	4.805696596	"dbEST"
"Hs.728833"	"tonsil"	9.01e-08	4.703524708	"dbEST"
"Hs.523835"	"tonsil"	7.94e-08	5.922211971	"dbEST"
"Hs.145284"	"tonsil"	4.26e-08	6.148067336	"dbEST"
"Hs.80658"	"tonsil"	4.07e-08	4.07818253	"dbEST"
"Hs.632227"	"tonsil"	3.32e-08	5.334983268	"dbEST"
"Hs.517603"	"tonsil"	2.25e-08	4.688967827	"dbEST"
"Hs.459095"	"tonsil"	1.74e-08	4.928118651	"dbEST"
"Hs.513457"	"tonsil"	8.11e-09	5.425740109	"dbEST"
"Hs.494604"	"tonsil"	7.76e-09	4.664881539	"dbEST"
"Hs.179718"	"tonsil"	8.13e-10	4.799555158	"dbEST"
"Hs.515610"	"tonsil"	2.26e-10	5.254716049	"dbEST"
"Hs.434953"	"tonsil"	1.91e-10	5.213847433	"dbEST"
"Hs.9661"	"tonsil"	1.62e-10	5.663125912	"dbEST"
"Hs.292457"	"tonsil"	1.46e-10	5.053949141	"dbEST"
"Hs.183994"	"tonsil"	1.2e-10	4.924899275	"dbEST"
"Hs.10842"	"tonsil"	6.64e-11	4.377523137	"dbEST"
"Hs.56729"	"tonsil"	1.15e-11	4.069050641	"dbEST"
"Hs.527778"	"tonsil"	3.59e-12	6.429976686	"dbEST"
"Hs.3972"	"tonsil"	3.45e-12	6.502601279	"dbEST"
"Hs.636624"	"tonsil"	2.34e-12	6.130260988	"dbEST"
"Hs.459265"	"tonsil"	2e-12	5.74832377	"dbEST"
"Hs.83753"	"tonsil"	1.06e-12	4.586944661	"dbEST"
"Hs.728324"	"tonsil"	7.63e-13	4.980507991	"dbEST"
"Hs.14623"	"tonsil"	4.9e-13	5.196206644	"dbEST"
"Hs.523829"	"tonsil"	4.81e-13	6.222303919	"dbEST"
"Hs.112318"	"tonsil"	2.71e-13	4.157186995	"dbEST"
"Hs.82848"	"tonsil"	2.63e-13	4.140317577	"dbEST"
"Hs.378103"	"tonsil"	2.61e-13	4.066823717	"dbEST"
"Hs.22546"	"tonsil"	1.11e-13	4.770963669	"dbEST"
"Hs.720849"	"tonsil"	7.68e-14	5.93447379	"dbEST"
"Hs.487143"	"tonsil"	4.13e-14	6.261686416	"dbEST"
"Hs.299055"	"tonsil"	2.59e-14	5.309748568	"dbEST"
"Hs.726089"	"tonsil"	1.1e-14	5.953388634	"dbEST"
"Hs.728834"	"tonsil"	8.74e-15	5.02151822	"dbEST"
"Hs.721014"	"tonsil"	3.96e-15	4.123456431	"dbEST"
"Hs.387679"	"tonsil"	1.92e-15	4.833775638	"dbEST"
"Hs.652114"	"tonsil"	5.27e-16	4.20296209	"dbEST"
"Hs.652262"	"tonsil"	2.88e-16	6.401796738	"dbEST"
"Hs.654400"	"tonsil"	2.14e-16	4.987738304	"dbEST"
