"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.35804"	"trachea"	9.95e-06	4.860099298	"dbEST"
"Hs.445019"	"trachea"	6.5e-06	4.798188831	"dbEST"
"Hs.302257"	"trachea"	4.5e-06	4.309352269	"dbEST"
"Hs.167496"	"trachea"	3.18e-06	4.206029139	"dbEST"
"Hs.513053"	"trachea"	3.09e-06	4.318410602	"dbEST"
"Hs.27475"	"trachea"	1.51e-06	5.084088105	"dbEST"
"Hs.198072"	"trachea"	1.46e-06	4.318419053	"dbEST"
"Hs.157031"	"trachea"	1.45e-06	4.029309259	"dbEST"
"Hs.7764"	"trachea"	1.05e-06	4.847450614	"dbEST"
"Hs.200943"	"trachea"	8.21e-07	4.197537533	"dbEST"
"Hs.352298"	"trachea"	3.05e-07	4.201752171	"dbEST"
"Hs.435941"	"trachea"	2.91e-07	4.094325608	"dbEST"
"Hs.116240"	"trachea"	1.97e-07	4.836973103	"dbEST"
"Hs.530597"	"trachea"	1.67e-07	5.111979732	"dbEST"
"Hs.486458"	"trachea"	1.07e-07	4.154119317	"dbEST"
"Hs.47367"	"trachea"	1.05e-07	4.899893608	"dbEST"
"Hs.523252"	"trachea"	9.41e-08	4.638404981	"dbEST"
"Hs.239631"	"trachea"	6.66e-08	4.043398488	"dbEST"
"Hs.654614"	"trachea"	6.54e-08	4.044992685	"dbEST"
"Hs.480085"	"trachea"	5.34e-08	5.119353474	"dbEST"
"Hs.526975"	"trachea"	4.69e-08	4.119910729	"dbEST"
"Hs.514222"	"trachea"	4.49e-08	6.024326758	"dbEST"
"Hs.7907"	"trachea"	4.39e-08	5.193517349	"dbEST"
"Hs.496449"	"trachea"	4.28e-08	4.465904115	"dbEST"
"Hs.580681"	"trachea"	2.33e-08	4.099579826	"dbEST"
"Hs.508829"	"trachea"	2.23e-08	4.464009652	"dbEST"
"Hs.387057"	"trachea"	1.55e-08	4.50802601	"dbEST"
"Hs.476517"	"trachea"	1.51e-08	4.719038161	"dbEST"
"Hs.238432"	"trachea"	7.14e-09	4.1321409	"dbEST"
"Hs.592174"	"trachea"	7.13e-09	4.788990497	"dbEST"
"Hs.25527"	"trachea"	5.05e-09	4.036207893	"dbEST"
"Hs.465709"	"trachea"	4.86e-09	4.429205647	"dbEST"
"Hs.8859"	"trachea"	4.3e-09	4.260863317	"dbEST"
"Hs.647105"	"trachea"	3.54e-09	4.15779775	"dbEST"
"Hs.289044"	"trachea"	2.72e-09	4.798292832	"dbEST"
"Hs.11713"	"trachea"	2.22e-09	4.79434189	"dbEST"
"Hs.726151"	"trachea"	2.11e-09	5.372738746	"dbEST"
"Hs.372360"	"trachea"	2.1e-09	5.069319089	"dbEST"
"Hs.518355"	"trachea"	1.81e-09	4.38236023	"dbEST"
"Hs.110702"	"trachea"	1.78e-09	5.17099617	"dbEST"
"Hs.94070"	"trachea"	1.78e-09	5.540973963	"dbEST"
"Hs.657724"	"trachea"	1.59e-09	5.832707965	"dbEST"
"Hs.507948"	"trachea"	1.37e-09	5.166569981	"dbEST"
"Hs.1048"	"trachea"	1.22e-09	5.217054084	"dbEST"
"Hs.518662"	"trachea"	1.05e-09	4.250400531	"dbEST"
"Hs.546614"	"trachea"	8.84e-10	6.484607096	"dbEST"
"Hs.478095"	"trachea"	8.34e-10	5.354131132	"dbEST"
"Hs.474787"	"trachea"	6.63e-10	4.534822796	"dbEST"
"Hs.482910"	"trachea"	6.11e-10	4.24876026	"dbEST"
"Hs.654441"	"trachea"	5.8e-10	5.197151486	"dbEST"
"Hs.445534"	"trachea"	3.68e-10	5.119861214	"dbEST"
"Hs.440643"	"trachea"	3.51e-10	4.099643664	"dbEST"
"Hs.513316"	"trachea"	2.85e-10	6.206374698	"dbEST"
"Hs.727551"	"trachea"	2.52e-10	4.034244626	"dbEST"
"Hs.461253"	"trachea"	1.67e-10	4.019671572	"dbEST"
"Hs.591160"	"trachea"	1.61e-10	4.158785238	"dbEST"
"Hs.272927"	"trachea"	1.34e-10	4.113124547	"dbEST"
"Hs.720348"	"trachea"	9.85e-11	5.62155485	"dbEST"
"Hs.502915"	"trachea"	6.92e-11	4.110533344	"dbEST"
