"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.332197"	"umbilical cord"	3.3e-06	4.787693518	"dbEST"
"Hs.409140"	"umbilical cord"	1.66e-06	4.400892275	"dbEST"
"Hs.6764"	"umbilical cord"	1.3e-06	4.716276976	"dbEST"
"Hs.460468"	"umbilical cord"	1.24e-06	4.824768581	"dbEST"
"Hs.190028"	"umbilical cord"	1.23e-06	4.333255961	"dbEST"
"Hs.151787"	"umbilical cord"	8.02e-07	4.80808974	"dbEST"
"Hs.514474"	"umbilical cord"	4.85e-07	6.418627114	"dbEST"
"Hs.412370"	"umbilical cord"	3.13e-07	4.307313804	"dbEST"
"Hs.433222"	"umbilical cord"	2.51e-07	4.261667957	"dbEST"
"Hs.272062"	"umbilical cord"	2.37e-07	4.59712516	"dbEST"
"Hs.720054"	"umbilical cord"	2.14e-07	5.107418154	"dbEST"
"Hs.380956"	"umbilical cord"	1.92e-07	4.31767398	"dbEST"
"Hs.644794"	"umbilical cord"	8.12e-08	5.395568844	"dbEST"
"Hs.493819"	"umbilical cord"	7.4e-08	5.785250589	"dbEST"
"Hs.488181"	"umbilical cord"	5.16e-08	4.596110826	"dbEST"
"Hs.522666"	"umbilical cord"	2.1e-08	4.916796961	"dbEST"
"Hs.440219"	"umbilical cord"	1.31e-08	5.907164396	"dbEST"
"Hs.434251"	"umbilical cord"	1.09e-08	4.876622457	"dbEST"
"Hs.719951"	"umbilical cord"	4.5e-09	4.063147329	"dbEST"
"Hs.546292"	"umbilical cord"	3.44e-09	4.367331117	"dbEST"
"Hs.728190"	"umbilical cord"	3.01e-09	4.370135804	"dbEST"
"Hs.644108"	"umbilical cord"	2.88e-09	4.804899031	"dbEST"
"Hs.533732"	"umbilical cord"	4.92e-10	4.278139911	"dbEST"
"Hs.104519"	"umbilical cord"	3.93e-10	5.715500058	"dbEST"
"Hs.535464"	"umbilical cord"	3.76e-10	4.668579193	"dbEST"
"Hs.514118"	"umbilical cord"	3.08e-10	5.573359743	"dbEST"
"Hs.25391"	"umbilical cord"	2.76e-10	6.292925148	"dbEST"
"Hs.528836"	"umbilical cord"	1.17e-10	6.316267728	"dbEST"
"Hs.726450"	"umbilical cord"	7.47e-11	5.157943408	"dbEST"
"Hs.434075"	"umbilical cord"	3.96e-11	6.589122019	"dbEST"
"Hs.446588"	"umbilical cord"	2.42e-11	5.27109268	"dbEST"
"Hs.591026"	"umbilical cord"	2.29e-11	6.524332949	"dbEST"
"Hs.482144"	"umbilical cord"	2.94e-12	5.531947997	"dbEST"
"Hs.477028"	"umbilical cord"	2.26e-12	5.569734295	"dbEST"
"Hs.524506"	"umbilical cord"	1.64e-12	6.947501393	"dbEST"
"Hs.406683"	"umbilical cord"	8.95e-13	4.685561144	"dbEST"
"Hs.546289"	"umbilical cord"	2.59e-13	4.582709865	"dbEST"
"Hs.546287"	"umbilical cord"	1.69e-13	5.75812479	"dbEST"
"Hs.534346"	"umbilical cord"	1.68e-13	5.523032605	"dbEST"
"Hs.150837"	"umbilical cord"	1.46e-13	5.531957031	"dbEST"
"Hs.75516"	"umbilical cord"	8.25e-14	6.215140093	"dbEST"
"Hs.519738"	"umbilical cord"	4.97e-14	6.443890386	"dbEST"
"Hs.500721"	"umbilical cord"	1.77e-14	5.926123477	"dbEST"
"Hs.599039"	"umbilical cord"	1e-14	4.283018881	"dbEST"
"Hs.523463"	"umbilical cord"	6.09e-15	4.153476852	"dbEST"
"Hs.567498"	"umbilical cord"	2.41e-15	6.532610357	"dbEST"
"Hs.517207"	"umbilical cord"	2.06e-15	4.488497311	"dbEST"
"Hs.195080"	"umbilical cord"	2.57e-16	5.677206674	"dbEST"
