"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.644747"	"uterus"	4.81e-07	4.942410215	"dbEST"
"Hs.55220"	"uterus"	2.07e-07	4.310210428	"dbEST"
"Hs.662248"	"uterus"	1.03e-08	6.10979198	"dbEST"
"Hs.115284"	"uterus"	8.03e-09	4.347199329	"dbEST"
"Hs.714531"	"uterus"	3.97e-09	4.634335535	"dbEST"
"Hs.432379"	"uterus"	3.66e-09	5.252601516	"dbEST"
"Hs.720448"	"uterus"	3.3e-09	5.121161052	"dbEST"
"Hs.424414"	"uterus"	1.43e-10	4.950440865	"dbEST"
"Hs.522504"	"uterus"	5.64e-11	6.571368098	"dbEST"
"Hs.262960"	"uterus"	4.2e-12	4.737551707	"dbEST"
"Hs.607187"	"uterus"	2.25e-12	5.379104287	"dbEST"
"Hs.610812"	"uterus"	5.38e-13	6.260647092	"dbEST"
"Hs.703239"	"uterus"	1.29e-13	5.997489603	"dbEST"
"Hs.605718"	"uterus"	1.15e-14	6.472646229	"dbEST"
"Hs.584744"	"uterus"	6.6e-16	4.647879339	"dbEST"
"Hs.681241"	"uterus"	2.66e-16	7.005448789	"dbEST"
"Hs.202072"	"uterus"	5.31e-19	7.072427502	"dbEST"
"Hs.592224"	"uterus"	1.74e-20	4.437214989	"dbEST"
"Hs.714023"	"uterus"	1.63e-26	4.606249333	"dbEST"
"Hs.571301"	"uterus"	1.19e-36	6.890443257	"dbEST"
"Hs.110637"	"uterus"	4.33e-41	4.334057511	"dbEST"
"Hs.466057"	"uterus"	1.67e-43	4.236692336	"dbEST"
"Hs.208124"	"uterus"	3.1e-44	4.994694018	"dbEST"
"Hs.89983"	"uterus"	4.51e-50	5.19864177	"dbEST"
"Hs.532325"	"uterus"	2.24e-61	5.097395393	"dbEST"
"Hs.380803"	"uterus"	2.73e-68	7.047875145	"dbEST"
"Hs.679144"	"uterus"	1.22e-76	7.072427502	"dbEST"
"Hs.601001"	"uterus"	5.36e-83	4.565604211	"dbEST"
"Hs.173716"	"uterus"	2.33e-94	5.430787118	"dbEST"
"Hs.198241"	"uterus"	7.39e-142	5.708315978	"dbEST"
"Hs.335513"	"uterus"	NA	NA	"HPA"
"Hs.512842"	"uterus"	NA	NA	"HPA"
"Hs.109439"	"uterus"	0.9116	NA	"TiSGeD"
"Hs.118513"	"uterus"	0.9092	NA	"TiSGeD"
"Hs.144795"	"uterus"	0.9644	NA	"TiSGeD"
"Hs.160562"	"uterus"	0.9405	NA	"TiSGeD"
"Hs.170839"	"uterus"	0.9848	NA	"TiSGeD"
"Hs.208124"	"uterus"	0.9831	NA	"TiSGeD"
"Hs.211472"	"uterus"	0.954	NA	"TiSGeD"
"Hs.2258"	"uterus"	0.999	NA	"TiSGeD"
"Hs.236646"	"uterus"	0.9637	NA	"TiSGeD"
"Hs.249171"	"uterus"	0.9366	NA	"TiSGeD"
"Hs.271809"	"uterus"	0.9506	NA	"TiSGeD"
"Hs.435655"	"uterus"	0.9838	NA	"TiSGeD"
"Hs.445000"	"uterus"	0.9536	NA	"TiSGeD"
"Hs.448342"	"uterus"	1	NA	"TiSGeD"
"Hs.471783"	"uterus"	0.9088	NA	"TiSGeD"
"Hs.490203"	"uterus"	0.9079	NA	"TiSGeD"
"Hs.520187"	"uterus"	0.9849	NA	"TiSGeD"
"Hs.532325"	"uterus"	0.9995	NA	"TiSGeD"
"Hs.5724"	"uterus"	0.9152	NA	"TiSGeD"
"Hs.61435"	"uterus"	0.9396	NA	"TiSGeD"
"Hs.632453"	"uterus"	0.9506	NA	"TiSGeD"
"Hs.632466"	"uterus"	0.9011	NA	"TiSGeD"
"Hs.65029"	"uterus"	0.9315	NA	"TiSGeD"
"Hs.654463"	"uterus"	0.9302	NA	"TiSGeD"
"Hs.656581"	"uterus"	0.9581	NA	"TiSGeD"
"Hs.658169"	"uterus"	0.9273	NA	"TiSGeD"
"Hs.693436"	"uterus"	0.9581	NA	"TiSGeD"
"Hs.88372"	"uterus"	0.9367	NA	"TiSGeD"
